disp_id,client_id,account_id,type
D00000065,65.0,A00000056,Owner
D00000066,66.0,A00000057,Owner
D00000067,67.0,A00000058,Owner
D00000068,68.0,A00000059,Owner
D00000070,70.0,A00000061,Owner
D00000071,71.0,A00000061,User
D00000072,72.0,A00000062,Owner
D00000073,73.0,A00000063,Owner
D00000074,74.0,A00000063,User
D00000075,75.0,A00000064,Owner
D00000076,76.0,A00000065,Owner
D00000077,77.0,A00000066,Owner
D00000078,78.0,A00000067,Owner
D00000079,79.0,A00000068,Owner
D00000080,80.0,A00000069,Owner
D00000081,81.0,A00000070,Owner
D00000082,82.0,A00000070,User
D00000083,83.0,A00000071,Owner
D00000084,84.0,A00000071,User
D00000085,85.0,A00000072,Owner
D00000086,86.0,A00000072,User
D00000087,87.0,A00000073,Owner
D00000089,89.0,A00000075,Owner
D00000090,90.0,A00000076,Owner
D00000091,91.0,A00000077,Owner
D00000092,92.0,A00000078,Owner
D00000093,93.0,A00000079,Owner
D00000094,94.0,A00000080,Owner
D00000095,95.0,A00000080,User
D00000096,96.0,A00000081,Owner
D00000097,97.0,A00000082,Owner
D00000098,98.0,A00000083,Owner
D00000099,99.0,A00000083,User
D00000100,100.0,A00000084,Owner
D00000101,101.0,A00000085,Owner
D00000102,102.0,A00000086,Owner
D00000103,103.0,A00000086,User
D00000105,105.0,A00000088,Owner
D00000106,106.0,A00000089,Owner
D00000107,107.0,A00000090,Owner
D00000108,108.0,A00000091,Owner
D00000110,110.0,A00000093,Owner
D00000112,112.0,A00000095,Owner
D00000113,113.0,A00000095,User
D00000114,114.0,A00000096,Owner
D00000115,115.0,A00000096,User
D00000116,116.0,A00000097,Owner
D00000117,117.0,A00000097,User
D00000118,118.0,A00000098,Owner
D00000119,119.0,A00000098,User
D00000120,120.0,A00000099,Owner
D00000121,121.0,A00000100,Owner
D00000122,122.0,A00000101,Owner
D00000123,123.0,A00000102,Owner
D00000124,124.0,A00000103,Owner
D00000125,125.0,A00000104,Owner
D00000126,126.0,A00000104,User
D00000127,127.0,A00000105,Owner
D00000128,128.0,A00000106,Owner
D00000129,129.0,A00000107,Owner
D00000130,130.0,A00000108,Owner
D00000131,131.0,A00000109,Owner
D00000132,132.0,A00000110,Owner
D00000134,134.0,A00000112,Owner
D00000135,135.0,A00000112,User
D00000136,136.0,A00000113,Owner
D00000137,137.0,A00000114,Owner
D00000138,138.0,A00000115,Owner
D00000139,139.0,A00000116,Owner
D00000140,140.0,A00000116,User
D00000141,141.0,A00000117,Owner
D00000142,142.0,A00000118,Owner
D00000143,143.0,A00000119,Owner
D00000144,144.0,A00000120,Owner
D00000145,145.0,A00000121,Owner
D00000146,146.0,A00000122,Owner
D00000147,147.0,A00000123,Owner
D00000148,148.0,A00000123,User
D00000149,149.0,A00000124,Owner
D00000150,150.0,A00000125,Owner
D00000151,151.0,A00000126,Owner
D00000152,152.0,A00000127,Owner
D00000153,153.0,A00000128,Owner
D00000154,154.0,A00000129,Owner
D00000155,155.0,A00000129,User
D00000156,156.0,A00000130,Owner
D00000157,157.0,A00000131,Owner
D00000158,158.0,A00000132,Owner
D00000159,159.0,A00000132,User
D00000160,160.0,A00000133,Owner
D00000161,161.0,A00000134,Owner
D00000162,162.0,A00000135,Owner
D00000163,163.0,A00000136,Owner
D00000164,164.0,A00000137,Owner
D00000165,165.0,A00000138,Owner
D00000166,166.0,A00000138,User
D00000167,167.0,A00000139,Owner
D00000168,168.0,A00000140,Owner
D00000169,169.0,A00000141,Owner
D00000170,170.0,A00000141,User
D00000171,171.0,A00000142,Owner
D00000172,172.0,A00000142,User
D00000173,173.0,A00000143,Owner
D00000174,174.0,A00000144,Owner
D00000175,175.0,A00000145,Owner
D00000176,176.0,A00000146,Owner
D00000178,178.0,A00000148,Owner
D00000179,179.0,A00000149,Owner
D00000180,180.0,A00000150,Owner
D00000181,181.0,A00000151,Owner
D00000182,182.0,A00000151,User
D00000183,183.0,A00000152,Owner
D00000184,184.0,A00000152,User
D00000185,185.0,A00000153,Owner
D00000186,186.0,A00000154,Owner
D00000187,187.0,A00000155,Owner
D00000188,188.0,A00000156,Owner
D00000189,189.0,A00000157,Owner
D00000190,190.0,A00000158,Owner
D00000191,191.0,A00000158,User
D00000192,192.0,A00000159,Owner
D00000193,193.0,A00000160,Owner
D00000194,194.0,A00000161,Owner
D00000195,195.0,A00000162,Owner
D00000196,196.0,A00000162,User
D00000197,197.0,A00000163,Owner
D00000198,198.0,A00000164,Owner
D00000199,199.0,A00000165,Owner
D00000200,200.0,A00000165,User
D00000201,201.0,A00000166,Owner
D00000202,202.0,A00000167,Owner
D00000203,203.0,A00000168,Owner
D00000204,204.0,A00000168,User
D00000205,205.0,A00000169,Owner
D00000206,206.0,A00000170,Owner
D00000207,207.0,A00000171,Owner
D00000208,208.0,A00000172,Owner
D00000209,209.0,A00000172,User
D00000210,210.0,A00000173,Owner
D00000211,211.0,A00000173,User
D00000212,212.0,A00000174,Owner
D00000215,215.0,A00000176,Owner
D00000216,216.0,A00000177,Owner
D00000217,217.0,A00000178,Owner
D00000218,218.0,A00000179,Owner
D00000219,219.0,A00000180,Owner
D00000221,221.0,A00000181,Owner
D00000222,222.0,A00000182,Owner
D00000223,223.0,A00000183,Owner
D00000224,224.0,A00000184,Owner
D00000225,225.0,A00000185,Owner
D00000226,226.0,A00000186,Owner
D00000227,227.0,A00000187,Owner
D00000228,228.0,A00000188,Owner
D00000229,229.0,A00000189,Owner
D00000230,230.0,A00000190,Owner
D00000231,231.0,A00000191,Owner
D00000232,232.0,A00000192,Owner
D00000233,233.0,A00000193,Owner
D00000234,234.0,A00000193,User
D00000235,235.0,A00000194,Owner
D00000236,236.0,A00000195,Owner
D00000237,237.0,A00000195,User
D00000238,238.0,A00000196,Owner
D00000239,239.0,A00000197,Owner
D00000240,240.0,A00000198,Owner
D00000241,241.0,A00000199,Owner
D00000242,242.0,A00000200,Owner
D00000243,243.0,A00000201,Owner
D00000246,246.0,A00000204,Owner
D00000247,247.0,A00000205,Owner
D00000248,248.0,A00000206,Owner
D00000249,249.0,A00000206,User
D00000250,250.0,A00000207,Owner
D00000251,251.0,A00000208,Owner
D00000252,252.0,A00000209,Owner
D00000253,253.0,A00000210,Owner
D00000254,254.0,A00000211,Owner
D00000255,255.0,A00000212,Owner
D00000256,256.0,A00000213,Owner
D00000257,257.0,A00000214,Owner
D00000258,258.0,A00000214,User
D00000259,259.0,A00000215,Owner
D00000260,260.0,A00000215,User
D00000261,261.0,A00000216,Owner
D00000262,262.0,A00000217,Owner
D00000263,263.0,A00000218,Owner
D00000264,264.0,A00000219,Owner
D00000265,265.0,A00000220,Owner
D00000266,266.0,A00000221,Owner
D00000267,267.0,A00000222,Owner
D00000268,268.0,A00000223,Owner
D00000269,269.0,A00000224,Owner
D00000270,270.0,A00000225,Owner
D00000271,271.0,A00000225,User
D00000272,272.0,A00000226,Owner
D00000273,273.0,A00000227,Owner
D00000274,274.0,A00000228,Owner
D00000275,275.0,A00000229,Owner
D00000276,276.0,A00000230,Owner
D00000277,277.0,A00000230,User
D00000278,278.0,A00000231,Owner
D00000279,279.0,A00000231,User
D00000280,280.0,A00000232,Owner
D00000282,282.0,A00000234,Owner
D00000283,283.0,A00000234,User
D00000284,284.0,A00000235,Owner
D00000285,285.0,A00000236,Owner
D00000286,286.0,A00000236,User
D00000287,287.0,A00000237,Owner
D00000288,288.0,A00000238,Owner
D00000289,289.0,A00000239,Owner
D00000290,290.0,A00000240,Owner
D00000291,291.0,A00000240,User
D00000292,292.0,A00000241,Owner
D00000293,293.0,A00000242,Owner
D00000294,294.0,A00000243,Owner
D00000295,295.0,A00000244,Owner
D00000296,296.0,A00000245,Owner
D00000297,297.0,A00000246,Owner
D00000298,298.0,A00000246,User
D00000300,300.0,A00000248,Owner
D00000301,301.0,A00000249,Owner
D00000302,302.0,A00000250,Owner
D00000303,303.0,A00000251,Owner
D00000304,304.0,A00000252,Owner
D00000305,305.0,A00000253,Owner
D00000308,308.0,A00000255,Owner
D00000309,309.0,A00000256,Owner
D00000310,310.0,A00000257,Owner
D00000311,311.0,A00000258,Owner
D00000312,312.0,A00000259,Owner
D00000313,313.0,A00000260,Owner
D00000314,314.0,A00000260,User
D00000315,315.0,A00000261,Owner
D00000316,316.0,A00000262,Owner
D00000317,317.0,A00000263,Owner
D00000318,318.0,A00000264,Owner
D00000319,319.0,A00000265,Owner
D00000320,320.0,A00000265,User
D00000321,321.0,A00000266,Owner
D00000322,322.0,A00000267,Owner
D00000323,323.0,A00000267,User
D00000324,324.0,A00000268,Owner
D00000325,325.0,A00000269,Owner
D00000326,326.0,A00000270,Owner
D00000327,327.0,A00000270,User
D00000328,328.0,A00000271,Owner
D00000329,329.0,A00000272,Owner
D00000330,330.0,A00000273,Owner
D00000331,331.0,A00000274,Owner
D00000332,332.0,A00000275,Owner
D00000333,333.0,A00000276,Owner
D00000334,334.0,A00000277,Owner
D00000335,335.0,A00000278,Owner
D00000336,336.0,A00000279,Owner
D00000337,337.0,A00000279,User
D00000338,338.0,A00000280,Owner
D00000339,339.0,A00000281,Owner
D00000340,340.0,A00000281,User
D00000341,341.0,A00000282,Owner
D00000342,342.0,A00000282,User
D00000343,343.0,A00000283,Owner
D00000344,344.0,A00000284,Owner
D00000345,345.0,A00000285,Owner
D00000346,346.0,A00000285,User
D00000347,347.0,A00000286,Owner
D00000348,348.0,A00000286,User
D00000349,349.0,A00000287,Owner
D00000350,350.0,A00000288,Owner
D00000351,351.0,A00000289,Owner
D00000352,352.0,A00000290,Owner
D00000353,353.0,A00000291,Owner
D00000354,354.0,A00000292,Owner
D00000355,355.0,A00000292,User
D00000356,356.0,A00000293,Owner
D00000357,357.0,A00000293,User
D00000358,358.0,A00000294,Owner
D00000359,359.0,A00000295,Owner
D00000360,360.0,A00000296,Owner
D00000361,361.0,A00000297,Owner
D00000362,362.0,A00000298,Owner
D00000363,363.0,A00000298,User
D00000364,364.0,A00000299,Owner
D00000365,365.0,A00000300,Owner
D00000366,366.0,A00000300,User
D00000367,367.0,A00000301,Owner
D00000368,368.0,A00000301,User
D00000369,369.0,A00000302,Owner
D00000370,370.0,A00000303,Owner
D00000371,371.0,A00000304,Owner
D00000372,372.0,A00000305,Owner
D00000373,373.0,A00000306,Owner
D00000374,374.0,A00000307,Owner
D00000375,375.0,A00000308,Owner
D00000376,376.0,A00000309,Owner
D00000378,378.0,A00000311,Owner
D00000379,379.0,A00000311,User
D00000380,380.0,A00000312,Owner
D00000381,381.0,A00000313,Owner
D00000382,382.0,A00000313,User
D00000383,383.0,A00000314,Owner
D00000384,384.0,A00000314,User
D00000385,385.0,A00000315,Owner
D00000386,386.0,A00000316,Owner
D00000387,387.0,A00000317,Owner
D00000388,388.0,A00000318,Owner
D00000389,389.0,A00000319,Owner
D00000390,390.0,A00000320,Owner
D00000391,391.0,A00000321,Owner
D00000392,392.0,A00000322,Owner
D00000393,393.0,A00000322,User
D00000394,394.0,A00000323,Owner
D00000395,395.0,A00000323,User
D00000396,396.0,A00000324,Owner
D00000397,397.0,A00000325,Owner
D00000398,398.0,A00000326,Owner
D00000399,399.0,A00000327,Owner
D00000400,400.0,A00000328,Owner
D00000401,401.0,A00000328,User
D00000402,402.0,A00000329,Owner
D00000403,403.0,A00000330,Owner
D00000404,404.0,A00000330,User
D00000405,405.0,A00000331,Owner
D00000406,406.0,A00000332,Owner
D00000407,407.0,A00000333,Owner
D00000408,408.0,A00000334,Owner
D00000409,409.0,A00000335,Owner
D00000410,410.0,A00000336,Owner
D00000411,411.0,A00000337,Owner
D00000412,412.0,A00000337,User
D00000413,413.0,A00000338,Owner
D00000414,414.0,A00000339,Owner
D00000415,415.0,A00000339,User
D00000416,416.0,A00000340,Owner
D00000417,417.0,A00000340,User
D00000418,418.0,A00000341,Owner
D00000419,419.0,A00000342,Owner
D00000420,420.0,A00000343,Owner
D00000421,421.0,A00000344,Owner
D00000422,422.0,A00000345,Owner
D00000423,423.0,A00000346,Owner
D00000424,424.0,A00000347,Owner
D00000425,425.0,A00000348,Owner
D00000426,426.0,A00000349,Owner
D00000427,427.0,A00000349,User
D00000428,428.0,A00000350,Owner
D00000429,429.0,A00000351,Owner
D00000430,430.0,A00000352,Owner
D00000431,431.0,A00000353,Owner
D00000432,432.0,A00000354,Owner
D00000433,433.0,A00000355,Owner
D00000434,434.0,A00000356,Owner
D00000435,435.0,A00000357,Owner
D00000436,436.0,A00000358,Owner
D00000437,437.0,A00000359,Owner
D00000438,438.0,A00000360,Owner
D00000439,439.0,A00000361,Owner
D00000440,440.0,A00000362,Owner
D00000441,441.0,A00000363,Owner
D00000442,442.0,A00000364,Owner
D00000443,443.0,A00000364,User
D00000444,444.0,A00000365,Owner
D00000445,445.0,A00000366,Owner
D00000446,446.0,A00000366,User
D00000447,447.0,A00000367,Owner
D00000448,448.0,A00000368,Owner
D00000450,450.0,A00000370,Owner
D00000451,451.0,A00000371,Owner
D00000452,452.0,A00000372,Owner
D00000453,453.0,A00000373,Owner
D00000454,454.0,A00000374,Owner
D00000455,455.0,A00000375,Owner
D00000456,456.0,A00000376,Owner
D00000457,457.0,A00000377,Owner
D00000458,458.0,A00000378,Owner
D00000459,459.0,A00000379,Owner
D00000461,461.0,A00000381,Owner
D00000462,462.0,A00000382,Owner
D00000463,463.0,A00000383,Owner
D00000464,464.0,A00000384,Owner
D00000465,465.0,A00000385,Owner
D00000466,466.0,A00000386,Owner
D00000467,467.0,A00000386,User
D00000468,468.0,A00000387,Owner
D00000469,469.0,A00000388,Owner
D00000470,470.0,A00000389,Owner
D00000471,471.0,A00000390,Owner
D00000472,472.0,A00000391,Owner
D00000473,473.0,A00000392,Owner
D00000474,474.0,A00000393,Owner
D00000476,476.0,A00000395,Owner
D00000477,477.0,A00000395,User
D00000478,478.0,A00000396,Owner
D00000479,479.0,A00000397,Owner
D00000480,480.0,A00000397,User
D00000481,481.0,A00000398,Owner
D00000482,482.0,A00000398,User
D00000483,483.0,A00000399,Owner
D00000484,484.0,A00000400,Owner
D00000485,485.0,A00000401,Owner
D00000486,486.0,A00000402,Owner
D00000487,487.0,A00000403,Owner
D00000488,488.0,A00000403,User
D00000489,489.0,A00000404,Owner
D00000490,490.0,A00000405,Owner
D00000491,491.0,A00000406,Owner
D00000492,492.0,A00000407,Owner
D00000493,493.0,A00000408,Owner
D00000494,494.0,A00000409,Owner
D00000495,495.0,A00000410,Owner
D00000496,496.0,A00000411,Owner
D00000497,497.0,A00000412,Owner
D00000498,498.0,A00000412,User
D00000499,499.0,A00000413,Owner
D00000500,500.0,A00000414,Owner
D00000501,501.0,A00000415,Owner
D00000502,502.0,A00000416,Owner
D00000503,503.0,A00000417,Owner
D00000504,504.0,A00000418,Owner
D00000505,505.0,A00000419,Owner
D00000506,506.0,A00000420,Owner
D00000507,507.0,A00000421,Owner
D00000508,508.0,A00000422,Owner
D00000509,509.0,A00000423,Owner
D00000510,510.0,A00000424,Owner
D00000511,511.0,A00000425,Owner
D00000512,512.0,A00000426,Owner
D00000513,513.0,A00000427,Owner
D00000514,514.0,A00000427,User
D00000515,515.0,A00000428,Owner
D00000516,516.0,A00000428,User
D00000517,517.0,A00000429,Owner
D00000518,518.0,A00000430,Owner
D00000519,519.0,A00000431,Owner
D00000520,520.0,A00000432,Owner
D00000521,521.0,A00000433,Owner
D00000522,522.0,A00000434,Owner
D00000523,523.0,A00000435,Owner
D00000524,524.0,A00000436,Owner
D00000525,525.0,A00000436,User
D00000526,526.0,A00000437,Owner
D00000527,527.0,A00000437,User
D00000528,528.0,A00000438,Owner
D00000529,529.0,A00000439,Owner
D00000530,530.0,A00000440,Owner
D00000531,531.0,A00000441,Owner
D00000532,532.0,A00000441,User
D00000533,533.0,A00000442,Owner
D00000534,534.0,A00000443,Owner
D00000535,535.0,A00000444,Owner
D00000536,536.0,A00000445,Owner
D00000537,537.0,A00000446,Owner
D00000538,538.0,A00000447,Owner
D00000540,540.0,A00000449,Owner
D00000541,541.0,A00000449,User
D00000542,542.0,A00000450,Owner
D00000543,543.0,A00000451,Owner
D00000544,544.0,A00000452,Owner
D00000545,545.0,A00000453,Owner
D00000546,546.0,A00000454,Owner
D00000547,547.0,A00000455,Owner
D00000548,548.0,A00000456,Owner
D00000550,550.0,A00000458,Owner
D00000551,551.0,A00000459,Owner
D00000552,552.0,A00000460,Owner
D00000553,553.0,A00000460,User
D00000554,554.0,A00000461,Owner
D00000555,555.0,A00000461,User
D00000556,556.0,A00000462,Owner
D00000557,557.0,A00000463,Owner
D00000558,558.0,A00000464,Owner
D00000559,559.0,A00000465,Owner
D00000560,560.0,A00000466,Owner
D00000561,561.0,A00000467,Owner
D00000562,562.0,A00000468,Owner
D00000563,563.0,A00000469,Owner
D00000564,564.0,A00000469,User
D00000565,565.0,A00000470,Owner
D00000566,566.0,A00000471,Owner
D00000567,567.0,A00000471,User
D00000568,568.0,A00000472,Owner
D00000569,569.0,A00000473,Owner
D00000570,570.0,A00000474,Owner
D00000571,571.0,A00000475,Owner
D00000572,572.0,A00000475,User
D00000573,573.0,A00000476,Owner
D00000574,574.0,A00000477,Owner
D00000575,575.0,A00000478,Owner
D00000576,576.0,A00000478,User
D00000577,577.0,A00000479,Owner
D00000578,578.0,A00000480,Owner
D00000579,579.0,A00000481,Owner
D00000581,581.0,A00000483,Owner
D00000582,582.0,A00000484,Owner
D00000583,583.0,A00000485,Owner
D00000584,584.0,A00000486,Owner
D00000585,585.0,A00000487,Owner
D00000586,586.0,A00000487,User
D00000587,587.0,A00000488,Owner
D00000588,588.0,A00000489,Owner
D00000589,589.0,A00000490,Owner
D00000590,590.0,A00000491,Owner
D00000591,591.0,A00000492,Owner
D00000592,592.0,A00000493,Owner
D00000593,593.0,A00000494,Owner
D00000596,596.0,A00000496,Owner
D00000597,597.0,A00000497,Owner
D00000598,598.0,A00000498,Owner
D00000599,599.0,A00000498,User
D00000601,601.0,A00000500,Owner
D00000602,602.0,A00000500,User
D00000603,603.0,A00000501,Owner
D00000604,604.0,A00000502,Owner
D00000605,605.0,A00000503,Owner
D00000606,606.0,A00000504,Owner
D00000607,607.0,A00000505,Owner
D00000608,608.0,A00000506,Owner
D00000609,609.0,A00000507,Owner
D00000610,610.0,A00000508,Owner
D00000611,611.0,A00000509,Owner
D00000612,612.0,A00000509,User
D00000613,613.0,A00000510,Owner
D00000614,614.0,A00000511,Owner
D00000615,615.0,A00000512,Owner
D00000616,616.0,A00000513,Owner
D00000617,617.0,A00000514,Owner
D00000618,618.0,A00000515,Owner
D00000619,619.0,A00000516,Owner
D00000620,620.0,A00000516,User
D00000621,621.0,A00000517,Owner
D00000622,622.0,A00000518,Owner
D00000623,623.0,A00000519,Owner
D00000624,624.0,A00000519,User
D00000625,625.0,A00000520,Owner
D00000626,626.0,A00000521,Owner
D00000627,627.0,A00000522,Owner
D00000628,628.0,A00000522,User
D00000629,629.0,A00000523,Owner
D00000630,630.0,A00000524,Owner
D00000631,631.0,A00000525,Owner
D00000632,632.0,A00000526,Owner
D00000633,633.0,A00000526,User
D00000635,635.0,A00000528,Owner
D00000636,636.0,A00000528,User
D00000637,637.0,A00000529,Owner
D00000638,638.0,A00000530,Owner
D00000639,639.0,A00000531,Owner
D00000640,640.0,A00000532,Owner
D00000641,641.0,A00000533,Owner
D00000642,642.0,A00000533,User
D00000643,643.0,A00000534,Owner
D00000644,644.0,A00000535,Owner
D00000645,645.0,A00000536,Owner
D00000646,646.0,A00000537,Owner
D00000647,647.0,A00000537,User
D00000648,648.0,A00000538,Owner
D00000649,649.0,A00000539,Owner
D00000651,651.0,A00000540,Owner
D00000652,652.0,A00000541,Owner
D00000653,653.0,A00000542,Owner
D00000654,654.0,A00000543,Owner
D00000655,655.0,A00000544,Owner
D00000656,656.0,A00000545,Owner
D00000657,657.0,A00000546,Owner
D00000658,658.0,A00000546,User
D00000659,659.0,A00000547,Owner
D00000660,660.0,A00000548,Owner
D00000661,661.0,A00000548,User
D00000662,662.0,A00000549,Owner
D00000663,663.0,A00000550,Owner
D00000664,664.0,A00000551,Owner
D00000665,665.0,A00000552,Owner
D00000666,666.0,A00000553,Owner
D00000667,667.0,A00000554,Owner
D00000668,668.0,A00000555,Owner
D00000669,669.0,A00000556,Owner
D00000670,670.0,A00000557,Owner
D00000671,671.0,A00000558,Owner
D00000672,672.0,A00000559,Owner
D00000673,673.0,A00000560,Owner
D00000674,674.0,A00000561,Owner
D00000675,675.0,A00000562,Owner
D00000676,676.0,A00000563,Owner
D00000677,677.0,A00000564,Owner
D00000678,678.0,A00000565,Owner
D00000679,679.0,A00000566,Owner
D00000680,680.0,A00000566,User
D00000681,681.0,A00000567,Owner
D00000682,682.0,A00000568,Owner
D00000683,683.0,A00000569,Owner
D00000684,684.0,A00000570,Owner
D00000685,685.0,A00000571,Owner
D00000686,686.0,A00000572,Owner
D00000687,687.0,A00000572,User
D00000688,688.0,A00000573,Owner
D00000689,689.0,A00000574,Owner
D00000690,690.0,A00000575,Owner
D00000691,691.0,A00000575,User
D00000692,692.0,A00000576,Owner
D00000693,693.0,A00000576,User
D00000694,694.0,A00000577,Owner
D00000695,695.0,A00000578,Owner
D00000696,696.0,A00000578,User
D00000697,697.0,A00000579,Owner
D00000698,698.0,A00000580,Owner
D00000699,699.0,A00000581,Owner
D00000700,700.0,A00000582,Owner
D00000702,702.0,A00000584,Owner
D00000703,703.0,A00000585,Owner
D00000704,704.0,A00000586,Owner
D00000705,705.0,A00000587,Owner
D00000706,706.0,A00000588,Owner
D00000707,707.0,A00000589,Owner
D00000708,708.0,A00000590,Owner
D00000709,709.0,A00000591,Owner
D00000710,710.0,A00000592,Owner
D00000711,711.0,A00000593,Owner
D00000712,712.0,A00000594,Owner
D00000713,713.0,A00000595,Owner
D00000714,714.0,A00000596,Owner
D00000715,715.0,A00000597,Owner
D00000716,716.0,A00000598,Owner
D00000717,717.0,A00000599,Owner
D00000718,718.0,A00000599,User
D00000719,719.0,A00000600,Owner
D00000720,720.0,A00000601,Owner
D00000721,721.0,A00000602,Owner
D00000722,722.0,A00000603,Owner
D00000723,723.0,A00000604,Owner
D00000724,724.0,A00000605,Owner
D00000725,725.0,A00000606,Owner
D00000726,726.0,A00000607,Owner
D00000727,727.0,A00000608,Owner
D00000728,728.0,A00000608,User
D00000729,729.0,A00000609,Owner
D00000730,730.0,A00000609,User
D00000731,731.0,A00000610,Owner
D00000732,732.0,A00000610,User
D00000733,733.0,A00000611,Owner
D00000734,734.0,A00000611,User
D00000735,735.0,A00000612,Owner
D00000736,736.0,A00000612,User
D00000737,737.0,A00000613,Owner
D00000738,738.0,A00000614,Owner
D00000739,739.0,A00000615,Owner
D00000740,740.0,A00000616,Owner
D00000741,741.0,A00000617,Owner
D00000742,742.0,A00000618,Owner
D00000743,743.0,A00000619,Owner
D00000744,744.0,A00000620,Owner
D00000745,745.0,A00000621,Owner
D00000746,746.0,A00000621,User
D00000747,747.0,A00000622,Owner
D00000748,748.0,A00000623,Owner
D00000749,749.0,A00000623,User
D00000750,750.0,A00000624,Owner
D00000751,751.0,A00000625,Owner
D00000752,752.0,A00000626,Owner
D00000753,753.0,A00000626,User
D00000754,754.0,A00000627,Owner
D00000755,755.0,A00000628,Owner
D00000756,756.0,A00000629,Owner
D00000757,757.0,A00000630,Owner
D00000758,758.0,A00000631,Owner
D00000759,759.0,A00000632,Owner
D00000760,760.0,A00000633,Owner
D00000762,762.0,A00000635,Owner
D00000763,763.0,A00000636,Owner
D00000764,764.0,A00000637,Owner
D00000765,765.0,A00000638,Owner
D00000766,766.0,A00000639,Owner
D00000767,767.0,A00000639,User
D00000768,768.0,A00000640,Owner
D00000769,769.0,A00000641,Owner
D00000772,772.0,A00000643,Owner
D00000773,773.0,A00000644,Owner
D00000774,774.0,A00000645,Owner
D00000775,775.0,A00000646,Owner
D00000776,776.0,A00000647,Owner
D00000777,777.0,A00000647,User
D00000778,778.0,A00000648,Owner
D00000779,779.0,A00000649,Owner
D00000780,780.0,A00000650,Owner
D00000781,781.0,A00000651,Owner
D00000782,782.0,A00000652,Owner
D00000783,783.0,A00000653,Owner
D00000784,784.0,A00000653,User
D00000785,785.0,A00000654,Owner
D00000786,786.0,A00000655,Owner
D00000787,787.0,A00000656,Owner
D00000788,788.0,A00000657,Owner
D00000789,789.0,A00000658,Owner
D00000790,790.0,A00000659,Owner
D00000791,791.0,A00000660,Owner
D00000793,793.0,A00000662,Owner
D00000794,794.0,A00000662,User
D00000796,796.0,A00000664,Owner
D00000797,797.0,A00000665,Owner
D00000798,798.0,A00000666,Owner
D00000799,799.0,A00000666,User
D00000803,803.0,A00000669,Owner
D00000804,804.0,A00000669,User
D00000806,806.0,A00000671,Owner
D00000807,807.0,A00000672,Owner
D00000808,808.0,A00000673,Owner
D00000809,809.0,A00000674,Owner
D00000810,810.0,A00000675,Owner
D00000811,811.0,A00000675,User
D00000812,812.0,A00000676,Owner
D00000813,813.0,A00000677,Owner
D00000814,814.0,A00000678,Owner
D00000815,815.0,A00000679,Owner
D00000816,816.0,A00000680,Owner
D00000818,818.0,A00000682,Owner
D00000819,819.0,A00000683,Owner
D00000820,820.0,A00000683,User
D00000821,821.0,A00000684,Owner
D00000822,822.0,A00000685,Owner
D00000823,823.0,A00000686,Owner
D00000824,824.0,A00000687,Owner
D00000825,825.0,A00000688,Owner
D00000826,826.0,A00000689,Owner
D00000827,827.0,A00000690,Owner
D00000828,828.0,A00000690,User
D00000829,829.0,A00000691,Owner
D00000830,830.0,A00000692,Owner
D00000831,831.0,A00000693,Owner
D00000832,832.0,A00000694,Owner
