account_id,district_id,frequency,parseddate,year_,month_,day_,date_
A00003760,44,Monthly Issuance,2013-01-13,2013,1,13,2013-01-13
A00005270,44,Monthly Issuance,2013-01-13,2013,1,13,2013-01-13
A00001699,53,Monthly Issuance,2013-01-14,2013,1,14,2013-01-14
A00003909,1,Monthly Issuance,2013-01-14,2013,1,14,2013-01-14
A00002926,50,Monthly Issuance,2013-01-14,2013,1,14,2013-01-14
A00001731,33,Monthly Issuance,2013-01-14,2013,1,14,2013-01-14
A00011265,15,Monthly Issuance,2013-01-14,2013,1,14,2013-01-14
A00002519,4,Monthly Issuance,2013-01-15,2013,1,15,2013-01-15
A00010364,55,Monthly Issuance,2013-01-17,2013,1,17,2013-01-17
A00001481,15,Monthly Issuance,2013-01-17,2013,1,17,2013-01-17
A00000401,32,Monthly Issuance,2013-01-18,2013,1,18,2013-01-18
A00004034,1,Monthly Issuance,2013-01-18,2013,1,18,2013-01-18
A00002330,54,Monthly Issuance,2013-01-19,2013,1,19,2013-01-19
A00001806,40,Monthly Issuance,2013-01-19,2013,1,19,2013-01-19
A00003834,54,Monthly Issuance,2013-01-19,2013,1,19,2013-01-19
A00001222,66,Monthly Issuance,2013-01-20,2013,1,20,2013-01-20
A00000212,27,Weekly Issuance,2013-01-20,2013,1,20,2013-01-20
A00000456,49,Monthly Issuance,2013-01-21,2013,1,21,2013-01-21
A00000459,47,Monthly Issuance,2013-01-21,2013,1,21,2013-01-21
A00000772,45,Monthly Issuance,2013-01-21,2013,1,21,2013-01-21
A00001019,52,Monthly Issuance,2013-01-21,2013,1,21,2013-01-21
A00011295,74,Monthly Issuance,2013-01-21,2013,1,21,2013-01-21
A00002970,60,Monthly Issuance,2013-01-22,2013,1,22,2013-01-22
A00002676,73,Monthly Issuance,2013-01-22,2013,1,22,2013-01-22
A00001536,41,Weekly Issuance,2013-01-22,2013,1,22,2013-01-22
A00001179,74,Monthly Issuance,2013-01-23,2013,1,23,2013-01-23
A00000280,25,Monthly Issuance,2013-01-23,2013,1,23,2013-01-23
A00002425,41,Monthly Issuance,2013-01-23,2013,1,23,2013-01-23
A00009307,68,Monthly Issuance,2013-01-24,2013,1,24,2013-01-24
A00004055,23,Monthly Issuance,2013-01-24,2013,1,24,2013-01-24
A00005065,66,Monthly Issuance,2013-01-24,2013,1,24,2013-01-24
A00003704,75,Monthly Issuance,2013-01-24,2013,1,24,2013-01-24
A00000477,1,Monthly Issuance,2013-01-25,2013,1,25,2013-01-25
A00005891,54,Monthly Issuance,2013-01-25,2013,1,25,2013-01-25
A00001000,77,Monthly Issuance,2013-01-25,2013,1,25,2013-01-25
A00001750,1,Monthly Issuance,2013-01-26,2013,1,26,2013-01-26
A00002023,68,Monthly Issuance,2013-01-26,2013,1,26,2013-01-26
A00006473,12,Monthly Issuance,2013-01-26,2013,1,26,2013-01-26
A00001649,46,Monthly Issuance,2013-01-26,2013,1,26,2013-01-26
A00002670,13,Monthly Issuance,2013-01-27,2013,1,27,2013-01-27
A00001127,27,Monthly Issuance,2013-01-27,2013,1,27,2013-01-27
A00000163,30,Monthly Issuance,2013-01-27,2013,1,27,2013-01-27
A00002566,48,Monthly Issuance,2013-01-27,2013,1,27,2013-01-27
A00000009,70,Monthly Issuance,2013-01-27,2013,1,27,2013-01-27
A00001144,59,Monthly Issuance,2013-01-28,2013,1,28,2013-01-28
A00002902,32,Monthly Issuance,2013-01-28,2013,1,28,2013-01-28
A00004296,63,Monthly Issuance,2013-01-28,2013,1,28,2013-01-28
A00000443,64,Monthly Issuance,2013-01-28,2013,1,28,2013-01-28
A00003693,61,Monthly Issuance,2013-01-29,2013,1,29,2013-01-29
A00002070,72,Monthly Issuance,2013-01-29,2013,1,29,2013-01-29
A00001843,12,Monthly Issuance,2013-01-30,2013,1,30,2013-01-30
A00002714,1,Monthly Issuance,2013-01-30,2013,1,30,2013-01-30
A00004078,40,Monthly Issuance,2013-01-30,2013,1,30,2013-01-30
A00001675,36,Monthly Issuance,2013-02-01,2013,2,1,2013-02-01
A00005868,44,Monthly Issuance,2013-02-02,2013,2,2,2013-02-02
A00001805,1,Monthly Issuance,2013-02-02,2013,2,2,2013-02-02
A00002434,17,Monthly Issuance,2013-02-02,2013,2,2,2013-02-02
A00003007,16,Monthly Issuance,2013-02-02,2013,2,2,2013-02-02
A00002574,68,Monthly Issuance,2013-02-02,2013,2,2,2013-02-02
A00000862,64,Weekly Issuance,2013-02-02,2013,2,2,2013-02-02
A00001132,1,Weekly Issuance,2013-02-03,2013,2,3,2013-02-03
A00004484,54,Monthly Issuance,2013-02-03,2013,2,3,2013-02-03
A00000943,1,Monthly Issuance,2013-02-03,2013,2,3,2013-02-03
A00003514,7,Monthly Issuance,2013-02-03,2013,2,3,2013-02-03
A00003983,67,Monthly Issuance,2013-02-04,2013,2,4,2013-02-04
A00009265,1,Monthly Issuance,2013-02-04,2013,2,4,2013-02-04
A00000465,32,Monthly Issuance,2013-02-04,2013,2,4,2013-02-04
A00000982,54,Monthly Issuance,2013-02-05,2013,2,5,2013-02-05
A00000411,70,Monthly Issuance,2013-02-05,2013,2,5,2013-02-05
A00000890,14,Monthly Issuance,2013-02-05,2013,2,5,2013-02-05
A00000627,63,Monthly Issuance,2013-02-05,2013,2,5,2013-02-05
A00002429,61,Monthly Issuance,2013-02-06,2013,2,6,2013-02-06
A00003960,64,Monthly Issuance,2013-02-06,2013,2,6,2013-02-06
A00002256,48,Monthly Issuance,2013-02-06,2013,2,6,2013-02-06
A00008051,1,Weekly Issuance,2013-02-07,2013,2,7,2013-02-07
A00002647,73,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08
A00002241,6,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08
A00005622,70,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08
A00002884,1,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08
A00001830,10,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08
A00007753,74,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08
A00000244,24,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08
A00001477,1,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08
A00004240,50,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08
A00001006,6,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08
A00000830,74,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08
A00009188,45,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08
A00001965,57,Issuance After Transaction,2013-02-08,2013,2,8,2013-02-08
A00001134,6,Monthly Issuance,2013-02-09,2013,2,9,2013-02-09
A00001601,10,Monthly Issuance,2013-02-09,2013,2,9,2013-02-09
A00002861,38,Monthly Issuance,2013-02-10,2013,2,10,2013-02-10
A00000813,16,Monthly Issuance,2013-02-10,2013,2,10,2013-02-10
A00002585,75,Monthly Issuance,2013-02-10,2013,2,10,2013-02-10
A00002220,16,Monthly Issuance,2013-02-10,2013,2,10,2013-02-10
A00002763,64,Monthly Issuance,2013-02-11,2013,2,11,2013-02-11
A00002342,51,Monthly Issuance,2013-02-11,2013,2,11,2013-02-11
A00001944,72,Monthly Issuance,2013-02-12,2013,2,12,2013-02-12
A00001966,27,Monthly Issuance,2013-02-12,2013,2,12,2013-02-12
A00001801,46,Monthly Issuance,2013-02-13,2013,2,13,2013-02-13
A00002543,68,Monthly Issuance,2013-02-13,2013,2,13,2013-02-13
A00002293,31,Monthly Issuance,2013-02-13,2013,2,13,2013-02-13
A00011013,1,Weekly Issuance,2013-02-14,2013,2,14,2013-02-14
A00002423,30,Monthly Issuance,2013-02-14,2013,2,14,2013-02-14
A00000142,51,Monthly Issuance,2013-02-15,2013,2,15,2013-02-15
A00003424,74,Monthly Issuance,2013-02-16,2013,2,16,2013-02-16
A00000539,13,Issuance After Transaction,2013-02-16,2013,2,16,2013-02-16
A00000979,21,Monthly Issuance,2013-02-16,2013,2,16,2013-02-16
A00003554,66,Monthly Issuance,2013-02-16,2013,2,16,2013-02-16
A00003545,51,Monthly Issuance,2013-02-17,2013,2,17,2013-02-17
A00003047,16,Monthly Issuance,2013-02-17,2013,2,17,2013-02-17
A00003374,21,Monthly Issuance,2013-02-17,2013,2,17,2013-02-17
A00000096,68,Monthly Issuance,2013-02-18,2013,2,18,2013-02-18
A00000461,30,Monthly Issuance,2013-02-18,2013,2,18,2013-02-18
A00003593,1,Monthly Issuance,2013-02-18,2013,2,18,2013-02-18
A00003026,24,Monthly Issuance,2013-02-18,2013,2,18,2013-02-18
A00001054,10,Monthly Issuance,2013-02-19,2013,2,19,2013-02-19
A00002433,71,Monthly Issuance,2013-02-19,2013,2,19,2013-02-19
A00003691,50,Monthly Issuance,2013-02-19,2013,2,19,2013-02-19
A00003787,70,Monthly Issuance,2013-02-19,2013,2,19,2013-02-19
A00000128,2,Monthly Issuance,2013-02-19,2013,2,19,2013-02-19
A00003168,39,Monthly Issuance,2013-02-20,2013,2,20,2013-02-20
A00004937,12,Monthly Issuance,2013-02-20,2013,2,20,2013-02-20
A00002124,69,Monthly Issuance,2013-02-20,2013,2,20,2013-02-20
A00000322,1,Monthly Issuance,2013-02-20,2013,2,20,2013-02-20
A00004355,31,Monthly Issuance,2013-02-21,2013,2,21,2013-02-21
A00001678,1,Monthly Issuance,2013-02-22,2013,2,22,2013-02-22
A00002396,2,Monthly Issuance,2013-02-22,2013,2,22,2013-02-22
A00001005,54,Weekly Issuance,2013-02-23,2013,2,23,2013-02-23
A00000697,28,Monthly Issuance,2013-02-23,2013,2,23,2013-02-23
A00000925,59,Monthly Issuance,2013-02-23,2013,2,23,2013-02-23
A00002110,64,Monthly Issuance,2013-02-23,2013,2,23,2013-02-23
A00001366,60,Monthly Issuance,2013-02-24,2013,2,24,2013-02-24
A00001050,57,Issuance After Transaction,2013-02-24,2013,2,24,2013-02-24
A00003117,33,Monthly Issuance,2013-02-24,2013,2,24,2013-02-24
A00000562,50,Monthly Issuance,2013-02-25,2013,2,25,2013-02-25
A00005369,54,Monthly Issuance,2013-02-25,2013,2,25,2013-02-25
A00002242,7,Weekly Issuance,2013-02-25,2013,2,25,2013-02-25
A00000197,1,Monthly Issuance,2013-02-25,2013,2,25,2013-02-25
A00000496,69,Monthly Issuance,2013-02-26,2013,2,26,2013-02-26
A00000002,1,Monthly Issuance,2013-02-26,2013,2,26,2013-02-26
A00007401,1,Monthly Issuance,2013-02-26,2013,2,26,2013-02-26
A00002486,1,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27
A00000428,1,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27
A00003651,23,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27
A00001775,17,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27
A00001688,70,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27
A00000361,51,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27
A00001829,43,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27
A00001575,1,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27
A00009203,70,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27
A00003008,72,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27
A00000239,69,Weekly Issuance,2013-03-01,2013,3,1,2013-03-01
A00003302,21,Monthly Issuance,2013-03-02,2013,3,2,2013-03-02
A00000415,25,Monthly Issuance,2013-03-03,2013,3,3,2013-03-03
A00003513,20,Monthly Issuance,2013-03-03,2013,3,3,2013-03-03
A00004134,7,Monthly Issuance,2013-03-03,2013,3,3,2013-03-03
A00001077,14,Monthly Issuance,2013-03-03,2013,3,3,2013-03-03
A00001713,43,Monthly Issuance,2013-03-03,2013,3,3,2013-03-03
A00001378,59,Monthly Issuance,2013-03-04,2013,3,4,2013-03-04
A00002503,1,Monthly Issuance,2013-03-05,2013,3,5,2013-03-05
A00000559,46,Monthly Issuance,2013-03-05,2013,3,5,2013-03-05
A00006555,38,Weekly Issuance,2013-03-05,2013,3,5,2013-03-05
A00000744,42,Monthly Issuance,2013-03-06,2013,3,6,2013-03-06
A00000882,9,Monthly Issuance,2013-03-06,2013,3,6,2013-03-06
A00000086,54,Monthly Issuance,2013-03-07,2013,3,7,2013-03-07
A00001126,56,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08
A00002666,49,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08
A00000944,70,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08
A00001545,1,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08
A00002453,1,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08
A00003734,43,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08
A00003935,23,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08
A00000396,21,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08
A00002694,7,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08
A00004596,74,Monthly Issuance,2013-03-09,2013,3,9,2013-03-09
A00002489,72,Monthly Issuance,2013-03-09,2013,3,9,2013-03-09
A00002895,19,Monthly Issuance,2013-03-09,2013,3,9,2013-03-09
A00000317,76,Monthly Issuance,2013-03-10,2013,3,10,2013-03-10
A00002555,53,Monthly Issuance,2013-03-10,2013,3,10,2013-03-10
A00000494,60,Monthly Issuance,2013-03-11,2013,3,11,2013-03-11
A00002219,60,Monthly Issuance,2013-03-11,2013,3,11,2013-03-11
A00002581,72,Monthly Issuance,2013-03-11,2013,3,11,2013-03-11
A00000112,6,Monthly Issuance,2013-03-12,2013,3,12,2013-03-12
A00003674,38,Monthly Issuance,2013-03-12,2013,3,12,2013-03-12
A00002039,44,Monthly Issuance,2013-03-12,2013,3,12,2013-03-12
A00002712,9,Monthly Issuance,2013-03-12,2013,3,12,2013-03-12
A00000395,1,Monthly Issuance,2013-03-12,2013,3,12,2013-03-12
A00002974,9,Monthly Issuance,2013-03-13,2013,3,13,2013-03-13
A00000123,21,Monthly Issuance,2013-03-13,2013,3,13,2013-03-13
A00009640,1,Monthly Issuance,2013-03-13,2013,3,13,2013-03-13
A00003108,53,Monthly Issuance,2013-03-14,2013,3,14,2013-03-14
A00002508,34,Monthly Issuance,2013-03-14,2013,3,14,2013-03-14
A00002458,40,Weekly Issuance,2013-03-14,2013,3,14,2013-03-14
A00000588,66,Monthly Issuance,2013-03-14,2013,3,14,2013-03-14
A00007231,10,Monthly Issuance,2013-03-14,2013,3,14,2013-03-14
A00006701,49,Weekly Issuance,2013-03-15,2013,3,15,2013-03-15
A00003883,72,Monthly Issuance,2013-03-15,2013,3,15,2013-03-15
A00000222,37,Monthly Issuance,2013-03-15,2013,3,15,2013-03-15
A00002497,65,Monthly Issuance,2013-03-16,2013,3,16,2013-03-16
A00001372,1,Monthly Issuance,2013-03-16,2013,3,16,2013-03-16
A00003835,50,Monthly Issuance,2013-03-16,2013,3,16,2013-03-16
A00007445,64,Monthly Issuance,2013-03-18,2013,3,18,2013-03-18
A00002527,38,Monthly Issuance,2013-03-19,2013,3,19,2013-03-19
A00000425,9,Monthly Issuance,2013-03-19,2013,3,19,2013-03-19
A00000860,1,Monthly Issuance,2013-03-19,2013,3,19,2013-03-19
A00006034,6,Weekly Issuance,2013-03-19,2013,3,19,2013-03-19
A00011065,11,Monthly Issuance,2013-03-19,2013,3,19,2013-03-19
A00009883,1,Monthly Issuance,2013-03-19,2013,3,19,2013-03-19
A00000115,68,Monthly Issuance,2013-03-19,2013,3,19,2013-03-19
A00001189,59,Monthly Issuance,2013-03-19,2013,3,19,2013-03-19
A00003675,64,Monthly Issuance,2013-03-20,2013,3,20,2013-03-20
A00003069,66,Monthly Issuance,2013-03-20,2013,3,20,2013-03-20
A00002762,19,Monthly Issuance,2013-03-20,2013,3,20,2013-03-20
A00000892,70,Monthly Issuance,2013-03-20,2013,3,20,2013-03-20
A00001535,46,Monthly Issuance,2013-03-20,2013,3,20,2013-03-20
A00002618,60,Monthly Issuance,2013-03-21,2013,3,21,2013-03-21
A00002651,2,Monthly Issuance,2013-03-21,2013,3,21,2013-03-21
A00005442,34,Monthly Issuance,2013-03-22,2013,3,22,2013-03-22
A00001787,30,Weekly Issuance,2013-03-22,2013,3,22,2013-03-22
A00001397,17,Monthly Issuance,2013-03-22,2013,3,22,2013-03-22
A00003785,10,Monthly Issuance,2013-03-24,2013,3,24,2013-03-24
A00000623,1,Monthly Issuance,2013-03-24,2013,3,24,2013-03-24
A00008260,31,Monthly Issuance,2013-03-24,2013,3,24,2013-03-24
A00003678,1,Monthly Issuance,2013-03-24,2013,3,24,2013-03-24
A00003001,1,Monthly Issuance,2013-03-24,2013,3,24,2013-03-24
A00000655,53,Monthly Issuance,2013-03-24,2013,3,24,2013-03-24
A00004093,1,Monthly Issuance,2013-03-25,2013,3,25,2013-03-25
A00003260,68,Monthly Issuance,2013-03-25,2013,3,25,2013-03-25
A00002528,65,Monthly Issuance,2013-03-25,2013,3,25,2013-03-25
A00002011,75,Monthly Issuance,2013-03-25,2013,3,25,2013-03-25
A00001721,68,Monthly Issuance,2013-03-25,2013,3,25,2013-03-25
A00001332,59,Monthly Issuance,2013-03-25,2013,3,25,2013-03-25
A00001402,74,Monthly Issuance,2013-03-26,2013,3,26,2013-03-26
A00003283,68,Monthly Issuance,2013-03-26,2013,3,26,2013-03-26
A00003781,31,Monthly Issuance,2013-03-26,2013,3,26,2013-03-26
A00007203,71,Monthly Issuance,2013-03-26,2013,3,26,2013-03-26
A00001065,72,Monthly Issuance,2013-03-27,2013,3,27,2013-03-27
A00003076,54,Monthly Issuance,2013-03-27,2013,3,27,2013-03-27
A00004347,1,Monthly Issuance,2013-03-27,2013,3,27,2013-03-27
A00001157,7,Monthly Issuance,2013-03-27,2013,3,27,2013-03-27
A00009403,1,Weekly Issuance,2013-03-27,2013,3,27,2013-03-27
A00001874,9,Monthly Issuance,2013-03-27,2013,3,27,2013-03-27
A00001115,34,Monthly Issuance,2013-03-27,2013,3,27,2013-03-27
A00003586,59,Monthly Issuance,2013-03-27,2013,3,27,2013-03-27
A00000062,47,Monthly Issuance,2013-03-28,2013,3,28,2013-03-28
A00001771,69,Monthly Issuance,2013-03-28,2013,3,28,2013-03-28
A00005483,13,Monthly Issuance,2013-03-28,2013,3,28,2013-03-28
A00008330,48,Monthly Issuance,2013-03-28,2013,3,28,2013-03-28
A00000187,5,Monthly Issuance,2013-03-28,2013,3,28,2013-03-28
A00000423,12,Monthly Issuance,2013-03-28,2013,3,28,2013-03-28
A00006425,31,Monthly Issuance,2013-03-29,2013,3,29,2013-03-29
A00002493,62,Monthly Issuance,2013-03-29,2013,3,29,2013-03-29
A00002896,29,Monthly Issuance,2013-03-30,2013,3,30,2013-03-30
A00002245,29,Monthly Issuance,2013-03-30,2013,3,30,2013-03-30
A00003923,52,Monthly Issuance,2013-03-30,2013,3,30,2013-03-30
A00001898,70,Monthly Issuance,2013-04-01,2013,4,1,2013-04-01
A00003367,1,Monthly Issuance,2013-04-01,2013,4,1,2013-04-01
A00003391,74,Monthly Issuance,2013-04-01,2013,4,1,2013-04-01
A00008519,23,Monthly Issuance,2013-04-02,2013,4,2,2013-04-02
A00001780,1,Monthly Issuance,2013-04-02,2013,4,2,2013-04-02
A00003915,65,Monthly Issuance,2013-04-02,2013,4,2,2013-04-02
A00003980,75,Monthly Issuance,2013-04-03,2013,4,3,2013-04-03
A00004350,63,Monthly Issuance,2013-04-04,2013,4,4,2013-04-04
A00000686,41,Monthly Issuance,2013-04-04,2013,4,4,2013-04-04
A00000362,15,Monthly Issuance,2013-04-04,2013,4,4,2013-04-04
A00000299,77,Monthly Issuance,2013-04-05,2013,4,5,2013-04-05
A00002488,5,Monthly Issuance,2013-04-06,2013,4,6,2013-04-06
A00002985,71,Monthly Issuance,2013-04-06,2013,4,6,2013-04-06
A00000385,5,Monthly Issuance,2013-04-07,2013,4,7,2013-04-07
A00002817,56,Monthly Issuance,2013-04-07,2013,4,7,2013-04-07
A00002056,58,Monthly Issuance,2013-04-07,2013,4,7,2013-04-07
A00002002,1,Monthly Issuance,2013-04-08,2013,4,8,2013-04-08
A00000748,10,Monthly Issuance,2013-04-08,2013,4,8,2013-04-08
A00000220,72,Monthly Issuance,2013-04-09,2013,4,9,2013-04-09
A00001422,68,Monthly Issuance,2013-04-09,2013,4,9,2013-04-09
A00001147,44,Monthly Issuance,2013-04-10,2013,4,10,2013-04-10
A00003788,70,Monthly Issuance,2013-04-10,2013,4,10,2013-04-10
A00001891,32,Monthly Issuance,2013-04-10,2013,4,10,2013-04-10
A00001239,1,Monthly Issuance,2013-04-10,2013,4,10,2013-04-10
A00008321,77,Monthly Issuance,2013-04-12,2013,4,12,2013-04-12
A00003213,51,Monthly Issuance,2013-04-12,2013,4,12,2013-04-12
A00002838,3,Weekly Issuance,2013-04-13,2013,4,13,2013-04-13
A00003644,38,Monthly Issuance,2013-04-13,2013,4,13,2013-04-13
A00004318,33,Weekly Issuance,2013-04-13,2013,4,13,2013-04-13
A00002648,51,Monthly Issuance,2013-04-13,2013,4,13,2013-04-13
A00002313,26,Weekly Issuance,2013-04-13,2013,4,13,2013-04-13
A00005428,24,Monthly Issuance,2013-04-14,2013,4,14,2013-04-14
A00007123,64,Issuance After Transaction,2013-04-14,2013,4,14,2013-04-14
A00000279,39,Monthly Issuance,2013-04-14,2013,4,14,2013-04-14
A00000104,37,Monthly Issuance,2013-04-15,2013,4,15,2013-04-15
A00000497,55,Monthly Issuance,2013-04-15,2013,4,15,2013-04-15
A00001152,45,Monthly Issuance,2013-04-15,2013,4,15,2013-04-15
A00000083,26,Monthly Issuance,2013-04-16,2013,4,16,2013-04-16
A00002008,52,Monthly Issuance,2013-04-16,2013,4,16,2013-04-16
A00003327,45,Monthly Issuance,2013-04-16,2013,4,16,2013-04-16
A00005740,43,Monthly Issuance,2013-04-16,2013,4,16,2013-04-16
A00008132,5,Weekly Issuance,2013-04-17,2013,4,17,2013-04-17
A00010738,45,Weekly Issuance,2013-04-17,2013,4,17,2013-04-17
A00002216,74,Monthly Issuance,2013-04-17,2013,4,17,2013-04-17
A00001815,66,Monthly Issuance,2013-04-17,2013,4,17,2013-04-17
A00002823,57,Monthly Issuance,2013-04-18,2013,4,18,2013-04-18
A00004321,47,Monthly Issuance,2013-04-18,2013,4,18,2013-04-18
A00001773,33,Monthly Issuance,2013-04-19,2013,4,19,2013-04-19
A00007454,4,Monthly Issuance,2013-04-19,2013,4,19,2013-04-19
A00000188,54,Monthly Issuance,2013-04-20,2013,4,20,2013-04-20
A00010973,18,Weekly Issuance,2013-04-20,2013,4,20,2013-04-20
A00002599,48,Monthly Issuance,2013-04-20,2013,4,20,2013-04-20
A00001166,11,Monthly Issuance,2013-04-21,2013,4,21,2013-04-21
A00000504,73,Monthly Issuance,2013-04-21,2013,4,21,2013-04-21
A00001518,67,Monthly Issuance,2013-04-21,2013,4,21,2013-04-21
A00002189,75,Monthly Issuance,2013-04-22,2013,4,22,2013-04-22
A00006040,1,Monthly Issuance,2013-04-22,2013,4,22,2013-04-22
A00002876,52,Monthly Issuance,2013-04-22,2013,4,22,2013-04-22
A00001505,69,Monthly Issuance,2013-04-23,2013,4,23,2013-04-23
A00006897,48,Monthly Issuance,2013-04-23,2013,4,23,2013-04-23
A00004377,28,Monthly Issuance,2013-04-24,2013,4,24,2013-04-24
A00000717,75,Monthly Issuance,2013-04-24,2013,4,24,2013-04-24
A00009707,70,Monthly Issuance,2013-04-24,2013,4,24,2013-04-24
A00002814,72,Monthly Issuance,2013-04-25,2013,4,25,2013-04-25
A00003068,59,Monthly Issuance,2013-04-25,2013,4,25,2013-04-25
A00001476,61,Monthly Issuance,2013-04-26,2013,4,26,2013-04-26
A00000897,38,Monthly Issuance,2013-04-26,2013,4,26,2013-04-26
A00000977,1,Monthly Issuance,2013-04-26,2013,4,26,2013-04-26
A00002639,17,Monthly Issuance,2013-04-26,2013,4,26,2013-04-26
A00001032,11,Monthly Issuance,2013-04-26,2013,4,26,2013-04-26
A00000928,20,Monthly Issuance,2013-04-26,2013,4,26,2013-04-26
A00000168,31,Monthly Issuance,2013-04-27,2013,4,27,2013-04-27
A00002175,1,Monthly Issuance,2013-04-27,2013,4,27,2013-04-27
A00010105,55,Monthly Issuance,2013-04-28,2013,4,28,2013-04-28
A00001392,60,Monthly Issuance,2013-04-28,2013,4,28,2013-04-28
A00003697,45,Monthly Issuance,2013-04-29,2013,4,29,2013-04-29
A00005313,40,Monthly Issuance,2013-04-29,2013,4,29,2013-04-29
A00002222,47,Monthly Issuance,2013-05-01,2013,5,1,2013-05-01
