input_model,input_column,tags,output_model,output_columns
model.shopify_source.stg_shopify__order,shipping_address_latitude,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""shipping_address_latitude"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,shipping_address_longitude,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""shipping_address_longitude"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,shipping_address_name,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""shipping_address_name"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,shipping_address_phone,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""shipping_address_phone"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,shipping_address_province,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""shipping_address_province"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,shipping_address_province_code,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""shipping_address_province_code"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,shipping_address_zip,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""shipping_address_zip"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,source_name,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""source_name"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,subtotal_price,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""subtotal_price"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,has_taxes_included,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""has_taxes_included"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,is_test_order,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""is_test_order"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,token,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""token"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,total_discounts,"{""Direct"":""This column is directly used in the output""}",model.shopify.shopify__orders,"{""total_discounts"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__order,total_line_items_price,"{""Direct"":""This column is directly used in the output""}",model.shopify.shopify__orders,"{""total_line_items_price"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__order,total_price,"{""Direct"":""This column is directly used in the output"",""Other"":""Used in calculation of order_adjusted_total""}",model.shopify.shopify__orders,"{""total_price"":""Directly mapped to the output column"",""order_adjusted_total"":""Used in calculation""}"
model.shopify_source.stg_shopify__order,total_tax,"{""Direct"":""This column is directly used in the output""}",model.shopify.shopify__orders,"{""total_tax"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__order,total_weight,"{""Direct"":""This column is directly used in the output""}",model.shopify.shopify__orders,"{""total_weight"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__order,updated_timestamp,"{""Direct"":""This column is directly used in the output""}",model.shopify.shopify__orders,"{""updated_timestamp"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__order,user_id,"{""Direct"":""This column is directly used in the output""}",model.shopify.shopify__orders,"{""user_id"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__order,total_shipping_price_set,"{""Cleaning"":""The JSON is parsed and the 'shop_money' 'amount' is extracted and cast to FLOAT""}",model.shopify.shopify__orders,"{""shipping_cost"":""Transformed from total_shipping_price_set""}"
model.shopify_source.stg_shopify__order,checkout_token,"{""Direct"":""This column is directly used in the output""}",model.shopify.shopify__orders,"{""checkout_token"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__order,customer_locale,"{""Direct"":""This column is directly used in the output""}",model.shopify.shopify__orders,"{""customer_locale"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__order,is_deleted,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""is_deleted"":""Directly copied""}"
model.shopify_source.stg_shopify__order,total_tip_received,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""total_tip_received"":""Directly copied""}"
model.shopify_source.stg_shopify__order,client_details_user_agent,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""client_details_user_agent"":""Directly copied""}"
model.shopify_source.stg_shopify__order,total_tax_set,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""total_tax_set"":""Directly copied""}"
model.shopify_source.stg_shopify__order,total_discounts_set,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""total_discounts_set"":""Directly copied""}"
model.shopify_source.stg_shopify__order,presentment_currency,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""presentment_currency"":""Directly copied""}"
model.shopify_source.stg_shopify__order,source_relation,"{""Direct"":""This column is directly copied to the output"",""Integration"":""Used as a key to join with other tables"",""Featurization"":""Used to create a unique key for orders""}",model.shopify.shopify__orders,"{""source_relation"":""Directly copied"",""orders_unique_key"":""Part of the MD5 hash to create a unique key""}"
model.shopify_source.stg_shopify__order,total_line_items_price_set,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""total_line_items_price_set"":""Directly copied""}"
model.shopify_source.stg_shopify__order,total_price_set,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""total_price_set"":""Directly copied""}"
model.shopify_source.stg_shopify__order,is_confirmed,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""is_confirmed"":""Directly copied""}"
model.shopify_source.stg_shopify__order_adjustment,amount,"{""Aggregation"":""Summed up to calculate total order adjustment amount""}",model.shopify.shopify__orders,"{""order_adjustment_amount"":""Aggregated sum of this column""}"
model.shopify_source.stg_shopify__order_adjustment,tax_amount,"{""Aggregation"":""Summed up to calculate total order adjustment tax amount""}",model.shopify.shopify__orders,"{""order_adjustment_tax_amount"":""Aggregated sum of this column""}"
model.shopify_source.stg_shopify__order_adjustment,source_relation,"{""Integration"":""This column is used as a key to join the order_adjustments table with other tables in the query, ensuring that adjustments are correctly associated with their corresponding orders."",""Aggregation"":""The column is used in the GROUP BY clause of the order_adjustments_aggregates CTE, allowing for aggregation of adjustment amounts per order and source.""}",model.shopify.shopify__orders,"{""source_relation"":""This column is directly copied to the output, maintaining the information about the source of each order and its associated data.""}"
model.shopify_source.stg_shopify__order_discount_code,amount,"{""Aggregation"":""The amount is summed up based on the discount type""}",model.shopify.shopify__orders,"{""shipping_discount_amount"":""Summed when type is 'shipping'"",""percentage_calc_discount_amount"":""Summed when type is 'percentage'"",""fixed_amount_discount_amount"":""Summed when type is 'fixed_amount'""}"
model.shopify_source.stg_shopify__order_discount_code,code,"{""Aggregation"":""Distinct codes are counted""}",model.shopify.shopify__orders,"{""count_discount_codes_applied"":""Count of distinct discount codes""}"
model.shopify_source.stg_shopify__order_tag,value,"{""Aggregation"":""Used in the LISTAGG function to concatenate all distinct tag values""}",model.shopify.shopify__orders,"{""order_tags"":""Transformed and aggregated into this output column""}"
model.shopify_source.stg_shopify__order_url_tag,value,"{""Aggregation"":""Used in LISTAGG function to concatenate distinct values""}",model.shopify.shopify__orders,"{""order_url_tags"":""Aggregated into this output column""}"
model.shopify.shopify__customer_emails,email,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used to join with the orders table"",""Deduplication"":""Used in window functions to partition data"",""Other"":""Used in the MD5 hash to create the customer_cohort_id""}",model.shopify.shopify__customer_email_cohorts,"{""email"":""Directly copied"",""customer_cohort_id"":""Part of the MD5 hash""}"
model.shopify.shopify__customer_emails,first_order_timestamp,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used to join with the calendar table"",""Featurization"":""Used to create the cohort_month""}",model.shopify.shopify__customer_email_cohorts,"{""first_order_timestamp"":""Directly copied"",""cohort_month"":""Transformed by applying DATE_TRUNC('MONTH', first_order_timestamp)""}"
model.shopify.shopify__customer_emails,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as part of the join condition with the orders table""}",model.shopify.shopify__customer_email_cohorts,"{""source_relation"":""Directly copied to the output""}"
model.shopify.shopify__orders,email,"{""Integration"":""Used to join orders with customer_calendar"",""Deduplication"":""Part of the PARTITION BY clause in window functions""}",model.shopify.shopify__customer_email_cohorts,"{""email"":""Directly copied to the output""}"
model.shopify.shopify__orders,order_id,"{""Aggregation"":""Used in COUNT(DISTINCT orders.order_id) to calculate order_count_in_month""}",model.shopify.shopify__customer_email_cohorts,"{""order_count_in_month"":""Aggregated as count of distinct order_id"",""order_count_lifetime"":""Indirectly mapped through window function on order_count_in_month""}"
model.shopify.shopify__orders,source_relation,"{""Integration"":""Used as a key to join the orders table with the customer_calendar CTE"",""Direct"":""Directly copied to the output""}",model.shopify.shopify__customer_email_cohorts,"{""source_relation"":""Directly copied""}"
model.shopify.shopify__orders,total_price,"{""Aggregation"":""This column is summed to calculate the total price in a month and lifetime""}",model.shopify.shopify__customer_email_cohorts,"{""total_price_in_month"":""Summed for each month"",""total_price_lifetime"":""Cumulative sum over time""}"
model.shopify.shopify__orders,line_item_count,"{""Aggregation"":""This column is summed to calculate the line item count in a month and lifetime""}",model.shopify.shopify__customer_email_cohorts,"{""line_item_count_in_month"":""Summed for each month"",""line_item_count_lifetime"":""Cumulative sum over time""}"
model.shopify.shopify__orders,order_adjusted_total,"{""Aggregation"":""This column is summed up in the orders_joined CTE""}",model.shopify.shopify__customer_email_cohorts,"{""total_price_in_month"":""The sum of order_adjusted_total for each month"",""total_price_lifetime"":""The cumulative sum of total_price_in_month""}"
model.shopify_source.stg_shopify__inventory_item,is_deleted,"{""Direct"":""The column is directly copied without transformation""}",model.shopify.shopify__inventory_levels,"{""is_inventory_item_deleted"":""Directly copied""}"
model.shopify_source.stg_shopify__inventory_item,_fivetran_synced,"{""Direct"":""The column is directly copied without transformation""}",model.shopify.shopify__inventory_levels,"{""_fivetran_synced"":""Directly copied""}"
model.shopify_source.stg_shopify__inventory_item,cost,"{""Direct"":""The column is directly copied without transformation""}",model.shopify.shopify__inventory_levels,"{""cost"":""Directly copied""}"
model.shopify_source.stg_shopify__inventory_item,country_code_of_origin,"{""Direct"":""The column is directly copied without transformation""}",model.shopify.shopify__inventory_levels,"{""country_code_of_origin"":""Directly copied""}"
model.shopify_source.stg_shopify__inventory_item,created_at,"{""Direct"":""The column is directly copied without transformation""}",model.shopify.shopify__inventory_levels,"{""inventory_item_created_at"":""Directly copied with a renamed column""}"
model.shopify_source.stg_shopify__inventory_item,inventory_item_id,"{""Integration"":""Used as a key to join with other tables""}",model.shopify.shopify__inventory_levels,"{""inventory_item_id"":""Directly copied""}"
model.shopify_source.stg_shopify__inventory_item,province_code_of_origin,"{""Direct"":""The column is directly copied without transformation""}",model.shopify.shopify__inventory_levels,"{""province_code_of_origin"":""Directly copied""}"
model.shopify_source.stg_shopify__inventory_item,is_shipping_required,"{""Direct"":""The column is directly copied without transformation""}",model.shopify.shopify__inventory_levels,"{""is_shipping_required"":""Directly copied""}"
model.shopify_source.stg_shopify__inventory_item,sku,"{""Direct"":""The column is directly copied without transformation""}",model.shopify.shopify__inventory_levels,"{""sku"":""Directly copied""}"
model.shopify_source.stg_shopify__inventory_item,is_inventory_quantity_tracked,"{""Direct"":""The column is directly copied without transformation""}",model.shopify.shopify__inventory_levels,"{""is_inventory_quantity_tracked"":""Directly copied""}"
model.shopify_source.stg_shopify__inventory_item,updated_at,"{""Direct"":""The column is directly copied without any transformation""}",model.shopify.shopify__inventory_levels,"{""inventory_item_updated_at"":""This column is directly mapped to inventory_item_updated_at in the output""}"
model.shopify_source.stg_shopify__inventory_item,source_relation,"{""Integration"":""The column is used as a key to join tables"",""Direct"":""The column is directly copied without any transformation""}",model.shopify.shopify__inventory_levels,"{""source_relation"":""This column is directly copied to the output source_relation column""}"
model.shopify_source.stg_shopify__inventory_level,_fivetran_synced,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__inventory_levels,"{""_fivetran_synced"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__inventory_level,available_quantity,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__inventory_levels,"{""available_quantity"":""Directly copied to the output""}"
