model_name,index
source.shopify_source.shopify.order_discount_code,106
source.shopify_source.shopify.order_line,107
source.shopify_source.shopify.order_line_refund,108
source.shopify_source.shopify.order_note_attribute,109
source.shopify_source.shopify.order_shipping_line,110
source.shopify_source.shopify.order_shipping_tax_line,111
source.shopify_source.shopify.order_tag,112
source.shopify_source.shopify.order_url_tag,113
source.shopify_source.shopify.price_rule,114
source.shopify_source.shopify.product,115
source.shopify_source.shopify.product_image,116
source.shopify_source.shopify.product_tag,117
source.shopify_source.shopify.product_variant,118
source.shopify_source.shopify.refund,119
source.shopify_source.shopify.shop,120
source.shopify_source.shopify.tax_line,121
source.shopify_source.shopify.tender_transaction,122
source.shopify_source.shopify.transaction,123
