date,NYC_All,NYC_All_MoM,NYC_All_YoY
2009-12-01,2086.0,-0.002868068833651982,-0.057813911472448076
2010-01-01,2097.0,0.005273250239693272,-0.037190082644628086
2010-02-01,2104.0,0.0033381020505482972,-0.020939972080037172
2010-03-01,2108.0,0.0019011406844107182,-0.009398496240601517
2010-04-01,2120.0,0.005692599620493288,0.005692599620493288
2010-05-01,2134.0,0.006603773584905603,0.01764425369575595
2010-06-01,2151.0,0.007966260543580184,0.025751072961373467
2010-07-01,2168.0,0.00790330079032997,0.028462998102466885
2010-08-01,2183.0,0.006918819188191927,0.03607024205030851
2010-09-01,2196.0,0.005955107650022828,0.0402652771198484
2010-10-01,2204.0,0.0036429872495447047,0.0465337132003798
2010-11-01,2205.0,0.00045372050816694376,0.054015296367112775
2010-12-01,2210.0,0.0022675736961450532,0.05944391179290509
2011-01-01,2222.0,0.005429864253393646,0.05960896518836423
2011-02-01,2234.0,0.005400540054005365,0.06178707224334601
2011-03-01,2245.0,0.004923903312443967,0.0649905123339658
2011-04-01,2265.0,0.008908685968819663,0.06839622641509435
2011-05-01,2278.0,0.005739514348785946,0.0674789128397375
2011-06-01,2296.0,0.007901668129938644,0.06741050674105065
2011-07-01,2314.0,0.007839721254355503,0.06734317343173424
2011-08-01,2327.0,0.00561797752808979,0.06596426935409982
2011-09-01,2340.0,0.005586592178770999,0.06557377049180335
2011-10-01,2351.0,0.004700854700854684,0.06669691470054451
2011-11-01,2349.0,-0.0008507018290089263,0.06530612244897949
2011-12-01,2347.0,-0.0008514261387824185,0.061990950226244346
2012-01-01,2352.0,0.0021303792074989225,0.058505850585058417
2012-02-01,2362.0,0.00425170068027203,0.0572963294538944
2012-03-01,2376.0,0.00592718035563089,0.05835189309576827
2012-04-01,2391.0,0.0063131313131312705,0.05562913907284761
2012-05-01,2409.0,0.007528230865746499,0.05750658472344172
2012-06-01,2418.0,0.0037359900373599153,0.05313588850174211
2012-07-01,2435.0,0.007030603804797364,0.052290406222990526
2012-08-01,2445.0,0.004106776180698102,0.05070906746884396
2012-09-01,2450.0,0.002044989775051187,0.047008547008547064
2012-10-01,2455.0,0.0020408163265306367,0.04423649510846439
2012-11-01,2459.0,0.0016293279022403517,0.046828437633035236
2012-12-01,2457.0,-0.0008133387555917526,0.04686834256497652
2013-01-01,2460.0,0.0012210012210012167,0.04591836734693877
2013-02-01,2470.0,0.004065040650406582,0.04572396274343782
2013-03-01,2475.0,0.002024291497975783,0.04166666666666674
2013-04-01,2485.0,0.004040404040404066,0.03931409452112078
2013-05-01,2506.0,0.008450704225352101,0.04026567040265672
2013-06-01,2519.0,0.0051875498802873565,0.04177005789909005
2013-07-01,2532.0,0.005160778086542361,0.03983572895277199
2013-08-01,2541.0,0.0035545023696681444,0.03926380368098159
2013-09-01,2547.0,0.0023612750885477762,0.03959183673469391
2013-10-01,2549.0,0.0007852375343542217,0.0382892057026476
2013-11-01,2543.0,-0.0023538642604943316,0.03416022773485161
2013-12-01,2535.0,-0.003145890680298913,0.031746031746031855
2014-01-01,2538.0,0.0011834319526626835,0.03170731707317076
2014-02-01,2543.0,0.0019700551615444706,0.029554655870445368
2014-03-01,2551.0,0.003145890680298802,0.030707070707070683
2014-04-01,2570.0,0.007448059584476585,0.03420523138832987
2014-05-01,2591.0,0.008171206225680905,0.03391859537110942
2014-06-01,2604.0,0.005017367811655626,0.03374354902739185
2014-07-01,2616.0,0.004608294930875667,0.033175355450236976
2014-08-01,2632.0,0.006116207951070374,0.03581267217630857
2014-09-01,2636.0,0.001519756838905817,0.034943070278759425
2014-10-01,2635.0,-0.0003793626707132569,0.0337387210670852
2014-11-01,2631.0,-0.0015180265654648473,0.034604797483287486
2014-12-01,2630.0,-0.0003800836183960321,0.03747534516765283
2015-01-01,2639.0,0.003422053231939115,0.03979511426319937
2015-02-01,2649.0,0.0037893141341416303,0.0416830515139599
2015-03-01,2660.0,0.004152510381275842,0.04272834182673457
2015-04-01,2678.0,0.006766917293232977,0.04202334630350202
2015-05-01,2699.0,0.007841672890216644,0.041682747973755374
2015-06-01,2715.0,0.005928121526491248,0.04262672811059898
2015-07-01,2730.0,0.005524861878453136,0.04357798165137616
2015-08-01,2740.0,0.00366300366300365,0.04103343465045595
2015-09-01,2743.0,0.0010948905109489093,0.040591805766312605
2015-10-01,2738.0,-0.0018228217280350512,0.03908918406072104
2015-11-01,2730.0,-0.0029218407596786067,0.03762827822120873
2015-12-01,2725.0,-0.001831501831501825,0.03612167300380231
2016-01-01,2725.0,0.0,0.03258810155361869
2016-02-01,2726.0,0.0003669724770642979,0.029067572668931563
2016-03-01,2733.0,0.002567865003668457,0.027443609022556492
2016-04-01,2746.0,0.004756677643614982,0.025392083644510732
2016-05-01,2761.0,0.005462490895848493,0.022971470915153835
2016-06-01,2773.0,0.004346251358203546,0.021362799263351828
2016-07-01,2780.0,0.0025243418680129803,0.01831501831501825
2016-08-01,2785.0,0.0017985611510791255,0.01642335766423364
2016-09-01,2782.0,-0.0010771992818671139,0.014218009478673022
2016-10-01,2768.0,-0.005032350826743359,0.010956902848794803
2016-11-01,2755.0,-0.004696531791907543,0.009157509157509125
2016-12-01,2745.0,-0.003629764065335772,0.007339449541284404
2017-01-01,2737.0,-0.0029143897996356527,0.004403669724770687
2017-02-01,2738.0,0.00036536353671912103,0.00440205429200291
2017-03-01,2741.0,0.001095690284879547,0.0029271862422246553
2017-04-01,2752.0,0.004013133892739829,0.002184996358339353
2017-05-01,2766.0,0.005087209302325535,0.001810938065918144
2017-06-01,2779.0,0.004699927693420092,0.0021637216011540783
2017-07-01,2790.0,0.003958258366318912,0.003597122302158251
2017-08-01,2797.0,0.002508960573476715,0.004308797127468678
2017-09-01,2791.0,-0.002145155523775477,0.0032350826743350325
2017-10-01,2775.0,-0.005732712289502007,0.0025289017341041387
2017-11-01,2757.0,-0.006486486486486531,0.0007259528130671988
2017-12-01,2745.0,-0.0043525571273123065,0.0
2018-01-01,2741.0,-0.0014571948998178819,0.00146145414687604
2018-02-01,2749.0,0.002918642831083451,0.0040175310445580426
2018-03-01,2760.0,0.004001455074572613,0.006931776723823502
2018-04-01,2773.0,0.004710144927536186,0.007630813953488413
2018-05-01,2795.0,0.007933645870897843,0.010484454085321726
2018-06-01,2813.0,0.006440071556350624,0.012234616768621809
2018-07-01,2827.0,0.004976892996800597,0.013261648745519716
2018-08-01,2839.0,0.004244782454899232,0.01501608866642834
2018-09-01,2845.0,0.0021134202183867856,0.019347903977069203
