date,Queens_All,Queens_Q1,Queens_Q2,Queens_Q3,Queens_Q4,Queens_Q5,Queens_All_MoM,Queens_Q1_MoM,Queens_Q2_MoM,Queens_Q3_MoM,Queens_Q4_MoM,Queens_Q5_MoM,Queens_All_YoY,Queens_Q1_YoY,Queens_Q2_YoY,Queens_Q3_YoY,Queens_Q4_YoY,Queens_Q5_YoY
2002-07-01,,,,,,,,,,,,,,,,,,
2002-08-01,,,,,,,,,,,,,,,,,,
2002-09-01,,,,,,,,,,,,,,,,,,
2002-10-01,,,,,,,,,,,,,,,,,,
2002-11-01,,,,,,,,,,,,,,,,,,
2002-12-01,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,
2003-02-01,,,,,,,,,,,,,,,,,,
2003-03-01,,,,,,,,,,,,,,,,,,
2003-04-01,,,,,,,,,,,,,,,,,,
2003-05-01,,,,,,,,,,,,,,,,,,
2003-06-01,,,,,,,,,,,,,,,,,,
2003-07-01,,,,,,,,,,,,,,,,,,
2003-08-01,,,,,,,,,,,,,,,,,,
2003-09-01,,,,,,,,,,,,,,,,,,
2003-10-01,,,,,,,,,,,,,,,,,,
2003-11-01,,,,,,,,,,,,,,,,,,
2003-12-01,,,,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,,,
2004-02-01,,,,,,,,,,,,,,,,,,
2004-03-01,,,,,,,,,,,,,,,,,,
2004-04-01,,,,,,,,,,,,,,,,,,
2004-05-01,,,,,,,,,,,,,,,,,,
2004-06-01,,,,,,,,,,,,,,,,,,
2004-07-01,,,,,,,,,,,,,,,,,,
2004-08-01,,,,,,,,,,,,,,,,,,
2004-09-01,,,,,,,,,,,,,,,,,,
2004-10-01,,,,,,,,,,,,,,,,,,
2004-11-01,,,,,,,,,,,,,,,,,,
2004-12-01,,,,,,,,,,,,,,,,,,
2005-01-01,,,,,,,,,,,,,,,,,,
2005-02-01,,,,,,,,,,,,,,,,,,
2005-03-01,,,,,,,,,,,,,,,,,,
2005-04-01,,,,,,,,,,,,,,,,,,
2005-05-01,,,,,,,,,,,,,,,,,,
2005-06-01,,,,,,,,,,,,,,,,,,
2005-07-01,,,,,,,,,,,,,,,,,,
2005-08-01,,,,,,,,,,,,,,,,,,
2005-09-01,,,,,,,,,,,,,,,,,,
2005-10-01,,,,,,,,,,,,,,,,,,
2005-11-01,,,,,,,,,,,,,,,,,,
2005-12-01,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,
2006-02-01,,,,,,,,,,,,,,,,,,
2006-03-01,,,,,,,,,,,,,,,,,,
2006-04-01,,,,,,,,,,,,,,,,,,
2006-05-01,,,,,,,,,,,,,,,,,,
2006-06-01,,,,,,,,,,,,,,,,,,
2006-07-01,,,,,,,,,,,,,,,,,,
2006-08-01,,,,,,,,,,,,,,,,,,
2006-09-01,,,,,,,,,,,,,,,,,,
2006-10-01,,,,,,,,,,,,,,,,,,
2006-11-01,,,,,,,,,,,,,,,,,,
2006-12-01,,,,,,,,,,,,,,,,,,
2007-01-01,,,,,,,,,,,,,,,,,,
2007-02-01,,,,,,,,,,,,,,,,,,
2007-03-01,,,,,,,,,,,,,,,,,,
2007-04-01,,,,,,,,,,,,,,,,,,
2007-05-01,,,,,,,,,,,,,,,,,,
2007-06-01,,,,,,,,,,,,,,,,,,
2007-07-01,,,,,,,,,,,,,,,,,,
2007-08-01,,,,,,,,,,,,,,,,,,
2007-09-01,,,,,,,,,,,,,,,,,,
2007-10-01,,,,,,,,,,,,,,,,,,
2007-11-01,,,,,,,,,,,,,,,,,,
2007-12-01,,,,,,,,,,,,,,,,,,
2008-01-01,,,,,,,,,,,,,,,,,,
2008-02-01,,,,,,,,,,,,,,,,,,
2008-03-01,,,,,,,,,,,,,,,,,,
2008-04-01,,,,,,,,,,,,,,,,,,
2008-05-01,,,,,,,,,,,,,,,,,,
2008-06-01,,,,,,,,,,,,,,,,,,
2008-07-01,,,,,,,,,,,,,,,,,,
2008-08-01,,,,,,,,,,,,,,,,,,
2008-09-01,,,,,,,,,,,,,,,,,,
2008-10-01,,,,,,,,,,,,,,,,,,
2008-11-01,,,,,,,,,,,,,,,,,,
2008-12-01,,,,,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,
2009-02-01,,,,,,,,,,,,,,,,,,
2009-03-01,,,,,,,,,,,,,,,,,,
2009-04-01,,,,,,,,,,,,,,,,,,
2009-05-01,,,,,,,,,,,,,,,,,,
2009-06-01,,,,,,,,,,,,,,,,,,
2009-07-01,,,,,,,,,,,,,,,,,,
2009-08-01,,,,,,,,,,,,,,,,,,
2009-09-01,,,,,,,,,,,,,,,,,,
2009-10-01,,,,,,,,,,,,,,,,,,
2009-11-01,,,,,,,,,,,,,,,,,,
2009-12-01,,,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,,,
2010-02-01,,,,,,,,,,,,,,,,,,
2010-03-01,,,,,,,,,,,,,,,,,,
2010-04-01,,,,,,,,,,,,,,,,,,
2010-05-01,,,,,,,,,,,,,,,,,,
2010-06-01,,,,,,,,,,,,,,,,,,
2010-07-01,,,,,,,,,,,,,,,,,,
2010-08-01,,,,,,,,,,,,,,,,,,
2010-09-01,,,,,,,,,,,,,,,,,,
2010-10-01,,,,,,,,,,,,,,,,,,
2010-11-01,,,,,,,,,,,,,,,,,,
2010-12-01,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,,,,,,,,,,,,
2011-02-01,,,,,,,,,,,,,,,,,,
2011-03-01,,,,,,,,,,,,,,,,,,
2011-04-01,,,,,,,,,,,,,,,,,,
2011-05-01,,,,,,,,,,,,,,,,,,
2011-06-01,,,,,,,,,,,,,,,,,,
2011-07-01,,,,,,,,,,,,,,,,,,
2011-08-01,,,,,,,,,,,,,,,,,,
2011-09-01,,,,,,,,,,,,,,,,,,
2011-10-01,,,,,,,,,,,,,,,,,,
2011-11-01,,,,,,,,,,,,,,,,,,
2011-12-01,,,,,,,,,,,,,,,,,,
2012-01-01,1764.0,1273.0334657423,1442.8138345054,1787.475934412,2021.0026251441,2657.5653249124,,,,,,,,,,,,
2012-02-01,1818.0,1262.2295176364,1529.0283190429,1871.1977739041,2143.7951065378,2584.0449351478,0.030612244897959107,-0.008486774618764792,0.05975440661549691,0.04683802331562048,0.0607581998489215,-0.02766456541083262,,,,,,
2012-03-01,1820.0,1241.640739181,1474.6910818506,1824.9270862809,2108.6953201309,2789.7858840548,0.0011001100110010764,-0.01631143794985379,-0.035537103214878574,-0.02472784452209975,-0.016372733709419496,0.07961972568996067,,,,,,
2012-04-01,1807.0,1273.4607438226,1441.8418089173,1847.9794102833,2093.2101202456,2754.4989020881,-0.0071428571428571175,0.02562738450623714,-0.022275358776888465,0.01263191509167605,-0.007343498009157012,-0.012648634494993094,,,,,,
2012-05-01,1835.0,1303.174039348,1518.3519464299,1873.3518832178,2124.8256754644,2744.4994364861,0.015495296070835662,0.02333271415670679,0.05306416906446376,0.013729846119124423,0.01510386124785712,-0.003630230382164812,,,,,,
2012-06-01,1823.0,1289.485574091,1493.4948923694,1840.2557643757,2180.1964545649,2722.7354902816,-0.006539509536784727,-0.01050394256153886,-0.01637107530895343,-0.017666792415556132,0.026058974973746096,-0.007930023929013874,,,,,,
2012-07-01,1839.0,1342.1250697595,1498.4046648888,1848.5853889584,2172.6573884867,2754.3982986974,0.00877674163466824,0.04082208961942624,0.003287438440188195,0.0045263407097795305,-0.0034579755702357495,0.011629043118149385,,,,,,
2012-08-01,1816.0,1281.6882538731,1506.6677123496,1830.8604283853,2132.9269239245,2753.7240962799,-0.012506797172376238,-0.04503068845679936,0.005514563358232083,-0.009588391577132982,-0.018286576048639147,-0.0002447730300366713,,,,,,
2012-09-01,1839.0,1289.3621724894,1534.1149209245,1854.6744265303,2164.4674528384,2760.5721647266,0.012665198237885367,0.005987351911130201,0.018217161189508113,0.01300699811727446,0.01478744000092913,0.0024868389886811837,,,,,,
2012-10-01,1841.0,1278.8041192692,1549.4775952731,1867.3243626775,2177.9888321181,2718.7924424632,0.0010875475802065715,-0.00818858614396556,0.010014030982334665,0.006820569673171795,0.006246977408677967,-0.015134443068449022,,,,,,
2012-11-01,1854.0,1291.6816184619,1575.5000100348,1890.9313036638,2177.4736232802,2763.2813238544,0.007061379684953906,0.010069954419648752,0.016794314962078172,0.012642121239424542,-0.00023655256184162976,0.016363471038228106,,,,,,
2012-12-01,1854.0,1269.4720632082,1570.8366955094,1910.3368625019,2180.5808847248,2746.507808997,0.0,-0.017194295355961176,-0.002959894951252373,0.010262434600612158,0.0014270030237697462,-0.006070143749968615,,,,,,
2013-01-01,1862.0,1267.9196486547,1561.3526930694,1916.6614185807,2209.342365769,2767.4096811763,0.004314994606256839,-0.0012228820141002572,-0.00603754831238168,0.0033107020038951607,0.013189825356022089,0.007610345075600877,0.05555555555555558,-0.004017032721616687,0.0821581105816298,0.07227257255980701,0.09319123997252166,0.04133270224223784
2013-02-01,1855.0,1263.0468301585,1542.8018931641,1907.385606934,2243.4614417619,2746.0602583493,-0.003759398496240629,-0.0038431603306805506,-0.011881236051049848,-0.004839567153998914,0.015443091356746041,-0.007714587027796149,0.020352035203520247,0.0006475149809761493,0.00900805691409401,0.019339395084035926,0.04649060673762784,0.06269833817430626
2013-03-01,1851.0,1280.144308402,1509.8793541459,1899.9770494576,2224.4363209192,2756.9758766268,-0.0021563342318059453,0.013536693838465563,-0.021339446862279843,-0.0038841424877419373,-0.008480253098425705,0.0039750104697489075,0.017032967032966972,0.031010233480577742,0.023861453241543762,0.04112491054623324,0.05488749355270306,-0.011760761861879021
2013-04-01,1861.0,1275.3133736242,1550.7129913585,1893.3232375967,2219.0537166813,2782.7175340723,0.0054024851431657694,-0.0037737423399010206,0.02704430463300067,-0.0035020485446387584,-0.002419760991708597,0.009336917912025955,0.029883785279468666,0.0014547993022846484,0.07550840998497099,0.024536976473373606,0.06011990636703701,0.010244560984507434
2013-05-01,1881.0,1299.8865362583,1552.9280273008,1910.5972051628,2235.9175980855,2817.1928317908,0.010746910263299325,0.019268332899440743,0.001428398391348784,0.009123623068201914,0.007599582325307663,0.012389075533673743,0.0250681198910081,-0.0025226892114460497,0.02277211219190578,0.01988164758508959,0.05228284084849433,0.026486941239008743
2013-06-01,1890.0,1297.1639755646,1552.4355627411,1917.1863217156,2254.0195013401,2814.8436683286,0.004784688995215225,-0.002094460260767872,-0.00031712001525019407,0.0034487209208695635,0.008095961707220267,-0.0008338667611569317,0.036752605595172794,0.0059546237878718156,0.039464929323053566,0.04180427461722869,0.03386073150455271,0.03382927881748565
2013-07-01,1912.0,1319.2968945282,1587.6714602706,1972.4607682304,2256.0114832182,2816.4499361904,0.011640211640211673,0.01706254519901118,0.022697172349804173,0.028831024866345478,0.0008837465145778989,0.0005706419435911325,0.03969548667754208,-0.017008977587603447,0.05957455784377497,0.06701090466900128,0.0383650432752114,0.022528200631820372
2013-08-01,1915.0,1341.0955598388,1590.4876255438,2008.4382591622,2233.6917148027,2804.6425429335,0.001569037656903749,0.016522941425095583,0.0017737707980971518,0.018239901908962963,-0.009893464010059305,-0.004192296516681959,0.05451541850220254,0.04635082344413988,0.05563264713722815,0.09699146260619762,0.04724249562793137,0.018490758287072806
2013-09-01,1924.0,1350.9637692097,1611.7839266291,1996.8714321243,2238.5357479769,2805.5135066738,0.004699738903394257,0.0073583193222162,0.013389793635155467,-0.005759115066213072,0.0021686220807008993,0.0003105435815677904,0.04622077215878195,0.047776798509114426,0.05062789276424917,0.07666952407383998,0.0342201011345169,0.01627972002378386
2013-10-01,1917.0,1351.5754300751,1604.3322741586,1954.0404747915,2256.4803054319,2806.2588068105,-0.0036382536382536523,0.000452758896530403,-0.004623232895791696,-0.021449031041140154,0.008016203212844575,0.00026565551544388555,0.0412819120043455,0.05690575257724895,0.03540204714985373,0.04643869798263678,0.036038510462639284,0.0321710340889636
2013-11-01,1907.0,1365.8546587422,1597.6869047913,1920.6306902679,2262.7979651025,2777.0498130374,-0.005216484089723528,0.010564877364119152,-0.004142140299948305,-0.017097795544467775,0.0027997849816776554,-0.010408517454702726,0.028586839266451003,0.057423624537309204,0.014082446598023157,0.015706221874139725,0.039185017402766587,0.004982659226240083
2013-12-01,1900.0,1338.7693873208,1609.0779905939,1899.1250665104,2272.8230938044,2805.1254710553,-0.0036706869428421163,-0.019830273483375183,0.0071297359754525225,-0.011197167610864422,0.0044304126380305675,0.010109886357130948,0.024811218985976158,0.05458751407059115,0.02434453892872601,-0.005869015152027313,0.0423016682049111,0.02134261620020883
2014-01-01,1908.0,1334.8321598804,1614.9604716051,1927.8118581019,2258.5122082615,2822.0402957054,0.004210526315789442,-0.002940930288434007,0.0036558085099585025,0.015105267208236794,-0.006296524169395634,0.006029970789055872,0.02470461868958118,0.05277346344202183,0.03433418904880159,0.005817636549212191,0.02225542009890602,0.01974070369873049
2014-02-01,1913.0,1310.1126400582,1604.6843638698,1949.2695102319,2264.017066298,2820.8968572992,0.002620545073375169,-0.01851882248957415,-0.006363070747537614,0.011130573784895681,0.002437382457515014,-0.0004051814596481851,0.03126684636118604,0.03726370929080569,0.040110445145219886,0.021958802218931428,0.009162459471537154,0.027252351335831593
2014-03-01,1922.0,1312.4722715388,1614.229950803,1968.3603849303,2264.6610477195,2844.7706164728,0.00470465237846307,0.001801090538669392,0.005948576024122465,0.009793861032653561,0.0002844419466117021,0.008463180463981201,0.038357644516477496,0.02525337411151307,0.06911187729706292,0.03599166394784703,0.018083110054450957,0.03184458035716231
2014-04-01,1938.0,1337.0000041138,1625.066444918,1982.1585605525,2277.5226771606,2862.1933913369,0.008324661810613865,0.01868819106269015,0.006713104356420363,0.0070099844153734825,0.005679273485121206,0.0061244919935590225,0.04137560451370237,0.048369782490634616,0.047947914265142444,0.046920315132541024,0.026348600775083053,0.028560519093827175
2014-05-01,1940.0,1333.77053996,1615.4211197316,1969.9707362925,2295.1619791425,2889.4092202276,0.0010319917440659854,-0.002415455604983796,-0.005935342038821512,-0.006148763526063528,0.007744951195784111,0.009508731650724744,0.031366294524189264,0.02606689334534873,0.04024210480599111,0.031075901801416617,0.026496674612574322,0.02563416590510581
2014-06-01,1949.0,1325.6398765006,1635.7944238054,1987.4393539258,2287.7838668624,2911.4398748422,0.004639175257731942,-0.006095998686283632,0.0126117603793523,0.008867450318666315,-0.0032146368522786295,0.007624622521577029,0.031216931216931254,0.021952429663802286,0.05369553691305229,0.03664382090277707,0.014979624400865088,0.034316721600015976
2014-07-01,1968.0,1357.9319675622,1656.8640004091,1987.3713944621,2295.8932987343,2940.6255710522,0.00974858902001019,0.024359625592166312,0.012880332819991791,-3.419448425734384e-05,0.0035446669544976217,0.010024488728822556,0.029288702928870203,0.029284593327127073,0.04358114501013133,0.007559403194151715,0.01767801973206673,0.04408941670369715
2014-08-01,1984.0,1368.5857198287,1677.1334126146,2003.4046617995,2320.8084314231,2960.3704544726,0.008130081300812941,0.007845571443189314,0.012233600464790939,0.008067574778462427,0.010852042951009722,0.006714518031391226,0.03603133159268923,0.020498285739760647,0.05447749839686744,-0.0025062245950242534,0.039001226553815105,0.05552504790012125
2014-09-01,2004.0,1407.2524487137,1707.2014406265,2019.3852309661,2322.9489640534,2961.9326773518,0.010080645161290258,0.028253055928305182,0.017928226690698823,0.007976705590894362,0.0009223219811327343,0.0005277119547115738,0.04158004158004158,0.04166557296864304,0.05919994139472351,0.011274535996465884,0.037709121309672744,0.05575420339481796
2014-10-01,2006.0,1411.3116256634,1692.4918986718,2039.8204260334,2323.3250709181,2970.9394644407,0.0009980039920158834,0.002884469629745867,-0.008616172412144851,0.010119512985406809,0.00016190922423198195,0.003040848010412045,0.04642670839853946,0.0441974559902889,0.05495097613705724,0.043898758673897476,0.029623465059849474,0.058683346393617164
2014-11-01,2003.0,1400.6135136576,1674.9150902548,2040.4368923964,2338.1891074419,3000.4925690524,-0.0014955134596211783,-0.007580262084762035,-0.010385165465662594,0.0003022159966299398,0.006397742920204452,0.009947393733673371,0.05034084950183537,0.025448428713058746,0.04833749668467613,0.062378573213254684,0.03331766401689551,0.0804604782262115
2014-12-01,2006.0,1411.7749882468,1655.0973149704,2035.2439592305,2355.442685373,2999.5983653953,0.0014977533699451762,0.00796898964658177,-0.011832107430225003,-0.0025450104265666296,0.007379034431469256,-0.0002980189540621181,0.05578947368421061,0.05453187204414767,0.028599809732972936,0.07167452798156959,0.03635108768201856,0.06932769900907099
2015-01-01,2017.0,1426.3377243569,1679.4165895628,2038.8879991197,2367.6570586521,3002.1401718325,0.0054835493519440615,0.010315196282223882,0.014693561745543038,0.0017904683478719985,0.005185595622831274,0.0008473822584129653,0.05712788259958068,0.06855211256275018,0.039911885826925175,0.05761772890387973,0.04832599531291226,0.06381903064997951
2015-02-01,2022.0,1413.9728883882,1698.3787770892,2062.9227434306,2376.8515499167,2990.9543174085,0.0024789291026277027,-0.008668939871358305,0.011290937367324894,0.011788163116991823,0.003883371213327047,-0.0037259600763984713,0.05697856769472032,0.07927581579961429,0.05838806392644691,0.05830555118321157,0.04983817714908012,0.060284891193121304
2015-03-01,2024.0,1420.9077326299,1728.9037979229,2061.5065753324,2362.9572180493,2985.4596728024,0.0009891196834816984,0.004904510050121935,0.017973034782038377,-0.000686486250010776,-0.005845687698875057,-0.0018370874386544056,0.05306971904266389,0.0826192396156038,0.07103935041154164,0.04732171563460863,0.04340436306297746,0.04945532533095354
2015-04-01,2037.0,1427.3094347459,1742.3826873205,2076.0840331318,2367.517022437,3002.8377487659,0.006422924901185789,0.00450536088233644,0.007796205557413671,0.007071264275278599,0.0019297024731848023,0.005820904607024113,0.051083591331269274,0.06754632038461317,0.0721916588514755,0.04738544859555516,0.03951413796177716,0.04913866332536898
2015-05-01,2046.0,1444.7806103453,1722.7985308457,2081.5588546855,2387.0951950963,3031.3959902333,0.004418262150220897,0.012240636244732928,-0.011239870906268767,0.002637090535030584,0.008269496047444314,0.009510417763709311,0.05463917525773199,0.08323026117268206,0.06647022860016882,0.05664455635671506,0.040055219104033535,0.04914041562950211
2015-06-01,2047.0,1451.8257698073,1733.9163507047,2079.1490163858,2384.7863377865,3027.2147304641,0.0004887585532746819,0.004876283230515144,0.006453348815860904,-0.0011577084617498956,-0.0009672246479917046,-0.0013793182357803024,0.05028219599794759,0.09518866740777554,0.05998426542562485,0.04614463444071659,0.04240019012684759,0.03976549769147297
2015-07-01,2075.0,1472.2684820449,1762.4622783556,2103.6387815551,2408.8505821937,3064.5772818049,0.013678553981436359,0.014080692506452275,0.016463266892487782,0.011778744561498966,0.010090733926937823,0.012342220379943702,0.05436991869918706,0.08419900054931362,0.06373382360919555,0.05850309983175994,0.04919970955169051,0.04215147687379606
2015-08-01,2086.0,1476.3708774959,1780.6483919975,2116.662105823,2423.2891288336,3078.8315160516,0.005301204819277094,0.0027864452041395094,0.010318583191958108,0.006190855760071168,0.005993956929761568,0.00465128888454891,0.05141129032258074,0.07875659968210913,0.06172137446210879,0.0565324850156681,0.04415732725844146,0.04001562081530241
2015-09-01,2093.0,1484.6517951629,1771.0237512951,2140.9038341469,2430.0440061447,3082.3421074858,0.003355704697986628,0.005608968446360496,-0.005405132616666308,0.011452809712618084,0.0027874830249212668,0.0011402349936648903,0.044411177644710476,0.05500032813582734,0.03738417104731284,0.06017603838900221,0.04610305424206396,0.0406523183510219
2015-10-01,2089.0,1494.317021927,1775.9654525586,2132.785610513,2404.9907178708,3083.3935783415,-0.001911132345915001,0.0065100967079216865,0.002790307730139885,-0.003791960901940672,-0.010309808468714654,0.00034112723994716987,0.04137587238285145,0.05881436442116916,0.04931991340833397,0.04557518068410493,0.035150331727117345,0.03785136494592645
2015-11-01,2083.0,1484.9851626396,1778.2341813252,2118.4417983396,2409.579412341,3065.4309444522,-0.002872187649593072,-0.006244899275366644,0.001277462218272074,-0.006725388666678822,0.0019079884325967633,-0.005825605273187873,0.039940089865202255,0.06023906535191825,0.06168616646392655,0.03822951164717803,0.030532305822434047,0.021642571646264264
2015-12-01,2082.0,1489.8203662484,1781.6863361381,2093.210686002,2429.473592287,3041.3370338292,-0.000480076812290009,0.0032560618991002155,0.0019413386882076722,-0.011910222106350066,0.00825628731890271,-0.007859877146019212,0.03788634097706889,0.05528174011534226,0.0764843372185422,0.028481463614522307,0.03142972120430798,0.01391475235998807
2016-01-01,2087.0,1493.8922197491,1789.011801683,2095.9264116013,2417.684155372,3064.8022202979,0.0024015369836696276,0.0027331170877691324,0.004111534896079627,0.0012973971599998801,-0.004852671357461369,0.007715417991394302,0.034705007436787394,0.04736220197965979,0.06525790730025527,0.027975255387361564,0.021129367759189055,0.0208724592719971
2016-02-01,2088.0,1510.563921811,1773.3024839518,2109.534991328,2401.2811209417,3066.540503462,0.00047915668423570423,0.011159909558067005,-0.008781002851083186,0.006492870957383934,-0.006784606001513094,0.0005671762936567681,0.03264094955489605,0.068311800187983,0.044114839324010724,0.022595246499578003,0.01027812234460157,0.02527159496002973
2016-03-01,2093.0,1501.6691160427,1760.1277669564,2123.9631285422,2420.6594334453,3095.9297327542,0.002394636015325746,-0.005888400775278857,-0.007429480934375232,0.0068394870307968425,0.008069989113144826,0.009583838615214946,0.03409090909090917,0.05683788015096658,0.018059980590598768,0.030296557846161365,0.024419492217313543,0.03700269709156845
2016-04-01,2103.0,1506.8895482152,1777.1321205274,2139.3512873523,2421.8165858105,3108.0272040969,0.004777830864787447,0.0034764197496830462,0.009660863199950409,0.007245021631171911,0.00047803187396455726,0.0039075406701616355,0.032400589101620136,0.055755333449097,0.019943628606835517,0.030474322431477185,0.02293523673067699,0.03503001631514402
2016-05-01,2103.0,1505.3067490837,1768.5709888036,2163.0639536156,2420.6193248045,3103.4736660999,0.0,-0.0010503750147943247,-0.004817386183566086,0.011084045151204425,-0.0004943648552968583,-0.0014650894918156743,0.027859237536656867,0.04189296167529166,0.026568665539452585,0.03915579842800754,0.01404390146529022,0.023777057203619556
2016-06-01,2115.0,1524.6529716632,1792.8381294649,2168.3197992743,2441.8784787783,3101.3654139277,0.005706134094151105,0.012852013445947996,0.013721326887599972,0.0024298151933579426,0.00878252675088298,-0.0006793201422100603,0.03321934538348814,0.0501624942678669,0.03398190387688138,0.042888115371117363,0.023940149306957093,0.02449468903457408
2016-07-01,2120.0,1521.8643931335,1792.8958636974,2184.7497667385,2448.8530321488,3112.2621045979,0.0023640661938533203,-0.0018289922897393174,3.220270226922395e-05,0.007577280560597588,0.002856224595578327,0.0035135139578408303,0.02168674698795181,0.03368673016739043,0.017267652031789815,0.03855746808558025,0.016606447178915795,0.015560000094014814
2016-08-01,2130.0,1540.6863211847,1812.8118261722,2177.9376016806,2474.401169237,3125.5782167531,0.004716981132075526,0.012367677525095377,0.011108265057697242,-0.0031180527681528014,0.010432695124126035,0.0042785959882774005,0.021093000958772867,0.043563202626894615,0.018062765405706838,0.028949115538578152,0.02109201076967726,0.015183260421294476
