date,Brooklyn_All,Brooklyn_Q1,Brooklyn_Q2,Brooklyn_Q3,Brooklyn_Q4,Brooklyn_Q5,Brooklyn_All_MoM,Brooklyn_Q1_MoM,Brooklyn_Q2_MoM,Brooklyn_Q3_MoM,Brooklyn_Q4_MoM,Brooklyn_Q5_MoM,Brooklyn_All_YoY,Brooklyn_Q1_YoY,Brooklyn_Q2_YoY,Brooklyn_Q3_YoY,Brooklyn_Q4_YoY,Brooklyn_Q5_YoY
2002-05-01,,,,,,,,,,,,,,,,,,
2002-06-01,,,,,,,,,,,,,,,,,,
2002-07-01,,,,,,,,,,,,,,,,,,
2002-08-01,,,,,,,,,,,,,,,,,,
2002-09-01,,,,,,,,,,,,,,,,,,
2002-10-01,,,,,,,,,,,,,,,,,,
2002-11-01,,,,,,,,,,,,,,,,,,
2002-12-01,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,
2003-02-01,,,,,,,,,,,,,,,,,,
2003-03-01,,,,,,,,,,,,,,,,,,
2003-04-01,,,,,,,,,,,,,,,,,,
2003-05-01,,,,,,,,,,,,,,,,,,
2003-06-01,,,,,,,,,,,,,,,,,,
2003-07-01,,,,,,,,,,,,,,,,,,
2003-08-01,,,,,,,,,,,,,,,,,,
2003-09-01,,,,,,,,,,,,,,,,,,
2003-10-01,,,,,,,,,,,,,,,,,,
2003-11-01,,,,,,,,,,,,,,,,,,
2003-12-01,,,,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,,,
2004-02-01,,,,,,,,,,,,,,,,,,
2004-03-01,,,,,,,,,,,,,,,,,,
2004-04-01,,,,,,,,,,,,,,,,,,
2004-05-01,,,,,,,,,,,,,,,,,,
2004-06-01,,,,,,,,,,,,,,,,,,
2004-07-01,,,,,,,,,,,,,,,,,,
2004-08-01,,,,,,,,,,,,,,,,,,
2004-09-01,,,,,,,,,,,,,,,,,,
2004-10-01,,,,,,,,,,,,,,,,,,
2004-11-01,,,,,,,,,,,,,,,,,,
2004-12-01,,,,,,,,,,,,,,,,,,
2005-01-01,,,,,,,,,,,,,,,,,,
2005-02-01,,,,,,,,,,,,,,,,,,
2005-03-01,,,,,,,,,,,,,,,,,,
2005-04-01,,,,,,,,,,,,,,,,,,
2005-05-01,,,,,,,,,,,,,,,,,,
2005-06-01,,,,,,,,,,,,,,,,,,
2005-07-01,,,,,,,,,,,,,,,,,,
2005-08-01,,,,,,,,,,,,,,,,,,
2005-09-01,,,,,,,,,,,,,,,,,,
2005-10-01,,,,,,,,,,,,,,,,,,
2005-11-01,,,,,,,,,,,,,,,,,,
2005-12-01,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,
2006-02-01,,,,,,,,,,,,,,,,,,
2006-03-01,,,,,,,,,,,,,,,,,,
2006-04-01,,,,,,,,,,,,,,,,,,
2006-05-01,,,,,,,,,,,,,,,,,,
2006-06-01,,,,,,,,,,,,,,,,,,
2006-07-01,,,,,,,,,,,,,,,,,,
2006-08-01,,,,,,,,,,,,,,,,,,
2006-09-01,,,,,,,,,,,,,,,,,,
2006-10-01,,,,,,,,,,,,,,,,,,
2006-11-01,,,,,,,,,,,,,,,,,,
2006-12-01,,,,,,,,,,,,,,,,,,
2007-01-01,,,,,,,,,,,,,,,,,,
2007-02-01,,,,,,,,,,,,,,,,,,
2007-03-01,,,,,,,,,,,,,,,,,,
2007-04-01,,,,,,,,,,,,,,,,,,
2007-05-01,,,,,,,,,,,,,,,,,,
2007-06-01,,,,,,,,,,,,,,,,,,
2007-07-01,,,,,,,,,,,,,,,,,,
2007-08-01,,,,,,,,,,,,,,,,,,
2007-09-01,,,,,,,,,,,,,,,,,,
2007-10-01,,,,,,,,,,,,,,,,,,
2007-11-01,,,,,,,,,,,,,,,,,,
2007-12-01,,,,,,,,,,,,,,,,,,
2008-01-01,,,,,,,,,,,,,,,,,,
2008-02-01,,,,,,,,,,,,,,,,,,
2008-03-01,,,,,,,,,,,,,,,,,,
2008-04-01,,,,,,,,,,,,,,,,,,
2008-05-01,,,,,,,,,,,,,,,,,,
2008-06-01,,,,,,,,,,,,,,,,,,
2008-07-01,,,,,,,,,,,,,,,,,,
2008-08-01,,,,,,,,,,,,,,,,,,
2008-09-01,,,,,,,,,,,,,,,,,,
2008-10-01,,,,,,,,,,,,,,,,,,
2008-11-01,,,,,,,,,,,,,,,,,,
2008-12-01,,,,,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,
2009-02-01,,,,,,,,,,,,,,,,,,
2009-03-01,,,,,,,,,,,,,,,,,,
2009-04-01,,,,,,,,,,,,,,,,,,
2009-05-01,,,,,,,,,,,,,,,,,,
2009-06-01,,,,,,,,,,,,,,,,,,
2009-07-01,,,,,,,,,,,,,,,,,,
2009-08-01,,,,,,,,,,,,,,,,,,
2009-09-01,,,,,,,,,,,,,,,,,,
2009-10-01,,,,,,,,,,,,,,,,,,
2009-11-01,,,,,,,,,,,,,,,,,,
2009-12-01,,,,,,,,,,,,,,,,,,
2010-01-01,1839.0,1073.9269624652,1525.1810525247,1880.6599700242,2308.3369443204,3272.2855871155,,,,,,,,,,,,
2010-02-01,1839.0,1096.4177774761,1508.3426835143,1817.0194137634,2302.010817908,3219.551085295,0.0,0.020942592743246058,-0.011040242719070337,-0.03383948043514795,-0.002740555891532881,-0.016115494939726638,,,,,,
2010-03-01,1852.0,1117.2981062945,1489.1355031181,1884.7932339118,2352.1535814755,3184.4587475206,0.007069059271343159,0.01904413559078333,-0.012733963313594665,0.03729944745500946,0.02178215809301376,-0.010899761129643526,,,,,,
2010-04-01,1866.0,1120.9253805631,1517.2599236814,1930.5839958557,2366.2257429064,3132.3303299227,0.0075593952483801186,0.003246469539476493,0.01888640792218732,0.024294846309939055,0.005982671174929122,-0.016369631931481887,,,,,,
2010-05-01,1888.0,1148.6997407512,1557.0270421911,1958.998122466,2376.4356156381,3130.0244762706,0.011789924973204746,0.024778063437324915,0.026209825942816067,0.014717891928709204,0.004314834610479545,-0.0007361463859900663,,,,,,
2010-06-01,1908.0,1150.9765281475,1569.6446564555,1987.7522408617,2415.8798009376,3192.7338850581,0.010593220338983134,0.00198205615926339,0.008103657754488403,0.014677971390551603,0.0165980450048544,0.020034798214171756,,,,,,
2010-07-01,1909.0,1134.077766302,1596.5735940513,1983.2029359718,2414.7842131834,3185.6343492502,0.0005241090146750338,-0.014682108133602378,0.017156072544858514,-0.0022886679719843483,-0.0004534943144832715,-0.002223654104441808,,,,,,
2010-08-01,1919.0,1154.3085882487,1602.2470474091,1978.9871070305,2425.2347861539,3181.3463032607,0.005238344683080154,0.01783900764818669,0.003553518221107277,-0.0021257677995691893,0.004327746103956587,-0.0013460571802628163,,,,,,
2010-09-01,1921.0,1148.8017236007,1606.5434803102,2002.6118649794,2409.2538370185,3191.8849251821,0.0010422094841062712,-0.00477070404228308,0.0026815046456458713,0.011937802861358371,-0.006589444134084799,0.003312629596657901,,,,,,
2010-10-01,1934.0,1159.411807879,1575.7516638039,2006.2898294488,2467.8201092142,3191.85245981,0.006767308693388818,0.009235783739116155,-0.019166500554566035,0.0018365837802711837,0.02430888406021059,-1.0171222603827523e-05,,,,,,
2010-11-01,1918.0,1140.084151415,1550.2400518655,1973.7592922278,2447.201295507,3207.8082246363,-0.008273009307135482,-0.0166702256546426,-0.016190122164817855,-0.01621427609486381,-0.008355071599511876,0.004998904249869485,,,,,,
2010-12-01,1949.0,1167.916601996,1594.4104925703,1990.171396359,2502.7801512839,3176.4150344617,0.016162669447340905,0.024412628266480274,0.02849264580130484,0.008315149773240771,0.022711190893426547,-0.009786492201590224,,,,,,
2011-01-01,1950.0,1178.6996414757,1603.0708540362,1986.3225577342,2452.6204842828,3187.1123471174,0.0005130836326321386,0.009232713586973196,0.005431701250246279,-0.0019339231946763347,-0.02004157935141393,0.003367731401483276,0.06035889070146827,0.09756033945734477,0.05106921659075536,0.05618378090359433,0.062505406897986,-0.02602866948210958
2011-02-01,1951.0,1192.9300236556,1576.6791090622,1987.1195859841,2434.0208664569,3218.8917922375,0.0005128205128204222,0.012072950291292184,-0.01646324297366586,0.00040125821800529593,-0.007583569469917006,0.009971234666027007,0.060902664491571556,0.08802506504561292,0.04530563663999909,0.09361494485542643,0.05734553787582408,-0.0002047779457551302
2011-03-01,1944.0,1166.4817754147,1595.4349958773,1966.5129027989,2439.3483688988,3217.3628792529,-0.0035879036391593955,-0.02217082956790073,0.011895817422389765,-0.010370127359493941,0.0021887661339794473,-0.0004749811684527927,0.049676025917926525,0.044020184803961415,0.07138335801988438,0.0433573653686643,0.037070193081781166,0.010332723499062002
2011-04-01,1975.0,1176.429315571,1622.9000207976,1987.3692435832,2502.3938222593,3261.4995175552,0.015946502057613277,0.00852781446393669,0.017214756471602533,0.010605748253477154,0.02584520282724556,0.013718265535701324,0.05841371918542326,0.04951617294990451,0.06962557665128366,0.029413507958937934,0.057546529430301474,0.04123740922167918
2011-05-01,1999.0,1182.8617180476,1650.5187193683,2037.3975841159,2505.9119838081,3303.8308479398,0.012151898734177324,0.005467733922864815,0.01701811461997904,0.025173148218043062,0.0014059184120043255,0.012979100612080297,0.05879237288135597,0.029739692701645115,0.060044992568424105,0.04002018212820446,0.05448343195918404,0.05552875799753765
2011-06-01,2013.0,1196.7236466007,1646.1025421712,2054.714155547,2528.336320759,3332.9299584324,0.007003501750875385,0.011718976395634906,-0.002675629876400465,0.008499357987908018,0.008948573252290704,0.008807687751552162,0.055031446540880546,0.03974635219262912,0.048710315039299346,0.03368725402934092,0.0465488886399712,0.04391097987540182
2011-07-01,2027.0,1205.396748344,1672.0804686233,2069.9941902805,2536.7975156021,3347.2584112606,0.00695479384003983,0.007247372246663497,0.015781475203747286,0.007436574421921138,0.0033465464122113264,0.004299056087857078,0.06181246726034573,0.06288720594052077,0.047293074903238086,0.043763173568604596,0.05052762137195277,0.05073528355457402
2011-08-01,2043.0,1208.8186969634,1701.1656277749,2093.5921095714,2557.6810548666,3368.3317568736,0.007893438579181122,0.0028388566868968734,0.01739459296211221,0.01139999300563388,0.008232245236783786,0.006295703236447681,0.06461698801459104,0.04722316828414308,0.06173740842634445,0.05791093945673387,0.0546117305709366,0.05877557354295271
2011-09-01,2050.0,1203.3433926869,1699.459014853,2103.1884754532,2586.1342436705,3387.7155802871,0.0034263338228095463,-0.004529466900416335,-0.0010032020951024068,0.0045836845858979736,0.011124603964892676,0.005754725131793759,0.06715252472670485,0.04747700840424374,0.057835679943663454,0.050222717758058755,0.07341709035976596,0.061352667685482976
2011-10-01,2063.0,1217.8898278009,1721.6933419479,2126.0744653085,2579.2231202019,3396.8453270961,0.006341463414634152,0.01208834917979651,0.013083179353297503,0.010881568686024634,-0.002672376148111666,0.002694956702423701,0.06670113753877982,0.050437661169656645,0.09261718168946342,0.05970455220450832,0.04514227377098945,0.0642237916279822
2011-11-01,2067.0,1217.7391034455,1714.0995695139,2107.5120944842,2580.2321665567,3456.3214205909,0.0019389238972369327,-0.00012375861260971455,-0.0044106416915155044,-0.008730818758789893,0.00039122104128819224,0.017509214511584714,0.0776850886339937,0.06811335104879723,0.10569944793467156,0.06776550858206831,0.054360412154873305,0.0774713382321277
2011-12-01,2062.0,1209.6303265593,1705.8949697552,2095.9686777025,2600.3063774479,3430.5352722671,-0.002418964683115643,-0.0066588786245400655,-0.004786536269317576,-0.005477271903640224,0.007780001796500624,-0.007460575908878053,0.057978450487429445,0.03571635551032504,0.0699220669359617,0.053159884388377376,0.03896715662938677,0.08000221477621383
2012-01-01,2062.0,1208.7576094358,1715.8530226622,2092.2969200966,2582.0974538511,3469.7993257657,0.0,-0.0007214742424509479,0.005837436116262751,-0.001751818929815685,-0.007002606983055326,0.011445459784662715,0.0574358974358975,0.02550095622534365,0.07035382643383348,0.05335204091086032,0.05279127789971216,0.0886968979628151
2012-02-01,2074.0,1223.322162462,1727.2577473334,2116.5906387828,2576.5502935254,3466.4796657111,0.005819592628516057,0.012049192420801491,0.006646679243834885,0.01161102826891236,-0.0021483156328692132,-0.0009567296961380256,0.06304459251665806,0.025476883139605055,0.09550366806138699,0.06515513898202596,0.05855719194222608,0.07691711603063811
2012-03-01,2080.0,1206.8222807909,1742.6701829373,2134.9598003794,2585.0776774534,3502.5230747646,0.0028929604628735728,-0.013487764856555118,0.008923066419991077,0.008678655787291767,0.003309612837532727,0.010397698105667708,0.06995884773662553,0.03458305669787132,0.09228529362867466,0.08565766201724512,0.059741081025006304,0.0886316546232786
2012-04-01,2108.0,1242.5077357213,1764.2676319938,2151.4895092606,2625.1451396067,3508.5192121069,0.013461538461538414,0.029569768058154366,0.012393308422880667,0.007742398183920196,0.015499519609318169,0.001711947991292817,0.06734177215189874,0.05616862762232988,0.08710802229623638,0.08258166730078464,0.049053556740550563,0.07573807484014727
2012-05-01,2119.0,1251.7863157957,1755.7956330899,2154.211289993,2646.5664878341,3530.1801137648,0.005218216318785496,0.007467623587078531,-0.004801991914529236,0.001265068093841304,0.00816006243015166,0.0061738016377834715,0.06003001500750371,0.05826936208728184,0.06378413797202653,0.057334762143536055,0.056129067954036715,0.0685111545484074
2012-06-01,2130.0,1265.2007045266,1759.6204801982,2151.6392137905,2659.0269759977,3555.7568724234,0.0051911278905143465,0.010716196975178782,0.002178412473648139,-0.001193975825142135,0.004708171217643331,0.007245171020841656,0.058122205663189375,0.05722044360066714,0.06896164431972185,0.04717203995594077,0.051690376064948085,0.066856164626935
2012-07-01,2150.0,1276.6495641677,1786.6467721188,2173.0496321929,2680.5850626461,3575.5849999331,0.009389671361502261,0.009049046210722667,0.015359159673769884,0.009950747441845431,0.008107509567597093,0.005576345127383808,0.060680809077454434,0.05911150492283035,0.06851721890503737,0.04978537736786359,0.05668073472938295,0.06821301513632183
2012-08-01,2162.0,1283.7716404802,1789.7768304861,2201.5380278657,2712.6289807627,3577.8320289706,0.005581395348837281,0.0055787245869176605,0.001751917847526041,0.01310986884549492,0.011954076206396547,0.0006284367558153647,0.058247674987763176,0.062005115990582116,0.052088521696210144,0.05156014765282935,0.06058141049341348,0.062197042102364763
2012-09-01,2170.0,1293.8925944388,1796.7548991516,2225.2302130074,2713.143736156,3590.5915804136,0.0037002775208141436,0.007883765024451206,0.0038988484746473873,0.010761651555330376,0.00018976255026048605,0.0035662801774043462,0.05853658536585371,0.07524801507383194,0.057251091934697795,0.05802700945663086,0.04911171676271353,0.05988578300581748
2012-10-01,2186.0,1286.3389578447,1804.3027735204,2229.3465414292,2756.4210828969,3634.0227361277,0.007373271889400845,-0.0058379162432536935,0.004200836949081799,0.0018498438488470104,0.01595099668483302,0.012095821744531943,0.05962190984003879,0.05620305587689822,0.047981501443826735,0.04857406351743898,0.06870206819529767,0.06982284625669388
2012-11-01,2206.0,1300.9590283947,1812.921032206,2274.7302969204,2787.0810840346,3640.7021146306,0.009149130832570851,0.011365643915890011,0.0047765035957823,0.020357425213087588,0.011123119514627078,0.00183801230424252,0.06724721819061452,0.0683396999519319,0.05765211336009202,0.07934388745566157,0.08016678505095065,0.053345933899914266
2012-12-01,2214.0,1300.3838595072,1825.6193452669,2282.0417981924,2803.5420686002,3645.33377751,0.0036264732547597323,-0.00044211145389394524,0.007004338763419993,0.003214227762253108,0.005906173544750537,0.0012721894660887578,0.07371483996120265,0.07502584132959145,0.07018273553434584,0.0887766704099151,0.0781583635355183,0.06261369966936625
2013-01-01,2216.0,1309.5151733606,1830.1822442275,2271.3273851335,2783.0383297934,3664.9727213363,0.0009033423667570428,0.0070220141434702565,0.002499370404038359,-0.004695099391863522,-0.007313512087599006,0.005387419925018344,0.07468477206595536,0.08335630165904773,0.06663112752391509,0.08556647162135778,0.07782079473514991,0.056249188280515394
2013-02-01,2217.0,1308.8276062453,1825.9566985722,2282.2420534413,2789.5755100636,3671.7137296855,0.0004512635379061436,-0.0005250547143608175,-0.002308811414069689,0.004805413952757354,0.002348936484351416,0.0018393065547135379,0.06894889103182256,0.06989609638986338,0.057141993655072554,0.07826332197791541,0.08267846238961862,0.059205327527083185
2013-03-01,2218.0,1286.4133949959,1826.8054590063,2278.5228144192,2798.8413808157,3678.8177105828,0.00045105999097883043,-0.01712541143115165,0.00046483053774704075,-0.0016296426649801132,0.003321606000150412,0.0019347861571736846,0.06634615384615383,0.06595098174093983,0.04827951777265649,0.06724389565287736,0.08269140429578181,0.050333611529468136
2013-04-01,2237.0,1309.5991892026,1841.1910300191,2292.4141984894,2806.600503876,3721.4931043439,0.008566275924256184,0.01802359513426377,0.007874714267946725,0.006096662268330499,0.0027722625202999396,0.011600301270252356,0.06119544592030368,0.05399680947849572,0.04360075344032066,0.06550098832563278,0.06912203120947646,0.060701931316804014
2013-05-01,2260.0,1332.7797266887,1874.2257406125,2303.0108232252,2826.9135743639,3739.1710796522,0.010281627179257846,0.017700482466100453,0.017942033202854146,0.004622473871773725,0.00723760665611195,0.004750237287196812,0.06654082114204818,0.06470226577090887,0.06745096370594283,0.06907378766577899,0.0681437958799942,0.05920121896118191
2013-06-01,2277.0,1359.933760265,1888.8041757536,2320.7609709411,2843.5748092739,3748.7669110606,0.007522123893805244,0.02037398456214845,0.007778377398837577,0.007707366173399954,0.005893789983922426,0.002566299108542669,0.06901408450704216,0.07487591130756299,0.07341565809739214,0.07860135475624719,0.06940427266893567,0.05428099995646085
2013-07-01,2300.0,1375.5426792986,1916.0574685429,2345.2665081231,2857.6406836263,3795.5910673966,0.010101010101010166,0.0114777053777666,0.014428860937066856,0.01055926805424634,0.004946546265118812,0.012490548878311802,0.06976744186046502,0.07746300778739745,0.07243216647162476,0.07925123907842346,0.06605111079945436,0.061530090171990404
2013-08-01,2312.0,1390.9515723407,1942.2168398982,2346.1143818714,2861.1709821235,3790.7255705231,0.00521739130434784,0.011202046489722228,0.01365270707417432,0.0003615255432010134,0.0012353892207050965,-0.0012818812108853495,0.06938020351526375,0.0834883155857915,0.08517263538979769,0.06567061398701379,0.054759424312806226,0.05950350374993785
2013-09-01,2313.0,1401.9949596033,1951.744537858,2349.3779828084,2855.6169152972,3776.212437596,0.0004325259515571833,0.007939447700552327,0.00490557890554566,0.0013910664212357648,-0.00194118661939513,-0.0038285897137885216,0.06589861751152082,0.08354817519562929,0.08626086884726658,0.05579097797401111,0.05251221203011425,0.05169645531253053
2013-10-01,2322.0,1415.7302533838,1958.8062756795,2353.6380472702,2852.9798255228,3780.7619452546,0.0038910505836575737,0.009796963738290643,0.003618167072853673,0.0018132733399960355,-0.0009234746300434971,0.0012047806456292331,0.06221408966148223,0.10058880262469772,0.0856305850805994,0.05575243845280253,0.03503047601291032,0.04037927657086171
2013-11-01,2318.0,1411.0735840802,1953.2955999737,2352.9729929025,2856.1372258798,3769.8676623901,-0.0017226528854435985,-0.003289234861280854,-0.0028132826478148854,-0.00028256441914298325,0.0011067026583062578,-0.0028815045808884276,0.050770625566636474,0.08464106346329303,0.07743005088141608,0.034396471567652354,0.02477722741572852,0.03547819725223689
2013-12-01,2315.0,1400.6532251704,1943.7462152863,2362.7345805653,2852.3186402356,3757.3863691043,-0.0012942191544434989,-0.007384702702511681,-0.004888857931963142,0.004148618659136627,-0.0013369755520146187,-0.0033108040927588567,0.04561878952122855,0.07710751323935883,0.06470509327459517,0.03535990551830226,0.01739819501255213,0.03073863696257706
2014-01-01,2314.0,1398.6098565413,1932.1976082501,2376.0499326069,2834.0178379486,3770.9465526815,-0.0004319654427645814,-0.0014588683282770187,-0.005941417117820036,0.005635568273781422,-0.0064161142548534444,0.003608940429629781,0.044223826714801406,0.06803638857582439,0.05574054952415941,0.046106320101117815,0.018317932458725705,0.028915312446462282
2014-02-01,2321.0,1396.0226609076,1940.9477244372,2369.1803866687,2856.4133279544,3781.6765786573,0.0030250648228176136,-0.001849833691361158,0.004528582454371488,-0.0028911622790109837,0.007902381455019647,0.002845446315904443,0.046910239061795256,0.0666207331249995,0.06297576823969409,0.038093388515170634,0.023959852547341898,0.02994864443890588
2014-03-01,2317.0,1391.2170514623,1937.6575585464,2354.5214253067,2846.6615058745,3795.7366127451,-0.0017233950883239757,-0.003442357763860149,-0.0016951336964801111,-0.0061873555278801895,-0.003414009444803745,0.003717936686376211,0.04463480613165016,0.08146965576857523,0.060680845348687784,0.03335433395994869,0.01708568602228655,0.03178165143273093
2014-04-01,2338.0,1408.7027147141,1955.9512781613,2378.6389358474,2862.0256254512,3825.4726718303,0.009063444108761365,0.012568609070324976,0.009441152041655743,0.010243062679949011,0.0053972414862089035,0.007834068092436697,0.04514975413500233,0.07567469980784192,0.062329354353312105,0.037613070715937,0.019748133551125813,0.027940282185402898
2014-05-01,2360.0,1422.7080755435,1983.5632266791,2392.1666154231,2899.9097330147,3856.408206691,0.009409751924722043,0.009942027287313415,0.014116889733448046,0.00568715132499964,0.013236816339660784,0.008086722220890685,0.04424778761061954,0.06747427729729005,0.05833741565776829,0.03871271089948425,0.02582185720595498,0.03135377455093735
2014-06-01,2376.0,1446.1063986261,1983.3010120717,2407.8516806316,2927.8490216544,3868.2190374113,0.006779661016949046,0.01644632759511211,-0.00013219372282824438,0.006556844789728622,0.009634537351841832,0.0030626505513104973,0.04347826086956519,0.06336532034053488,0.05002998062538544,0.03752679004041659,0.029636713655519786,0.03186437812344667
2014-07-01,2386.0,1460.7242703517,1999.1824448726,2411.5808369698,2941.1375026878,3876.254540096,0.004208754208754106,0.010108434441260972,0.008007575604628281,0.0015487483586289486,0.004538649682793716,0.002077313256303448,0.037391304347826004,0.06192580741772025,0.043383341937501374,0.028275817958007377,0.029218795609930792,0.02125188706240877
2014-08-01,2403.0,1475.6074642439,2019.2499690375,2439.6510401582,2958.4001759494,3886.0200117838,0.007124895222129002,0.01018891394788457,0.010037865336587126,0.011639752131912928,0.005869386672953558,0.002519306094784568,0.039359861591695466,0.06086185427774504,0.03966247617507923,0.039868754485955504,0.03398230809461755,0.02513883938254846
2014-09-01,2405.0,1483.5142779339,2021.7402174118,2436.3423354726,2949.9640210671,3879.359284315,0.0008322929671245038,0.005358344872598897,0.001233254135191153,-0.0013562204721644378,-0.00285159355751885,-0.0017140229459967626,0.03977518374405542,0.05814522924794696,0.03586313587464618,0.037015905188761744,0.03303913254767954,0.027314895129328276
2014-10-01,2401.0,1474.402240969,2019.4848628569,2435.7827929018,2942.7529466129,3879.1461441123,-0.0016632016632016633,-0.006142197011807959,-0.0011155511155568343,-0.00022966500341659035,-0.002444461831636713,-5.494211468415333e-05,0.034022394487510876,0.0414429143157502,0.030977329371864926,0.03490118020775257,0.03146644090749895,0.026022320442890212
2014-11-01,2402.0,1475.2454441976,2019.708268845,2435.9227583835,2941.1495168679,3885.4710995769,0.0004164931278634043,0.0005718949721926769,0.0001106252352809367,5.7462217939896476e-05,-0.0005448740597968627,0.0016305019789470965,0.036238136324417525,0.045477330765305135,0.03400031663010661,0.03525317363659042,0.029764778182852503,0.030665118126058433
