date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id,client_id
2016-08-04,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,,,Fax,2016-08-08,Closed with explanation,Yes,No,CR2047406,3069.0
2016-07-28,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,Older American,,Fax,2016-08-02,Closed with explanation,Yes,No,CR2036377,524.0
2016-07-19,Bank account or service,Checking account,Deposits and withdrawals,,,Older American,,Fax,2016-07-20,Closed with monetary relief,Yes,No,CR2019528,697.0
2016-07-18,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Older American,,Fax,2016-07-19,Closed with explanation,Yes,No,CR2017443,4643.0
2016-07-15,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Fax,2016-07-16,Closed with explanation,Yes,No,CR2015196,137.0
2016-07-01,Credit card,,Billing disputes,,,,,Fax,2016-07-11,Closed with explanation,Yes,No,CR1994567,7011.0
2016-06-02,Bank account or service,Checking account,Deposits and withdrawals,,,,,Fax,2016-06-06,Closed with explanation,Yes,No,CR1952426,3837.0
2016-05-26,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Fax,2016-05-27,Closed with explanation,Yes,No,CR1943347,2799.0
2016-05-25,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Fax,2016-05-31,Closed with explanation,Yes,No,CR1942158,3834.0
2016-05-25,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Fax,2016-05-31,Closed with explanation,Yes,No,CR1941865,5180.0
2016-05-24,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Fax,2016-05-31,Closed with explanation,Yes,Yes,CR1938865,1699.0
2016-05-23,Bank account or service,Checking account,Problems caused by my funds being low,,,,,Fax,2016-05-24,Closed with explanation,Yes,Yes,CR1936930,3632.0
2016-05-19,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Fax,2016-05-31,Closed with explanation,Yes,No,CR1932270,2463.0
2016-05-13,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Fax,2016-05-13,Closed with explanation,Yes,No,CR1924106,4493.0
2016-05-06,Credit card,,Customer service / Customer relations,,,,,Fax,2016-05-11,Closed with monetary relief,Yes,No,CR1913916,3116.0
2016-05-06,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Fax,2016-05-16,Closed with non-monetary relief,Yes,No,CR1912930,2324.0
2016-05-02,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Fax,2016-05-02,Closed with explanation,Yes,No,CR1905472,1579.0
2016-04-25,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Fax,2016-04-28,Closed with explanation,Yes,No,CR1894861,3039.0
2016-04-19,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Fax,2016-04-21,Closed with monetary relief,Yes,Yes,CR1885950,4294.0
2016-04-18,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Fax,2016-04-18,Closed with explanation,Yes,Yes,CR1884968,12358.0
2016-04-15,Bank account or service,Other bank product/service,Problems caused by my funds being low,,,,,Fax,2016-04-15,Closed with monetary relief,Yes,No,CR1881766,462.0
2016-04-15,Bank account or service,Checking account,Deposits and withdrawals,,,,,Fax,2016-04-15,Closed with monetary relief,Yes,No,CR1882476,13417.0
2016-04-07,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Fax,2016-04-11,Closed with explanation,Yes,No,CR1869568,1445.0
2016-04-04,Credit card,,Identity theft / Fraud / Embezzlement,,,"Older American, Servicemember",,Fax,2016-04-06,Closed with explanation,Yes,No,CR1863969,2209.0
2016-03-23,Bank account or service,Checking account,Deposits and withdrawals,,,Servicemember,,Fax,2016-03-23,Closed with explanation,Yes,No,CR1845683,6256.0
2016-03-10,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Fax,2016-03-10,Closed with explanation,Yes,Yes,CR1826636,472.0
2016-03-08,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Fax,2016-03-08,Closed with explanation,Yes,No,CR1822084,3977.0
2016-02-29,Bank account or service,Checking account,Deposits and withdrawals,,,,,Fax,2016-03-01,Closed with explanation,Yes,No,CR1809285,3372.0
2016-02-17,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Fax,2016-02-18,Closed with explanation,Yes,Yes,CR1791074,11906.0
2016-02-16,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Fax,2016-03-21,Closed with explanation,Yes,Yes,CR1789593,9236.0
2016-02-11,Credit card,,Other,,,,,Fax,2016-02-17,Closed with explanation,Yes,No,CR1784697,9458.0
2016-02-05,Bank account or service,Checking account,"Account opening, closing, or management",,,Servicemember,,Fax,2016-02-05,Closed with non-monetary relief,Yes,No,CR1775172,4445.0
2016-02-04,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Fax,2016-02-17,Closed with explanation,Yes,No,CR1773179,3283.0
2016-02-04,Bank account or service,Checking account,Deposits and withdrawals,,,,,Fax,2016-02-17,Closed with explanation,Yes,No,CR1773807,2129.0
2016-01-29,Credit card,,Billing disputes,,,,,Fax,2016-02-01,Closed with explanation,Yes,No,CR1764286,2084.0
2016-01-28,Credit card,,Other,,,,,Fax,2016-01-29,Closed with explanation,Yes,Yes,CR1762648,4449.0
2016-01-25,Credit card,,Billing disputes,,,,,Fax,2016-01-26,Closed with explanation,Yes,,CR1756498,2296.0
2016-01-25,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Fax,2016-02-01,Closed with explanation,Yes,Yes,CR1756563,2642.0
2016-01-15,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Fax,2016-01-20,Closed with monetary relief,Yes,No,CR1744554,3532.0
2016-01-08,Bank account or service,Other bank product/service,Deposits and withdrawals,,,Older American,,Fax,2016-01-12,Closed with monetary relief,Yes,No,CR1734737,4387.0
2016-01-06,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Older American,,Fax,2016-01-07,Closed with explanation,Yes,No,CR1729929,2727.0
2016-01-04,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Older American,,Fax,2016-01-04,Closed with explanation,Yes,Yes,CR1725606,3241.0
2015-12-22,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,,,Fax,2015-12-23,Closed with explanation,Yes,No,CR1713275,1316.0
2015-12-18,Bank account or service,Other bank product/service,Problems caused by my funds being low,,,,,Fax,2015-12-18,Closed with monetary relief,Yes,No,CR1708290,11064.0
2015-11-30,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Older American,,Fax,2015-12-04,Closed with explanation,Yes,Yes,CR1676436,520.0
2015-11-18,Credit card,,Other,,,,,Fax,2015-12-14,Closed with explanation,Yes,No,CR1660760,3092.0
2015-11-09,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Fax,2015-11-09,Closed with monetary relief,Yes,No,CR1645849,1323.0
2015-11-09,Bank account or service,Other bank product/service,Problems caused by my funds being low,,,,,Fax,2015-11-10,Closed with explanation,Yes,No,CR1645852,482.0
2015-10-29,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Fax,2015-10-30,Closed with explanation,Yes,No,CR1631076,2709.0
2015-10-23,Credit card,,Other,,,,,Fax,2015-10-26,Closed with explanation,Yes,Yes,CR1621364,6924.0
2015-10-23,Credit card,,Identity theft / Fraud / Embezzlement,,,Older American,,Fax,2015-10-27,Closed,Yes,Yes,CR1621318,1129.0
2015-10-05,Credit card,,Billing disputes,,,,,Fax,2015-10-07,Closed with monetary relief,Yes,Yes,CR1592064,3450.0
2015-10-02,Bank account or service,Checking account,Problems caused by my funds being low,,,,,Fax,2015-10-06,Closed with explanation,Yes,No,CR1590438,2755.0
2015-09-21,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,,,Fax,2015-09-24,Closed with non-monetary relief,Yes,No,CR1573466,2409.0
