account_id,district_id,frequency,parseddate,year_,month_,day_,date_
A00003760,44,Monthly Issuance,2013-01-13,2013,1,13,2013-01-13
A00005270,44,Monthly Issuance,2013-01-13,2013,1,13,2013-01-13
A00001699,53,Monthly Issuance,2013-01-14,2013,1,14,2013-01-14
A00003909,1,Monthly Issuance,2013-01-14,2013,1,14,2013-01-14
A00002926,50,Monthly Issuance,2013-01-14,2013,1,14,2013-01-14
A00001731,33,Monthly Issuance,2013-01-14,2013,1,14,2013-01-14
A00011265,15,Monthly Issuance,2013-01-14,2013,1,14,2013-01-14
A00002519,4,Monthly Issuance,2013-01-15,2013,1,15,2013-01-15
A00010364,55,Monthly Issuance,2013-01-17,2013,1,17,2013-01-17
A00001481,15,Monthly Issuance,2013-01-17,2013,1,17,2013-01-17
A00000401,32,Monthly Issuance,2013-01-18,2013,1,18,2013-01-18
A00004034,1,Monthly Issuance,2013-01-18,2013,1,18,2013-01-18
A00002330,54,Monthly Issuance,2013-01-19,2013,1,19,2013-01-19
A00001806,40,Monthly Issuance,2013-01-19,2013,1,19,2013-01-19
A00003834,54,Monthly Issuance,2013-01-19,2013,1,19,2013-01-19
A00001222,66,Monthly Issuance,2013-01-20,2013,1,20,2013-01-20
A00000212,27,Weekly Issuance,2013-01-20,2013,1,20,2013-01-20
A00000456,49,Monthly Issuance,2013-01-21,2013,1,21,2013-01-21
A00000459,47,Monthly Issuance,2013-01-21,2013,1,21,2013-01-21
A00000772,45,Monthly Issuance,2013-01-21,2013,1,21,2013-01-21
A00001019,52,Monthly Issuance,2013-01-21,2013,1,21,2013-01-21
A00011295,74,Monthly Issuance,2013-01-21,2013,1,21,2013-01-21
A00002970,60,Monthly Issuance,2013-01-22,2013,1,22,2013-01-22
A00002676,73,Monthly Issuance,2013-01-22,2013,1,22,2013-01-22
A00001536,41,Weekly Issuance,2013-01-22,2013,1,22,2013-01-22
A00001179,74,Monthly Issuance,2013-01-23,2013,1,23,2013-01-23
A00000280,25,Monthly Issuance,2013-01-23,2013,1,23,2013-01-23
A00002425,41,Monthly Issuance,2013-01-23,2013,1,23,2013-01-23
A00009307,68,Monthly Issuance,2013-01-24,2013,1,24,2013-01-24
A00004055,23,Monthly Issuance,2013-01-24,2013,1,24,2013-01-24
A00005065,66,Monthly Issuance,2013-01-24,2013,1,24,2013-01-24
A00003704,75,Monthly Issuance,2013-01-24,2013,1,24,2013-01-24
A00000477,1,Monthly Issuance,2013-01-25,2013,1,25,2013-01-25
A00005891,54,Monthly Issuance,2013-01-25,2013,1,25,2013-01-25
A00001000,77,Monthly Issuance,2013-01-25,2013,1,25,2013-01-25
A00001750,1,Monthly Issuance,2013-01-26,2013,1,26,2013-01-26
A00002023,68,Monthly Issuance,2013-01-26,2013,1,26,2013-01-26
A00006473,12,Monthly Issuance,2013-01-26,2013,1,26,2013-01-26
A00001649,46,Monthly Issuance,2013-01-26,2013,1,26,2013-01-26
A00002670,13,Monthly Issuance,2013-01-27,2013,1,27,2013-01-27
A00001127,27,Monthly Issuance,2013-01-27,2013,1,27,2013-01-27
A00000163,30,Monthly Issuance,2013-01-27,2013,1,27,2013-01-27
A00002566,48,Monthly Issuance,2013-01-27,2013,1,27,2013-01-27
A00000009,70,Monthly Issuance,2013-01-27,2013,1,27,2013-01-27
A00001144,59,Monthly Issuance,2013-01-28,2013,1,28,2013-01-28
A00002902,32,Monthly Issuance,2013-01-28,2013,1,28,2013-01-28
A00004296,63,Monthly Issuance,2013-01-28,2013,1,28,2013-01-28
A00000443,64,Monthly Issuance,2013-01-28,2013,1,28,2013-01-28
A00003693,61,Monthly Issuance,2013-01-29,2013,1,29,2013-01-29
A00002070,72,Monthly Issuance,2013-01-29,2013,1,29,2013-01-29
A00001843,12,Monthly Issuance,2013-01-30,2013,1,30,2013-01-30
A00002714,1,Monthly Issuance,2013-01-30,2013,1,30,2013-01-30
A00004078,40,Monthly Issuance,2013-01-30,2013,1,30,2013-01-30
A00001675,36,Monthly Issuance,2013-02-01,2013,2,1,2013-02-01
A00005868,44,Monthly Issuance,2013-02-02,2013,2,2,2013-02-02
A00001805,1,Monthly Issuance,2013-02-02,2013,2,2,2013-02-02
A00002434,17,Monthly Issuance,2013-02-02,2013,2,2,2013-02-02
