input_model,input_column,tags,output_model,output_columns
model.facebook_ads_source.stg_facebook_ads__basic_ad,date_day,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""Used in the GROUP BY clause""}",model.facebook_ads.facebook_ads__account_report,"{""date_day"":""Directly copied to the output""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,account_id,"{""Integration"":""Used as the key to join with the accounts table"",""Aggregation"":""Used in the GROUP BY clause""}",model.facebook_ads.facebook_ads__account_report,"{""account_id"":""Directly copied to the output""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,impressions,"{""Aggregation"":""Summed up in the SELECT clause""}",model.facebook_ads.facebook_ads__account_report,"{""impressions"":""Aggregated into the output column""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,clicks,"{""Aggregation"":""Summed up in the SELECT clause""}",model.facebook_ads.facebook_ads__account_report,"{""clicks"":""Aggregated into the output column""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,spend,"{""Aggregation"":""Summed up in the SELECT clause""}",model.facebook_ads.facebook_ads__account_report,"{""spend"":""Aggregated into the output column""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history_tmp,id,"{""Cleaning"":""Cast to BIGINT data type"",""Deduplication"":""Used in the ROW_NUMBER() window function to identify the most recent record""}",model.facebook_ads_source.stg_facebook_ads__campaign_history,"{""campaign_id"":""Directly mapped after casting to BIGINT""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history_tmp,account_id,"{""Cleaning"":""Cast to BIGINT data type""}",model.facebook_ads_source.stg_facebook_ads__campaign_history,"{""account_id"":""Directly mapped after casting to BIGINT""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history_tmp,name,"{""Direct"":""Copied without transformation""}",model.facebook_ads_source.stg_facebook_ads__campaign_history,"{""campaign_name"":""Directly mapped""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history_tmp,updated_time,"{""Deduplication"":""Used in the ROW_NUMBER() window function to order and identify the most recent record"",""Direct"":""Copied without transformation""}",model.facebook_ads_source.stg_facebook_ads__campaign_history,"{""updated_at"":""Directly mapped""}"
model.facebook_ads_source.stg_facebook_ads__creative_history,source_relation,"{""Direct"":""The column is directly copied without any transformation""}",model.facebook_ads.facebook_ads__url_tags,"{""source_relation"":""Directly copied""}"
model.facebook_ads_source.stg_facebook_ads__creative_history,_fivetran_id,"{""Direct"":""The column is directly copied without any transformation""}",model.facebook_ads.facebook_ads__url_tags,"{""_fivetran_id"":""Directly copied""}"
model.facebook_ads_source.stg_facebook_ads__creative_history,creative_id,"{""Direct"":""The column is directly copied without any transformation""}",model.facebook_ads.facebook_ads__url_tags,"{""creative_id"":""Directly copied""}"
model.facebook_ads_source.stg_facebook_ads__creative_history,url_tags,"{""Filtering"":""The column is filtered to include only non-null values"",""Cleaning"":""The column is cleaned by parsing JSON"",""Other"":""The column is flattened and its contents are extracted into separate columns""}",model.facebook_ads.facebook_ads__url_tags,"{""key"":""Extracted from flattened url_tags"",""value"":""Extracted from flattened url_tags"",""type"":""Extracted from flattened url_tags""}"
model.facebook_ads_source.stg_facebook_ads__creative_history,is_most_recent_record,"{""Filtering"":""The column is used to filter for the most recent records""}",model.facebook_ads.facebook_ads__url_tags,
model.facebook_ads_source.stg_facebook_ads__account_history,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as a key to join tables""}",model.facebook_ads.facebook_ads__campaign_report,"{""source_relation"":""Directly copied""}"
model.facebook_ads_source.stg_facebook_ads__account_history,account_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as a key to join tables""}",model.facebook_ads.facebook_ads__campaign_report,"{""account_id"":""Directly copied""}"
model.facebook_ads_source.stg_facebook_ads__account_history,account_name,"{""Direct"":""The column is directly copied without any transformation""}",model.facebook_ads.facebook_ads__campaign_report,"{""account_name"":""Directly copied""}"
model.facebook_ads_source.stg_facebook_ads__account_history,is_most_recent_record,"{""Filtering"":""The column is used to filter for the most recent records""}",model.facebook_ads.facebook_ads__campaign_report,
model.facebook_ads_source.stg_facebook_ads__ad_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""copied directly to the output""}",model.facebook_ads.facebook_ads__campaign_report,"{""source_relation"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__ad_history,ad_id,"{""Integration"":""used as the key to join with the report table""}",model.facebook_ads.facebook_ads__campaign_report,
model.facebook_ads_source.stg_facebook_ads__ad_history,campaign_id,"{""Integration"":""used as the key to join with the campaigns table""}",model.facebook_ads.facebook_ads__campaign_report,
model.facebook_ads_source.stg_facebook_ads__ad_history,is_most_recent_record,"{""Filtering"":""used to filter only the most recent records""}",model.facebook_ads.facebook_ads__campaign_report,
model.facebook_ads_source.stg_facebook_ads__basic_ad,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables"",""Aggregation"":""Part of the GROUP BY clause""}",model.facebook_ads.facebook_ads__campaign_report,"{""source_relation"":""Directly copied to the output""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,ad_id,"{""Integration"":""Used as a key to join with the ads table""}",model.facebook_ads.facebook_ads__campaign_report,
model.facebook_ads_source.stg_facebook_ads__basic_ad,date_day,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""Part of the GROUP BY clause""}",model.facebook_ads.facebook_ads__campaign_report,"{""date_day"":""Directly copied to the output""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,account_id,"{""Integration"":""Used as a key to join with the accounts table""}",model.facebook_ads.facebook_ads__campaign_report,"{""account_id"":""Indirectly mapped through the join with accounts table""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,impressions,"{""Aggregation"":""The column is aggregated using SUM function""}",model.facebook_ads.facebook_ads__campaign_report,"{""impressions"":""Aggregated sum in the output""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,clicks,"{""Aggregation"":""The column is aggregated using SUM function""}",model.facebook_ads.facebook_ads__campaign_report,"{""clicks"":""Aggregated sum in the output""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,spend,"{""Aggregation"":""The column is aggregated using SUM function""}",model.facebook_ads.facebook_ads__campaign_report,"{""spend"":""Aggregated sum in the output""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__campaign_report,"{""source_relation"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,campaign_id,"{""Integration"":""used as the key to join with the ads table"",""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__campaign_report,"{""campaign_id"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,account_id,"{""Integration"":""indirectly used in joining through the ads table""}",model.facebook_ads.facebook_ads__campaign_report,
model.facebook_ads_source.stg_facebook_ads__campaign_history,campaign_name,"{""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__campaign_report,"{""campaign_name"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,is_most_recent_record,"{""Filtering"":""used to filter only the most recent records""}",model.facebook_ads.facebook_ads__campaign_report,
model.facebook_ads_source.stg_facebook_ads__campaign_history,start_at,"{""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__campaign_report,"{""start_at"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,end_at,"{""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__campaign_report,"{""end_at"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,daily_budget,"{""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__campaign_report,"{""daily_budget"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,budget_remaining,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as part of the join condition with the ads table""}",model.facebook_ads.facebook_ads__campaign_report,"{""budget_remaining"":""Directly copied to the output""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,lifetime_budget,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as part of the join condition with the ads table""}",model.facebook_ads.facebook_ads__campaign_report,"{""lifetime_budget"":""Directly copied to the output""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,status,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as part of the join condition with the ads table""}",model.facebook_ads.facebook_ads__campaign_report,"{""status"":""Directly copied to the output""}"
model.facebook_ads_source.stg_facebook_ads__ad_history_tmp,id,"{""Cleaning"":""The column is cast to BIGINT"",""Deduplication"":""Used in ROW_NUMBER() function to identify the most recent record""}",model.facebook_ads_source.stg_facebook_ads__ad_history,"{""ad_id"":""Directly mapped after casting to BIGINT""}"
model.facebook_ads_source.stg_facebook_ads__ad_history_tmp,account_id,"{""Cleaning"":""The column is cast to BIGINT""}",model.facebook_ads_source.stg_facebook_ads__ad_history,"{""account_id"":""Directly mapped after casting to BIGINT""}"
model.facebook_ads_source.stg_facebook_ads__ad_history_tmp,ad_set_id,"{""Cleaning"":""The column is cast to BIGINT""}",model.facebook_ads_source.stg_facebook_ads__ad_history,"{""ad_set_id"":""Directly mapped after casting to BIGINT""}"
model.facebook_ads_source.stg_facebook_ads__ad_history_tmp,campaign_id,"{""Cleaning"":""The column is cast to BIGINT""}",model.facebook_ads_source.stg_facebook_ads__ad_history,"{""campaign_id"":""Directly mapped after casting to BIGINT""}"
model.facebook_ads_source.stg_facebook_ads__ad_history_tmp,creative_id,"{""Cleaning"":""The column is cast to BIGINT""}",model.facebook_ads_source.stg_facebook_ads__ad_history,"{""creative_id"":""Directly mapped after casting to BIGINT""}"
model.facebook_ads_source.stg_facebook_ads__ad_history_tmp,name,"{""Direct"":""The column is directly copied without transformation""}",model.facebook_ads_source.stg_facebook_ads__ad_history,"{""ad_name"":""Directly mapped""}"
model.facebook_ads_source.stg_facebook_ads__ad_history_tmp,updated_time,"{""Deduplication"":""Used in ROW_NUMBER() function to identify the most recent record""}",model.facebook_ads_source.stg_facebook_ads__ad_history,"{""updated_at"":""Directly mapped""}"
model.facebook_ads_source.stg_facebook_ads__ad_set_history_tmp,id,"{""Cleaning"":""The column is cast to BIGINT"",""Deduplication"":""Used in the ROW_NUMBER() function to identify the most recent record""}",model.facebook_ads_source.stg_facebook_ads__ad_set_history,"{""ad_set_id"":""Directly mapped after casting to BIGINT""}"
model.facebook_ads_source.stg_facebook_ads__ad_set_history_tmp,account_id,"{""Cleaning"":""The column is cast to BIGINT""}",model.facebook_ads_source.stg_facebook_ads__ad_set_history,"{""account_id"":""Directly mapped after casting to BIGINT""}"
model.facebook_ads_source.stg_facebook_ads__ad_set_history_tmp,campaign_id,"{""Cleaning"":""The column is cast to BIGINT""}",model.facebook_ads_source.stg_facebook_ads__ad_set_history,"{""campaign_id"":""Directly mapped after casting to BIGINT""}"
model.facebook_ads_source.stg_facebook_ads__ad_set_history_tmp,name,"{""Direct"":""The column is directly copied without transformation""}",model.facebook_ads_source.stg_facebook_ads__ad_set_history,"{""ad_set_name"":""Directly mapped""}"
model.facebook_ads_source.stg_facebook_ads__ad_set_history_tmp,updated_time,"{""Cleaning"":""Cast to TIMESTAMP"",""Deduplication"":""Used in the ROW_NUMBER() function to identify the most recent record""}",model.facebook_ads_source.stg_facebook_ads__ad_set_history,"{""updated_at"":""Directly mapped after casting to TIMESTAMP""}"
model.facebook_ads.int_facebook_ads__creative_history,source_relation,"{""Direct"":""The column is directly copied without transformation"",""Integration"":""Used as part of the join condition with other tables""}",model.facebook_ads.facebook_ads__url_report,"{""source_relation"":""Directly copied to the output""}"
model.facebook_ads.int_facebook_ads__creative_history,creative_id,"{""Direct"":""The column is directly copied without transformation"",""Integration"":""Used as the key to join with the ads table""}",model.facebook_ads.facebook_ads__url_report,"{""creative_id"":""Directly copied to the output""}"
model.facebook_ads.int_facebook_ads__creative_history,creative_name,"{""Direct"":""The column is directly copied without transformation""}",model.facebook_ads.facebook_ads__url_report,"{""creative_name"":""Directly copied to the output""}"
model.facebook_ads.int_facebook_ads__creative_history,url,"{""Filtering"":""Used in the WHERE clause to filter out null URLs""}",model.facebook_ads.facebook_ads__url_report,
model.facebook_ads.int_facebook_ads__creative_history,base_url,"{""Direct"":""The column is directly copied without transformation""}",model.facebook_ads.facebook_ads__url_report,"{""base_url"":""Directly copied to the output""}"
model.facebook_ads.int_facebook_ads__creative_history,url_host,"{""Direct"":""The column is directly copied without transformation""}",model.facebook_ads.facebook_ads__url_report,"{""url_host"":""Directly copied to the output""}"
model.facebook_ads.int_facebook_ads__creative_history,url_path,"{""Direct"":""The column is directly copied without transformation""}",model.facebook_ads.facebook_ads__url_report,"{""url_path"":""Directly copied to the output""}"
model.facebook_ads.int_facebook_ads__creative_history,utm_source,"{""Direct"":""The column is directly copied without transformation""}",model.facebook_ads.facebook_ads__url_report,"{""utm_source"":""Directly copied to the output""}"
model.facebook_ads.int_facebook_ads__creative_history,utm_medium,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as part of the join condition with the creatives table""}",model.facebook_ads.facebook_ads__url_report,"{""utm_medium"":""Directly copied to the output""}"
model.facebook_ads.int_facebook_ads__creative_history,utm_campaign,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as part of the join condition with the creatives table""}",model.facebook_ads.facebook_ads__url_report,"{""utm_campaign"":""Directly copied to the output""}"
model.facebook_ads.int_facebook_ads__creative_history,utm_content,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as part of the join condition with the creatives table""}",model.facebook_ads.facebook_ads__url_report,"{""utm_content"":""Directly copied to the output""}"
model.facebook_ads.int_facebook_ads__creative_history,utm_term,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as part of the join condition with the creatives table""}",model.facebook_ads.facebook_ads__url_report,"{""utm_term"":""Directly copied to the output""}"
model.facebook_ads_source.stg_facebook_ads__account_history,source_relation,"{""Integration"":""Used as part of the join condition with the report table"",""Direct"":""Directly copied to the output""}",model.facebook_ads.facebook_ads__url_report,"{""source_relation"":""Directly copied""}"
model.facebook_ads_source.stg_facebook_ads__account_history,account_id,"{""Integration"":""Used as part of the join condition with the report table"",""Direct"":""Directly copied to the output""}",model.facebook_ads.facebook_ads__url_report,"{""account_id"":""Directly copied""}"
model.facebook_ads_source.stg_facebook_ads__account_history,account_name,"{""Direct"":""Directly copied to the output""}",model.facebook_ads.facebook_ads__url_report,"{""account_name"":""Directly copied""}"
model.facebook_ads_source.stg_facebook_ads__account_history,is_most_recent_record,"{""Filtering"":""Used to filter only the most recent records""}",model.facebook_ads.facebook_ads__url_report,
model.facebook_ads_source.stg_facebook_ads__ad_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""copied directly to the output""}",model.facebook_ads.facebook_ads__url_report,"{""source_relation"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__ad_history,ad_id,"{""Integration"":""used as the key to join with the report table"",""Direct"":""copied directly to the output""}",model.facebook_ads.facebook_ads__url_report,"{""ad_id"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__ad_history,ad_set_id,"{""Integration"":""used to join with the ad_sets table""}",model.facebook_ads.facebook_ads__url_report,
model.facebook_ads_source.stg_facebook_ads__ad_history,campaign_id,"{""Integration"":""used to join with the campaigns table""}",model.facebook_ads.facebook_ads__url_report,
model.facebook_ads_source.stg_facebook_ads__ad_history,creative_id,"{""Integration"":""used to join with the creatives table""}",model.facebook_ads.facebook_ads__url_report,
model.facebook_ads_source.stg_facebook_ads__ad_history,ad_name,"{""Direct"":""copied directly to the output""}",model.facebook_ads.facebook_ads__url_report,"{""ad_name"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__ad_history,is_most_recent_record,"{""Filtering"":""used to filter only the most recent records""}",model.facebook_ads.facebook_ads__url_report,
model.facebook_ads_source.stg_facebook_ads__ad_set_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__url_report,"{""source_relation"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__ad_set_history,ad_set_id,"{""Integration"":""used as the key to join with the report table"",""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__url_report,"{""ad_set_id"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__ad_set_history,ad_set_name,"{""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__url_report,"{""ad_set_name"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__ad_set_history,is_most_recent_record,"{""Filtering"":""used to filter only the most recent records""}",model.facebook_ads.facebook_ads__url_report,
model.facebook_ads_source.stg_facebook_ads__ad_set_history,status,"{""Filtering"":""The column is used to filter for the most recent record with the condition 'is_most_recent_record = TRUE'""}",model.facebook_ads.facebook_ads__url_report,
model.facebook_ads_source.stg_facebook_ads__basic_ad,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as part of the join conditions with other tables""}",model.facebook_ads.facebook_ads__url_report,"{""source_relation"":""Directly copied to the output""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,ad_id,"{""Integration"":""Used as a key to join with the ads table""}",model.facebook_ads.facebook_ads__url_report,"{""ad_id"":""Indirectly mapped through the join with ads table""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,date_day,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""Used in the GROUP BY clause""}",model.facebook_ads.facebook_ads__url_report,"{""date_day"":""Directly copied to the output""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,account_id,"{""Integration"":""Used as a key to join with the accounts table""}",model.facebook_ads.facebook_ads__url_report,"{""account_id"":""Indirectly mapped through the join with accounts table""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,impressions,"{""Aggregation"":""Summed up in the SELECT clause""}",model.facebook_ads.facebook_ads__url_report,"{""impressions"":""Aggregated sum in the output""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,clicks,"{""Aggregation"":""Summed up in the SELECT clause""}",model.facebook_ads.facebook_ads__url_report,"{""clicks"":""Aggregated sum in the output""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,spend,"{""Aggregation"":""Summed up in the SELECT clause""}",model.facebook_ads.facebook_ads__url_report,"{""spend"":""Aggregated sum in the output""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,source_relation,"{""Integration"":""used to join with other tables"",""Filtering"":""used in the WHERE clause to ensure consistency across joins""}",model.facebook_ads.facebook_ads__url_report,"{""source_relation"":""directly copied to output""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,campaign_id,"{""Integration"":""used to join with the ads table"",""Filtering"":""used in the WHERE clause to ensure consistency across joins""}",model.facebook_ads.facebook_ads__url_report,"{""campaign_id"":""directly copied to output""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,campaign_name,"{""Direct"":""copied without transformation""}",model.facebook_ads.facebook_ads__url_report,"{""campaign_name"":""directly copied to output""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,is_most_recent_record,"{""Filtering"":""used to select only the most recent records (WHERE is_most_recent_record = TRUE)""}",model.facebook_ads.facebook_ads__url_report,
model.facebook_ads_source.stg_facebook_ads__campaign_history,status,"{""Filtering"":""The column is used to filter for the most recent records with the condition 'is_most_recent_record = TRUE'""}",model.facebook_ads.facebook_ads__url_report,
model.facebook_ads_source.stg_facebook_ads__account_history,source_relation,"{""Integration"":""used as part of the join condition with the report table"",""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__ad_report,"{""source_relation"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__account_history,account_id,"{""Integration"":""used as the join key with the report table"",""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__ad_report,"{""account_id"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__account_history,account_name,"{""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__ad_report,"{""account_name"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__account_history,is_most_recent_record,"{""Filtering"":""used to filter only the most recent records""}",model.facebook_ads.facebook_ads__ad_report,
model.facebook_ads_source.stg_facebook_ads__ad_history,source_relation,"{""Integration"":""used as a key to join with other tables"",""Direct"":""copied directly to the output""}",model.facebook_ads.facebook_ads__ad_report,"{""source_relation"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__ad_history,ad_id,"{""Integration"":""used as a key to join with the report table"",""Direct"":""copied directly to the output""}",model.facebook_ads.facebook_ads__ad_report,"{""ad_id"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__ad_history,campaign_id,"{""Integration"":""used as a key to join with the campaigns table""}",model.facebook_ads.facebook_ads__ad_report,
model.facebook_ads_source.stg_facebook_ads__ad_history,ad_name,"{""Direct"":""copied directly to the output""}",model.facebook_ads.facebook_ads__ad_report,"{""ad_name"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__ad_history,is_most_recent_record,"{""Filtering"":""used to filter only the most recent records""}",model.facebook_ads.facebook_ads__ad_report,
model.facebook_ads_source.stg_facebook_ads__ad_set_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__ad_report,"{""source_relation"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__ad_set_history,ad_set_id,"{""Integration"":""used as part of the join condition with the ads table"",""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__ad_report,"{""ad_set_id"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__ad_set_history,ad_set_name,"{""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__ad_report,"{""ad_set_name"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__ad_set_history,is_most_recent_record,"{""Filtering"":""used to filter only the most recent records""}",model.facebook_ads.facebook_ads__ad_report,
model.facebook_ads_source.stg_facebook_ads__ad_set_history,status,"{""Filtering"":""The column is used to filter for the most recent records with the condition 'is_most_recent_record = TRUE'""}",model.facebook_ads.facebook_ads__ad_report,
model.facebook_ads_source.stg_facebook_ads__basic_ad,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as part of the join condition with other tables"",""Aggregation"":""Included in the GROUP BY clause""}",model.facebook_ads.facebook_ads__ad_report,"{""source_relation"":""Directly copied to the output""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,ad_id,"{""Integration"":""Used as a join key to connect with the ads table"",""Aggregation"":""Included in the GROUP BY clause""}",model.facebook_ads.facebook_ads__ad_report,"{""ad_id"":""Directly copied to the output from the joined ads table""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,date_day,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""Included in the GROUP BY clause""}",model.facebook_ads.facebook_ads__ad_report,"{""date_day"":""Directly copied to the output""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,account_id,"{""Integration"":""Used as a join key to connect with the accounts table""}",model.facebook_ads.facebook_ads__ad_report,"{""account_id"":""Directly copied to the output from the joined accounts table""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,impressions,"{""Aggregation"":""The column is summed up in the SELECT statement""}",model.facebook_ads.facebook_ads__ad_report,"{""impressions"":""Aggregated sum in the output""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,clicks,"{""Aggregation"":""The column is summed up in the SELECT statement""}",model.facebook_ads.facebook_ads__ad_report,"{""clicks"":""Aggregated sum in the output""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,spend,"{""Aggregation"":""The column is summed up in the SELECT statement""}",model.facebook_ads.facebook_ads__ad_report,"{""spend"":""Aggregated sum in the output""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,source_relation,"{""Integration"":""used to join with other tables"",""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__ad_report,"{""source_relation"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,campaign_id,"{""Integration"":""used to join with the ads table"",""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__ad_report,"{""campaign_id"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,campaign_name,"{""Direct"":""directly copied to the output""}",model.facebook_ads.facebook_ads__ad_report,"{""campaign_name"":""directly copied""}"
model.facebook_ads_source.stg_facebook_ads__campaign_history,is_most_recent_record,"{""Filtering"":""used to filter for the most recent records""}",model.facebook_ads.facebook_ads__ad_report,
model.facebook_ads.facebook_ads__url_tags,source_relation,"{""Integration"":""Used to join with the base table"",""Direct"":""Directly selected in the final output""}",model.facebook_ads.int_facebook_ads__creative_history,"{""source_relation"":""Directly copied to the output""}"
model.facebook_ads.facebook_ads__url_tags,_fivetran_id,"{""Integration"":""Used to join with the base table"",""Aggregation"":""Used in GROUP BY clause""}",model.facebook_ads.int_facebook_ads__creative_history,
model.facebook_ads.facebook_ads__url_tags,creative_id,"{""Integration"":""Used to join with the base table"",""Aggregation"":""Used in GROUP BY clause""}",model.facebook_ads.int_facebook_ads__creative_history,"{""creative_id"":""Directly copied to the output""}"
