input_model,input_column,tags,output_model,output_columns
model.sap_source.stg_sap__faglflext_tmp,KOKRS,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__faglflext,"{""kokrs"":""Directly mapped without transformation""}"
model.sap_source.stg_sap__faglflext_tmp,SEGMENT,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT""}",model.sap_source.stg_sap__faglflext,"{""segment"":""Directly copied and cast as TEXT""}"
model.sap_source.stg_sap__faglflext_tmp,ZZSPREG,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__faglflext,"{""zzspreg"":""Directly copied""}"
model.sap_source.stg_sap__faglflext_tmp,SCNTR,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__faglflext,"{""scntr"":""Directly copied""}"
model.sap_source.stg_sap__faglflext_tmp,PPRCTR,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__faglflext,"{""pprctr"":""Directly copied""}"
model.sap_source.stg_sap__faglflext_tmp,SFAREA,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__faglflext,"{""sfarea"":""Directly copied""}"
model.sap_source.stg_sap__faglflext_tmp,SBUSA,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__faglflext,"{""sbusa"":""Directly copied""}"
model.sap_source.stg_sap__faglflext_tmp,RASSC,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__faglflext,"{""rassc"":""Directly copied""}"
model.sap_source.stg_sap__faglflext_tmp,PSEGMENT,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__faglflext,"{""psegment"":""Directly copied""}"
model.sap_source.stg_sap__faglflext_tmp,TSLVT,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""tslvt"":""Directly copied and cast as DECIMAL(28, 6)""}"
model.sap_source.stg_sap__faglflext_tmp,TSL01,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""tsl01"":""Directly copied and cast as DECIMAL(28, 6)""}"
model.sap_source.stg_sap__faglflext_tmp,TSL02,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""tsl02"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,TSL03,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""tsl03"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,TSL04,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""tsl04"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,TSL05,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""tsl05"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,TSL06,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""tsl06"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,TSL07,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""tsl07"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,TSL08,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""tsl08"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,TSL09,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""tsl09"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,TSL10,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""tsl10"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,TSL11,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""tsl11"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,TSL12,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""tsl12"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,TSL13,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""tsl13"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,TSL14,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""tsl14"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,TSL15,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""tsl15"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,TSL16,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""tsl16"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSLVT,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""hslvt"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSL01,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""hsl01"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSL02,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""hsl02"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSL03,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""hsl03"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSL04,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""hsl04"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSL05,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""HSL05"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSL06,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""HSL06"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSL07,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""HSL07"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSL08,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""HSL08"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSL09,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""HSL09"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSL10,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""HSL10"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSL11,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""HSL11"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSL12,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""HSL12"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSL13,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""HSL13"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSL14,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""HSL14"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSL15,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""hsl15"":""It is directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,HSL16,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""hsl16"":""It is directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSLVT,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""kslvt"":""It is directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSL01,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""ksl01"":""It is directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSL02,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""ksl02"":""It is directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSL03,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""ksl03"":""It is directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSL04,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""ksl04"":""It is directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSL05,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""ksl05"":""It is directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSL06,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""ksl06"":""It is directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSL07,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""ksl07"":""It is directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSL08,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""KSL08"":""Directly copied after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSL09,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""KSL09"":""Directly copied after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSL10,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""KSL10"":""Directly copied after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSL11,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""KSL11"":""Directly copied after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSL12,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""KSL12"":""Directly copied after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSL13,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""KSL13"":""Directly copied after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSL14,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""KSL14"":""Directly copied after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSL15,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""KSL15"":""Directly copied after casting""}"
model.sap_source.stg_sap__faglflext_tmp,KSL16,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""KSL16"":""Directly copied after casting""}"
model.sap_source.stg_sap__faglflext_tmp,OSLVT,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) in the 'fields' CTE""}",model.sap_source.stg_sap__faglflext,"{""OSLVT"":""Directly copied after casting""}"
model.sap_source.stg_sap__faglflext_tmp,OSL01,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""OSL01"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,OSL02,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""OSL02"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,OSL03,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""OSL03"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,OSL04,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""OSL04"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,OSL05,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""OSL05"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,OSL06,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""OSL06"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,OSL07,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""OSL07"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,OSL08,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""OSL08"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,OSL09,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""OSL09"":""Directly mapped after casting""}"
model.sap_source.stg_sap__faglflext_tmp,OSL10,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6)""}",model.sap_source.stg_sap__faglflext,"{""OSL10"":""Directly mapped after casting""}"
