date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id,client_id
2014-10-02,Bank account or service,Checking account,Using a debit or ATM card,,,,,Postal mail,2014-10-08,Closed with explanation,Yes,Yes,CR1055739,3491.0
2014-10-01,Credit card,,Closing/Cancelling account,,,,,Postal mail,2014-10-01,Closed with explanation,Yes,No,CR1052937,1800.0
2014-09-29,Credit card,,Other,,,Servicemember,,Postal mail,2014-10-03,Closed with explanation,Yes,No,CR1048493,153.0
2014-09-29,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-10-03,Closed with monetary relief,Yes,No,CR1049161,4507.0
2014-09-24,Credit card,,Closing/Cancelling account,,,,,Postal mail,2014-10-01,Closed with non-monetary relief,Yes,No,CR1043033,359.0
2014-09-24,Credit card,,Closing/Cancelling account,,,,,Postal mail,2014-10-01,Closed with monetary relief,Yes,No,CR1043064,889.0
2014-09-24,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-10-07,Closed with non-monetary relief,Yes,No,CR1043725,1322.0
2014-09-23,Credit card,,Delinquent account,,,,,Postal mail,2014-09-30,Closed with monetary relief,Yes,No,CR1041338,1615.0
2014-09-22,Bank account or service,Checking account,"Account opening, closing, or management",,,Older American,,Postal mail,2014-09-26,Closed with non-monetary relief,Yes,Yes,CR1039862,690.0
2014-09-19,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-09-24,Closed with explanation,Yes,No,CR1036212,4447.0
2014-09-19,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,Older American,,Postal mail,2014-09-25,Closed with explanation,Yes,Yes,CR1037442,3575.0
2014-09-18,Bank account or service,Savings account,Deposits and withdrawals,,,"Older American, Servicemember",,Postal mail,2014-09-23,Closed with explanation,Yes,No,CR1034019,2741.0
2014-09-17,Credit card,,Credit card protection / Debt protection,,,,,Postal mail,2014-09-22,Closed with explanation,Yes,Yes,CR1033289,3453.0
2014-09-15,Credit card,,Billing disputes,,,,,Postal mail,2014-10-24,Closed with explanation,Yes,No,CR1028244,1137.0
2014-09-15,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-09-18,Closed with monetary relief,Yes,No,CR1028618,3681.0
2014-09-09,Credit card,,Billing disputes,,,,,Postal mail,2014-09-12,Closed with explanation,Yes,Yes,CR1020973,1688.0
2014-09-09,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Postal mail,2014-09-12,Closed with monetary relief,Yes,No,CR1021049,1455.0
2014-09-05,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,Servicemember,,Postal mail,2014-09-09,Closed with explanation,Yes,No,CR1016907,544.0
2014-09-05,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-09-09,Closed with monetary relief,Yes,No,CR1015823,282.0
2014-09-03,Credit card,,Closing/Cancelling account,,,,,Postal mail,2014-09-08,Closed with non-monetary relief,Yes,No,CR1012005,3484.0
2014-09-03,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-09-09,Closed with explanation,Yes,No,CR1012387,1472.0
2014-08-25,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-08-28,Closed with explanation,Yes,Yes,CR0998715,2484.0
2014-08-19,Credit card,,Transaction issue,,,,,Postal mail,2014-08-21,Closed with explanation,Yes,Yes,CR0991124,2639.0
2014-08-18,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-08-20,Closed with explanation,Yes,Yes,CR0988909,9641.0
2014-08-14,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,,Postal mail,2014-08-19,Closed with explanation,Yes,No,CR0985231,2661.0
2014-08-14,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,,Postal mail,2014-08-18,Closed with explanation,Yes,No,CR0984272,4192.0
2014-08-13,Credit card,,Other fee,,,,,Postal mail,2014-08-15,Closed with monetary relief,Yes,No,CR0983354,1800.0
2014-08-12,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-08-14,Closed with explanation,Yes,No,CR0980711,2659.0
2014-08-12,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-08-14,Closed with explanation,Yes,No,CR0979770,1121.0
2014-08-08,Bank account or service,Checking account,"Account opening, closing, or management",,,Older American,,Postal mail,2014-08-12,Closed with explanation,Yes,Yes,CR0975736,3228.0
2014-08-08,Bank account or service,Savings account,"Account opening, closing, or management",,,Older American,,Postal mail,2014-08-12,Closed with explanation,Yes,No,CR0976157,5013.0
2014-08-08,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-08-12,Closed with explanation,Yes,No,CR0975868,6478.0
2014-08-07,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-08-18,Closed with explanation,No,No,CR0974292,1760.0
2014-08-05,Credit card,,Closing/Cancelling account,,,,,Postal mail,2014-08-07,Closed with explanation,Yes,No,CR0968873,1618.0
2014-08-05,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-08-07,Closed with monetary relief,Yes,No,CR0969474,1107.0
2014-08-04,Credit card,,Other,,,,,Postal mail,2014-08-06,Closed with explanation,Yes,No,CR0967701,3135.0
2014-08-04,Bank account or service,Checking account,Problems caused by my funds being low,,,,,Postal mail,2014-08-06,Closed with explanation,Yes,No,CR0966367,1563.0
2014-08-04,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-08-18,Closed with explanation,Yes,Yes,CR0968075,3235.0
2014-08-01,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-08-05,Closed with explanation,Yes,No,CR0964899,2897.0
2014-07-29,Bank account or service,Checking account,Problems caused by my funds being low,,,,,Postal mail,2014-07-31,Closed with explanation,Yes,No,CR0958556,978.0
2014-07-29,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Postal mail,2014-07-31,Closed with explanation,Yes,No,CR0958845,144.0
2014-07-29,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Postal mail,2014-07-31,Closed with explanation,Yes,No,CR0958906,2707.0
2014-07-29,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-07-31,Closed,Yes,No,CR0958764,1453.0
2014-07-28,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,,Postal mail,2014-07-31,Closed with explanation,Yes,Yes,CR0956840,1268.0
2014-07-16,Credit card,,Delinquent account,,,,,Postal mail,2014-07-22,Closed with non-monetary relief,Yes,No,CR0938933,1116.0
2014-07-10,Bank account or service,Checking account,Problems caused by my funds being low,,,,,Postal mail,2014-07-15,Closed with explanation,Yes,No,CR0932302,2063.0
2014-07-09,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-07-14,Closed with explanation,Yes,No,CR0928856,2720.0
2014-07-02,Credit card,,Sale of account,,,,,Postal mail,2014-07-08,Closed with explanation,Yes,No,CR0920283,5134.0
2014-07-02,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-07-08,Closed with non-monetary relief,Yes,No,CR0921256,555.0
2014-06-30,Credit card,,Billing disputes,,,,,Postal mail,2014-07-03,Closed with monetary relief,Yes,No,CR0916346,9987.0
2014-06-30,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-07-03,Closed with explanation,Yes,No,CR0917098,3996.0
2014-06-26,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,,Postal mail,2014-06-27,Closed with explanation,Yes,No,CR0911597,13690.0
2014-06-25,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-06-27,Closed with non-monetary relief,Yes,No,CR0909656,8726.0
2014-06-24,Credit card,,Billing disputes,,,,,Postal mail,2014-06-26,Closed with explanation,Yes,Yes,CR0908438,3095.0
2014-06-23,Credit card,,Credit line increase/decrease,,,,,Postal mail,2014-06-25,Closed with explanation,Yes,Yes,CR0905580,5273.0
2014-06-23,Credit card,,Closing/Cancelling account,,,,,Postal mail,2014-06-25,Closed with explanation,Yes,No,CR0906123,821.0
2014-06-20,Credit card,,Other,,,,,Postal mail,2014-06-24,Closed with explanation,Yes,No,CR0904058,11795.0
2014-06-18,Credit card,,Customer service / Customer relations,,,,,Postal mail,2014-06-20,Closed with explanation,Yes,No,CR0900235,2213.0
2014-06-18,Credit card,,Unsolicited issuance of credit card,,,,,Postal mail,2014-06-20,Closed with explanation,Yes,No,CR0900602,3727.0
2014-06-18,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-07-10,Closed with explanation,Yes,No,CR0899921,12844.0
2014-06-18,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-06-20,Closed with explanation,Yes,No,CR0900335,1456.0
2014-06-16,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-06-18,Closed with explanation,Yes,No,CR0896449,72.0
2014-06-16,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-06-18,Closed with explanation,Yes,No,CR0896286,1464.0
2014-06-13,Credit card,,Billing disputes,,,,,Postal mail,2014-06-17,Closed with explanation,Yes,No,CR0893905,1704.0
2014-06-13,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-06-17,Closed with explanation,Yes,No,CR0893571,8013.0
2014-06-13,Bank account or service,Checking account,"Account opening, closing, or management",,,"Older American, Servicemember",,Postal mail,2014-07-30,Closed with explanation,Yes,Yes,CR0893478,2279.0
2014-06-13,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Postal mail,2014-06-17,Closed with explanation,Yes,No,CR0894896,1591.0
2014-06-12,Credit card,,Credit determination,,,,,Postal mail,2014-06-16,Closed with monetary relief,Yes,No,CR0892713,2178.0
2014-06-12,Bank account or service,(CD) Certificate of deposit,Deposits and withdrawals,,,Servicemember,,Postal mail,2014-06-13,Closed with explanation,Yes,No,CR0891383,4807.0
2014-06-11,Credit card,,Credit determination,,,,,Postal mail,2014-06-12,Closed with explanation,Yes,No,CR0891020,314.0
2014-06-11,Credit card,,Late fee,,,,,Postal mail,2014-06-12,Closed with explanation,Yes,No,CR0889791,2315.0
2014-06-10,Bank account or service,Savings account,Deposits and withdrawals,,,Older American,,Postal mail,2014-06-11,Closed with explanation,Yes,No,CR0887489,3011.0
2014-06-09,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-06-11,Closed with explanation,Yes,No,CR0885972,2150.0
2014-06-06,Credit card,,Other,,,Older American,,Postal mail,2014-07-07,Closed with explanation,Yes,No,CR0883625,1180.0
2014-05-29,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-06-03,Closed with explanation,Yes,No,CR0872281,3667.0
2014-05-29,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-06-04,Closed with explanation,Yes,No,CR0872008,114.0
2014-05-28,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-06-03,Closed with explanation,Yes,No,CR0871352,2137.0
2014-05-27,Credit card,,Billing disputes,,,Older American,,Postal mail,2014-06-02,Closed with explanation,Yes,No,CR0867959,1541.0
2014-05-23,Credit card,,Billing disputes,,,Older American,,Postal mail,2014-05-28,Closed with explanation,Yes,No,CR0867103,3997.0
2014-05-22,Credit card,,Billing disputes,,,,,Postal mail,2014-05-27,Closed with explanation,Yes,Yes,CR0863964,2814.0
2014-05-19,Credit card,,Closing/Cancelling account,,,,,Postal mail,2014-05-21,Closed with explanation,Yes,Yes,CR0858510,140.0
2014-05-19,Bank account or service,Savings account,Deposits and withdrawals,,,,,Postal mail,2014-05-21,Closed with monetary relief,Yes,No,CR0859067,2017.0
2014-05-16,Credit card,,Closing/Cancelling account,,,,,Postal mail,2014-05-20,Closed with explanation,Yes,Yes,CR0855910,1769.0
2014-05-14,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-05-16,Closed with explanation,Yes,No,CR0852134,3415.0
2014-05-13,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-05-16,Closed with monetary relief,Yes,No,CR0851203,3782.0
2014-05-12,Credit card,,Other,,,,,Postal mail,2014-05-15,Closed with explanation,Yes,No,CR0848254,3085.0
2014-05-12,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-05-14,Closed with explanation,Yes,No,CR0848647,3287.0
2014-05-09,Credit card,,Credit determination,,,,,Postal mail,2014-05-14,Closed with explanation,Yes,No,CR0846084,5145.0
2014-05-09,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-05-13,Closed with explanation,Yes,No,CR0845689,522.0
2014-05-06,Credit card,,APR or interest rate,,,,,Postal mail,2014-05-08,Closed with explanation,Yes,No,CR0839157,3044.0
2014-05-06,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-05-12,Closed with monetary relief,Yes,No,CR0840114,3193.0
2014-05-05,Credit card,,Other,,,Older American,,Postal mail,2014-05-13,Closed with explanation,Yes,No,CR0837275,1769.0
2014-05-02,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-06-03,Closed with explanation,Yes,No,CR0835639,670.0
2014-05-01,Credit card,,Customer service / Customer relations,,,,,Postal mail,2014-05-06,Closed with explanation,Yes,No,CR0834237,3051.0
2014-05-01,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-05-05,Closed with explanation,Yes,Yes,CR0833771,1794.0
2014-05-01,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-05-06,Closed with explanation,Yes,No,CR0834679,3082.0
2014-05-01,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-05-06,Closed with explanation,Yes,No,CR0834620,3002.0
2014-04-25,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,,Postal mail,2014-04-30,Closed with explanation,Yes,No,CR0825672,5249.0
2014-04-23,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-04-28,Closed with explanation,Yes,Yes,CR0822296,4488.0
2014-04-22,Bank account or service,Checking account,"Account opening, closing, or management",,,Older American,,Postal mail,2014-04-25,Closed with explanation,Yes,No,CR0818338,13845.0
2014-04-22,Bank account or service,Savings account,Deposits and withdrawals,,,,,Postal mail,2014-04-25,Closed with explanation,Yes,No,CR0818243,5067.0
2014-04-21,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-04-21,Closed with explanation,Yes,No,CR0817216,1526.0
2014-04-16,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-04-21,Closed with explanation,Yes,No,CR0811171,2008.0
2014-04-14,Bank account or service,Savings account,"Account opening, closing, or management",,,Older American,,Postal mail,2014-04-17,Closed with explanation,Yes,Yes,CR0807170,3471.0
2014-04-11,Bank account or service,Checking account,"Account opening, closing, or management",,,Servicemember,,Postal mail,2014-04-15,Closed with explanation,Yes,Yes,CR0805831,970.0
2014-04-10,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-04-14,Closed with explanation,Yes,No,CR0804242,13089.0
2014-04-10,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-04-14,Closed with explanation,Yes,No,CR0802681,3319.0
2014-04-09,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-04-11,Closed with non-monetary relief,Yes,No,CR0801709,1151.0
2014-04-08,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,,Postal mail,2014-04-10,Closed with explanation,Yes,No,CR0799634,43.0
2014-04-07,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-04-10,Closed with monetary relief,Yes,No,CR0797568,105.0
2014-04-03,Credit card,,Customer service / Customer relations,,,,,Postal mail,2014-04-08,Closed with explanation,Yes,Yes,CR0792954,1192.0
2014-04-03,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-04-08,Closed with explanation,Yes,Yes,CR0793286,4319.0
2014-04-03,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-04-09,Closed with explanation,Yes,No,CR0792953,2123.0
2014-04-03,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-04-07,Closed with explanation,Yes,Yes,CR0792929,4746.0
2014-04-03,Bank account or service,Checking account,Deposits and withdrawals,,,Servicemember,,Postal mail,2014-04-07,Closed with explanation,Yes,No,CR0791341,2786.0
2014-03-28,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Postal mail,2014-04-03,Closed with explanation,Yes,No,CR0783753,1077.0
2014-03-28,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-04-03,Closed with explanation,Yes,No,CR0782921,4345.0
2014-03-28,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-04-10,Closed with explanation,Yes,No,CR0783856,4807.0
2014-03-27,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-04-02,Closed with explanation,Yes,No,CR0780479,2065.0
2014-03-26,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-04-01,Closed with explanation,Yes,Yes,CR0778808,1391.0
2014-03-26,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-04-01,Closed with explanation,Yes,No,CR0778382,2578.0
2014-03-26,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-04-01,Closed with explanation,Yes,No,CR0778726,4782.0
2014-03-25,Credit card,,Identity theft / Fraud / Embezzlement,,,"Older American, Servicemember",,Postal mail,2014-04-01,Closed with explanation,Yes,No,CR0778093,5189.0
2014-03-25,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-04-01,Closed,Yes,No,CR0776294,973.0
2014-03-17,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-03-20,Closed with explanation,Yes,No,CR0760851,1691.0
2014-03-15,Bank account or service,Checking account,Deposits and withdrawals,,,Older American,,Postal mail,2014-03-17,Closed with explanation,Yes,Yes,CR0759226,3646.0
2014-03-13,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-03-31,Closed with explanation,Yes,No,CR0757840,10517.0
2014-03-12,Credit card,,Other,,,,,Postal mail,2014-03-17,Closed with non-monetary relief,Yes,No,CR0762924,748.0
2014-03-12,Credit card,,Credit determination,,,,,Postal mail,2014-03-21,Closed with explanation,Yes,No,CR0760100,11136.0
2014-03-12,Bank account or service,Checking account,"Account opening, closing, or management",,,Older American,,Postal mail,2014-03-14,Closed with monetary relief,Yes,No,CR0757094,2610.0
2014-03-11,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-04-08,Closed with explanation,Yes,Yes,CR0752595,11337.0
2014-03-08,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-03-10,Closed with explanation,Yes,No,CR0759861,574.0
2014-03-08,Bank account or service,Checking account,Deposits and withdrawals,,,Servicemember,,Postal mail,2014-03-11,Closed with non-monetary relief,Yes,No,CR0751773,1289.0
2014-03-06,Credit card,,Customer service / Customer relations,,,,,Postal mail,2014-03-06,Closed with explanation,Yes,Yes,CR0746005,2872.0
2014-03-06,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-03-10,Closed with explanation,Yes,No,CR0746093,981.0
2014-03-06,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-03-07,Closed with non-monetary relief,Yes,No,CR0746463,2016.0
2014-03-01,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-03-12,Closed with explanation,Yes,No,CR0736601,810.0
2014-02-26,Credit card,,Late fee,,,,,Postal mail,2014-02-27,Closed with explanation,Yes,No,CR0732847,11875.0
2014-02-26,Bank account or service,Checking account,Problems caused by my funds being low,,,,,Postal mail,2014-02-27,Closed with monetary relief,Yes,No,CR0732766,4227.0
2014-02-26,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-02-27,Closed with explanation,Yes,No,CR0734091,3759.0
2014-02-22,Bank account or service,Checking account,Problems caused by my funds being low,,,,,Postal mail,2014-03-05,Closed with explanation,Yes,No,CR0726726,3504.0
2014-02-21,Credit card,,Transaction issue,,,,,Postal mail,2014-02-24,Closed with explanation,Yes,No,CR0724624,3570.0
2014-02-21,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Postal mail,2014-02-24,Closed with explanation,Yes,No,CR0725449,5977.0
2014-02-18,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-02-20,Closed with explanation,Yes,Yes,CR0717310,3182.0
2014-02-14,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-02-19,Closed with explanation,Yes,Yes,CR0717261,625.0
2014-02-13,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-02-18,Closed with explanation,Yes,No,CR0712212,3084.0
2014-02-12,Credit card,,Closing/Cancelling account,,,,,Postal mail,2014-02-18,Closed with explanation,Yes,No,CR0711946,4353.0
2014-02-12,Credit card,,Unsolicited issuance of credit card,,,,,Postal mail,2014-02-18,Closed with non-monetary relief,Yes,No,CR0717551,3521.0
2014-02-12,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Postal mail,2014-02-18,Closed with explanation,Yes,No,CR0717554,3863.0
2014-02-12,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-02-20,Closed with explanation,Yes,No,CR0717414,10476.0
2014-02-11,Credit card,,Identity theft / Fraud / Embezzlement,,,Older American,,Postal mail,2014-02-24,Closed with explanation,Yes,No,CR0710279,4262.0
2014-02-11,Credit card,,Credit determination,,,,,Postal mail,2014-02-11,Closed with non-monetary relief,Yes,No,CR0710287,3772.0
2014-02-11,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-02-18,Closed with explanation,Yes,No,CR0708131,1075.0
2014-02-08,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-02-12,Closed with explanation,Yes,Yes,CR0705651,4106.0
2014-02-07,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Postal mail,2014-02-10,Closed with explanation,Yes,No,CR0705255,3689.0
2014-02-07,Credit card,,Rewards,,,,,Postal mail,2014-02-07,Closed with monetary relief,Yes,No,CR0705579,3657.0
2014-02-05,Bank account or service,Checking account,"Account opening, closing, or management",,,Older American,,Postal mail,2014-02-07,Closed with explanation,Yes,No,CR0702910,1421.0
2014-02-05,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,,Postal mail,2014-02-07,Closed with non-monetary relief,Yes,No,CR0705303,1393.0
2014-02-04,Credit card,,Customer service / Customer relations,,,,,Postal mail,2014-02-07,Closed with explanation,Yes,No,CR0698930,4670.0
2014-02-03,Credit card,,Billing disputes,,,Older American,,Postal mail,2014-02-04,Closed with explanation,Yes,No,CR0696915,2882.0
2014-02-03,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-02-07,Closed with explanation,Yes,No,CR0697318,4714.0
2014-02-03,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-02-07,Closed with explanation,Yes,No,CR0697770,4350.0
2014-01-31,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-02-10,Closed with monetary relief,Yes,No,CR0696294,4925.0
2014-01-22,Credit card,,Advertising and marketing,,,,,Postal mail,2014-01-30,Closed with explanation,Yes,Yes,CR0679998,10159.0
2014-01-22,Credit card,,Billing disputes,,,,,Postal mail,2014-01-30,Closed with explanation,Yes,No,CR0680718,2229.0
2014-01-21,Credit card,,Balance transfer,,,,,Postal mail,2014-01-28,Closed with explanation,Yes,No,CR0677661,2592.0
2014-01-21,Credit card,,Billing disputes,,,,,Postal mail,2014-01-28,Closed with explanation,Yes,Yes,CR0678687,3891.0
2014-01-15,Credit card,,Identity theft / Fraud / Embezzlement,,,Older American,,Postal mail,2014-01-15,Closed with explanation,Yes,Yes,CR0670868,3763.0
2014-01-15,Bank account or service,Savings account,Deposits and withdrawals,,,Older American,,Postal mail,2014-01-22,Closed with explanation,Yes,Yes,CR0669424,8661.0
2014-01-14,Credit card,,Other,,,,,Postal mail,2014-01-17,Closed with explanation,Yes,No,CR0667281,4424.0
2014-01-11,Credit card,,Billing disputes,,,,,Postal mail,2014-01-13,Closed with explanation,Yes,No,CR0664545,3101.0
2014-01-11,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-01-13,Closed with monetary relief,Yes,No,CR0664491,2005.0
2014-01-08,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-01-09,Closed with explanation,Yes,No,CR0658798,6729.0
2014-01-07,Credit card,,Credit determination,,,,,Postal mail,2014-01-08,Closed with explanation,Yes,No,CR0657878,189.0
2014-01-07,Credit card,,Credit determination,,,,,Postal mail,2014-01-09,Closed with non-monetary relief,Yes,No,CR0658663,1643.0
2014-01-06,Bank account or service,Cashing a check without an account,Deposits and withdrawals,,,,,Postal mail,2014-01-09,Closed with explanation,Yes,Yes,CR0655535,2661.0
2014-01-06,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,Older American,,Postal mail,2014-01-15,Closed with explanation,Yes,No,CR0655558,2357.0
2014-01-06,Bank account or service,Savings account,"Account opening, closing, or management",,,,,Postal mail,2014-01-07,Closed with monetary relief,Yes,Yes,CR0656848,1459.0
2013-12-31,Credit card,,Closing/Cancelling account,,,,,Postal mail,2014-01-08,Closed with explanation,Yes,No,CR0651054,469.0
2013-12-31,Bank account or service,Checking account,"Account opening, closing, or management",,,Older American,,Postal mail,2014-01-02,Closed with non-monetary relief,Yes,No,CR0648811,4133.0
2013-12-31,Bank account or service,Savings account,"Account opening, closing, or management",,,Servicemember,,Postal mail,2014-01-02,Closed with explanation,Yes,Yes,CR0648842,13172.0
2013-12-30,Credit card,,Other,,,,,Postal mail,2013-12-31,Closed with explanation,Yes,Yes,CR0648907,3946.0
2013-12-26,Credit card,,Late fee,,,,,Postal mail,2013-12-30,Closed with explanation,Yes,No,CR0646128,2655.0
2013-12-26,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-01-03,Closed with explanation,Yes,No,CR0645839,691.0
2013-12-26,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2013-12-31,Closed with explanation,Yes,No,CR0646192,1327.0
2013-12-20,Credit card,,APR or interest rate,,,,,Postal mail,2014-01-03,Closed with monetary relief,Yes,No,CR0640026,2539.0
2013-12-19,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2013-12-30,Closed with explanation,Yes,No,CR0639653,1430.0
2013-12-16,Bank account or service,Checking account,"Account opening, closing, or management",,,Older American,,Postal mail,2013-12-19,Closed,Yes,No,CR0636193,3181.0
2013-12-10,Credit card,,Billing disputes,,,,,Postal mail,2013-12-13,Closed with explanation,Yes,No,CR0628131,1428.0
2013-12-10,Credit card,,Other,,,,,Postal mail,2013-12-11,Closed with explanation,Yes,No,CR0628963,77.0
2013-12-09,Credit card,,Closing/Cancelling account,,,,,Postal mail,2013-12-11,Closed with explanation,Yes,No,CR0626324,188.0
2013-12-09,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2013-12-11,Closed with explanation,Yes,No,CR0627559,10066.0
2013-12-04,Credit card,,Cash advance fee,,,,,Postal mail,2013-12-05,Closed with explanation,Yes,Yes,CR0622157,4456.0
2013-12-04,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2013-12-05,Closed with monetary relief,Yes,No,CR0621486,4506.0
