SS_SOLD_DATE_SK,SS_SOLD_TIME_SK,SS_ITEM_SK,SS_CUSTOMER_SK,SS_CDEMO_SK,SS_HDEMO_SK,SS_ADDR_SK,SS_STORE_SK,SS_PROMO_SK,SS_TICKET_NUMBER,SS_QUANTITY,SS_WHOLESALE_COST,SS_LIST_PRICE,SS_SALES_PRICE,SS_EXT_DISCOUNT_AMT,SS_EXT_SALES_PRICE,SS_EXT_WHOLESALE_COST,SS_EXT_LIST_PRICE,SS_EXT_TAX,SS_COUPON_AMT,SS_NET_PAID,SS_NET_PAID_INC_TAX,SS_NET_PROFIT
2451524,75316,56,284,1712478,4672,266,2,2,2,4,13.46,15.34,12.57,0.00,50.28,53.84,61.36,4.02,0.00,50.28,54.30,-3.56
2451524,75316,406,284,1712478,4672,266,2,3,2,74,16.55,17.21,4.47,0.00,330.78,1224.70,1273.54,0.00,0.00,330.78,330.78,-893.92
2451524,75316,740,284,1712478,4672,266,2,2,2,71,36.01,64.09,3.20,0.00,227.20,2556.71,4550.39,4.54,0.00,227.20,231.74,-2329.51
2451524,75316,992,284,1712478,4672,266,2,3,2,36,61.23,93.06,11.16,0.00,401.76,2204.28,3350.16,28.12,0.00,401.76,429.88,-1802.52
2451524,75316,991,284,1712478,4672,266,2,1,2,62,77.97,85.76,79.75,0.00,4944.50,4834.14,5317.12,0.00,0.00,4944.50,4944.50,110.36
2452638,50412,150,47,586372,697,622,1,2,3,82,56.14,111.15,46.68,0.00,3827.76,4603.48,9114.30,306.22,0.00,3827.76,4133.98,-775.72
2452638,50412,672,47,586372,697,622,1,1,3,96,98.02,136.24,104.90,0.00,10070.40,9409.92,13079.04,100.70,0.00,10070.40,10171.10,660.48
,,247,,,,622,1,3,3,,,130.66,,,3104.46,,3527.82,124.17,,,,
2452638,50412,912,47,586372,697,622,1,3,3,42,97.03,178.53,7.14,0.00,299.88,4075.26,7498.26,17.99,0.00,299.88,317.87,-3775.38
2452638,50412,15,47,586372,697,622,1,2,3,64,74.69,120.25,2.40,0.00,153.60,4780.16,7696.00,3.07,0.00,153.60,156.67,-4626.56
2452638,50412,1719,47,586372,697,622,1,2,3,17,72.38,111.46,75.79,0.00,1288.43,1230.46,1894.82,38.65,0.00,1288.43,1327.08,57.97
2452638,50412,78,47,586372,697,622,1,3,3,88,27.95,38.57,26.99,403.77,2375.12,2459.60,3394.16,0.00,403.77,1971.35,1971.35,-488.25
2452638,50412,1539,47,586372,697,622,1,2,3,4,95.75,146.49,43.94,0.00,175.76,383.00,585.96,5.27,0.00,175.76,181.03,-207.24
2452638,50412,771,47,586372,697,622,1,2,3,79,44.66,83.06,17.44,1115.98,1377.76,3528.14,6561.74,5.23,1115.98,261.78,267.01,-3266.36
2452638,50412,246,47,586372,697,622,1,3,3,56,4.31,6.76,0.06,3.22,3.36,241.36,378.56,0.01,3.22,0.14,0.15,-241.22
2452638,50412,1063,47,586372,697,622,1,2,3,27,37.04,58.89,55.35,0.00,1494.45,1000.08,1590.03,29.88,0.00,1494.45,1524.33,494.37
2452638,50412,1545,47,586372,697,622,1,1,3,4,75.67,130.15,35.14,0.00,140.56,302.68,520.60,9.83,0.00,140.56,150.39,-162.12
2452638,50412,715,47,586372,697,622,1,3,3,53,23.04,44.00,26.40,0.00,1399.20,1221.12,2332.00,13.99,0.00,1399.20,1413.19,178.08
2452638,50412,648,47,586372,697,622,1,1,3,98,85.00,132.60,90.16,4506.19,8835.68,8330.00,12994.80,0.00,4506.19,4329.49,4329.49,-4000.51
2451438,38195,344,814,874786,1511,83,2,2,4,43,54.34,107.59,87.14,0.00,3747.02,2336.62,4626.37,299.76,0.00,3747.02,4046.78,1410.40
2451438,38195,397,814,874786,1511,83,2,2,4,23,2.91,3.57,3.53,32.47,81.19,66.93,82.11,0.97,32.47,48.72,49.69,-18.21
2451438,38195,1060,814,874786,1511,83,2,1,4,56,64.68,78.90,24.45,0.00,1369.20,3622.08,4418.40,0.00,0.00,1369.20,1369.20,-2252.88
2451438,38195,886,814,874786,1511,83,2,2,4,21,40.39,40.39,12.11,0.00,254.31,848.19,848.19,22.88,0.00,254.31,277.19,-593.88
2451438,38195,1904,814,874786,1511,83,2,1,4,41,67.18,78.60,5.50,0.00,225.50,2754.38,3222.60,13.53,0.00,225.50,239.03,-2528.88
2451438,38195,272,814,874786,1511,83,2,2,4,27,26.21,44.81,19.26,0.00,520.02,707.67,1209.87,46.80,0.00,520.02,566.82,-187.65
2451438,38195,86,814,874786,1511,83,2,1,4,86,64.67,123.51,55.57,0.00,4779.02,5561.62,10621.86,47.79,0.00,4779.02,4826.81,-782.60
2451438,38195,1465,814,874786,1511,83,2,1,4,17,54.26,105.80,9.52,116.52,161.84,922.42,1798.60,0.00,116.52,45.32,45.32,-877.10
2451438,38195,586,814,874786,1511,83,2,3,4,74,81.81,163.62,45.81,0.00,3389.94,6053.94,12107.88,271.19,0.00,3389.94,3661.13,-2664.00
2451438,38195,908,814,874786,1511,83,2,2,4,23,53.28,77.78,1.55,21.03,35.65,1225.44,1788.94,1.16,21.03,14.62,15.78,-1210.82
2451465,53976,1826,246,963544,5042,940,2,1,5,60,69.54,112.65,57.45,0.00,3447.00,4172.40,6759.00,34.47,0.00,3447.00,3481.47,-725.40
2451465,53976,1057,246,963544,5042,940,2,1,5,52,16.33,32.33,31.68,0.00,1647.36,849.16,1681.16,115.31,0.00,1647.36,1762.67,798.20
2451465,53976,1540,246,963544,5042,940,2,2,5,83,74.15,89.72,63.70,0.00,5287.10,6154.45,7446.76,422.96,0.00,5287.10,5710.06,-867.35
2451465,53976,691,246,963544,5042,940,2,3,5,15,21.21,33.93,30.53,0.00,457.95,318.15,508.95,22.89,0.00,457.95,480.84,139.80
2451465,53976,502,246,963544,5042,940,2,3,5,71,22.10,37.57,28.17,0.00,2000.07,1569.10,2667.47,180.00,0.00,2000.07,2180.07,430.97
2451465,53976,1162,246,963544,5042,940,2,2,5,36,7.93,12.92,7.36,0.00,264.96,285.48,465.12,0.00,0.00,264.96,264.96,-20.52
2451465,53976,1561,246,963544,5042,940,2,1,5,66,71.06,136.43,45.02,0.00,2971.32,4689.96,9004.38,59.42,0.00,2971.32,3030.74,-1718.64
2451465,53976,1790,246,963544,5042,940,2,2,5,66,21.01,28.57,5.99,0.00,395.34,1386.66,1885.62,7.90,0.00,395.34,403.24,-991.32
,53976,1064,,963544,,,2,2,5,50,30.69,59.84,,,,1534.50,,0.00,,1735.00,,200.50
2451465,53976,1238,246,963544,5042,940,2,2,5,91,27.68,53.69,0.53,0.00,48.23,2518.88,4885.79,3.85,0.00,48.23,52.08,-2470.65
2451465,53976,28,246,963544,5042,940,2,2,5,76,89.78,103.24,50.58,0.00,3844.08,6823.28,7846.24,153.76,0.00,3844.08,3997.84,-2979.20
2451465,53976,1832,246,963544,5042,940,2,3,5,64,87.90,95.81,66.10,0.00,4230.40,5625.60,6131.84,0.00,0.00,4230.40,4230.40,-1395.20
2451465,53976,1190,246,963544,5042,940,2,2,5,60,41.72,52.98,32.31,0.00,1938.60,2503.20,3178.80,0.00,0.00,1938.60,1938.60,-564.60
,53976,1780,246,,,940,2,,5,,,77.52,11.62,0.00,732.06,,4883.76,43.92,0.00,,,
2451465,53976,307,246,963544,5042,940,2,2,5,50,30.96,56.34,45.07,0.00,2253.50,1548.00,2817.00,22.53,0.00,2253.50,2276.03,705.50
,,611,29,,2092,,,3,6,,,,,,449.88,,,,,,,
2452109,36794,849,29,506184,2092,800,1,3,6,31,49.78,77.15,69.43,0.00,2152.33,1543.18,2391.65,0.00,0.00,2152.33,2152.33,609.15
2452109,36794,821,29,506184,2092,800,1,2,6,62,85.07,159.08,76.35,0.00,4733.70,5274.34,9862.96,189.34,0.00,4733.70,4923.04,-540.64
2452109,36794,151,29,506184,2092,800,1,3,6,1,71.10,89.58,61.81,0.00,61.81,71.10,89.58,3.70,0.00,61.81,65.51,-9.29
2452109,36794,43,29,506184,2092,800,1,3,6,61,48.18,60.70,18.81,126.21,1147.41,2938.98,3702.70,71.48,126.21,1021.20,1092.68,-1917.78
2452109,36794,1933,29,506184,2092,800,1,2,6,42,64.46,70.26,32.31,0.00,1357.02,2707.32,2950.92,27.14,0.00,1357.02,1384.16,-1350.30
2452109,36794,1335,29,506184,2092,800,1,3,6,100,41.08,42.31,38.50,0.00,3850.00,4108.00,4231.00,346.50,0.00,3850.00,4196.50,-258.00
2452109,36794,97,29,506184,2092,800,1,3,6,64,86.35,152.83,122.26,6650.94,7824.64,5526.40,9781.12,35.21,6650.94,1173.70,1208.91,-4352.70
2452109,36794,395,29,506184,2092,800,1,3,6,94,62.67,99.64,97.64,0.00,9178.16,5890.98,9366.16,91.78,0.00,9178.16,9269.94,3287.18
2452109,36794,1849,29,506184,2092,800,1,3,6,72,55.49,93.77,55.32,0.00,3983.04,3995.28,6751.44,199.15,0.00,3983.04,4182.19,-12.24
2452109,36794,1235,29,506184,2092,800,1,3,6,100,4.45,7.87,7.24,0.00,724.00,445.00,787.00,57.92,0.00,724.00,781.92,279.00
2452260,46712,1657,954,890396,791,633,2,3,7,51,84.65,124.43,49.77,0.00,2538.27,4317.15,6345.93,76.14,0.00,2538.27,2614.41,-1778.88
2452260,46712,1829,954,890396,791,633,2,3,7,9,56.13,59.49,30.93,0.00,278.37,505.17,535.41,22.26,0.00,278.37,300.63,-226.80
2452260,,437,954,890396,791,,,,7,4,,,,,278.60,203.68,366.60,22.28,,278.60,300.88,
2452260,46712,1749,954,,,,,1,7,,,72.02,,,,,,,,4990.30,,1141.70
2452260,46712,1027,954,890396,791,633,2,3,7,88,38.23,72.63,39.22,0.00,3451.36,3364.24,6391.44,138.05,0.00,3451.36,3589.41,87.12
2452260,46712,1029,954,890396,791,633,2,3,7,52,63.80,81.02,22.68,0.00,1179.36,3317.60,4213.04,23.58,0.00,1179.36,1202.94,-2138.24
2452260,46712,763,954,890396,791,633,2,2,7,69,99.85,113.82,110.40,0.00,7617.60,6889.65,7853.58,0.00,0.00,7617.60,7617.60,727.95
2452260,46712,261,954,890396,791,633,2,1,7,54,42.82,56.09,21.31,0.00,1150.74,2312.28,3028.86,92.05,0.00,1150.74,1242.79,-1161.54
2452260,46712,1177,954,890396,791,633,2,2,7,12,47.60,75.20,65.42,0.00,785.04,571.20,902.40,47.10,0.00,785.04,832.14,213.84
2452260,46712,543,954,890396,791,633,2,2,7,73,12.17,14.23,11.24,623.59,820.52,888.41,1038.79,5.90,623.59,196.93,202.83,-691.48
2452260,46712,685,954,890396,791,633,2,2,7,69,34.19,58.46,50.86,0.00,3509.34,2359.11,4033.74,210.56,0.00,3509.34,3719.90,1150.23
2452260,46712,1707,954,890396,791,633,2,3,7,82,69.53,87.60,34.16,0.00,2801.12,5701.46,7183.20,0.00,0.00,2801.12,2801.12,-2900.34
2452179,52209,469,944,578318,6045,19,1,1,8,90,81.63,151.83,113.87,9428.43,10248.30,7346.70,13664.70,40.99,9428.43,819.87,860.86,-6526.83
2452179,52209,403,944,578318,6045,19,1,1,8,87,31.78,63.24,16.44,0.00,1430.28,2764.86,5501.88,57.21,0.00,1430.28,1487.49,-1334.58
2452179,52209,1303,944,578318,6045,19,1,3,8,31,15.64,26.43,13.21,0.00,409.51,484.84,819.33,4.09,0.00,409.51,413.60,-75.33
2452179,52209,1141,944,578318,6045,19,1,2,8,95,21.29,33.85,20.64,0.00,1960.80,2022.55,3215.75,98.04,0.00,1960.80,2058.84,-61.75
2452179,52209,665,944,578318,6045,19,1,2,8,7,18.65,27.97,20.41,0.00,142.87,130.55,195.79,1.42,0.00,142.87,144.29,12.32
2452179,52209,571,944,578318,6045,19,1,2,8,54,36.99,47.71,27.67,0.00,1494.18,1997.46,2576.34,89.65,0.00,1494.18,1583.83,-503.28
2452179,52209,1203,944,578318,6045,19,1,2,8,95,91.80,93.63,75.84,6700.46,7204.80,8721.00,8894.85,5.04,6700.46,504.34,509.38,-8216.66
2452179,52209,951,944,578318,6045,19,1,2,8,83,14.11,27.37,3.28,0.00,272.24,1171.13,2271.71,13.61,0.00,272.24,285.85,-898.89
