WR_RETURNED_DATE_SK,WR_RETURNED_TIME_SK,WR_ITEM_SK,WR_REFUNDED_CUSTOMER_SK,WR_REFUNDED_CDEMO_SK,WR_REFUNDED_HDEMO_SK,WR_REFUNDED_ADDR_SK,WR_RETURNING_CUSTOMER_SK,WR_RETURNING_CDEMO_SK,WR_RETURNING_HDEMO_SK,WR_RETURNING_ADDR_SK,WR_WEB_PAGE_SK,WR_REASON_SK,WR_ORDER_NUMBER,WR_RETURN_QUANTITY,WR_RETURN_AMT,WR_RETURN_TAX,WR_RETURN_AMT_INC_TAX,WR_FEE,WR_RETURN_SHIP_COST,WR_REFUNDED_CASH,WR_REVERSED_CHARGE,WR_ACCOUNT_CREDIT,WR_NET_LOSS
2452476,28293,1929,777,803717,3657,150,777,803717,3657,150,2,1,40,9,103.32,1.03,104.35,31.68,2.79,76.45,7.25,19.62,35.50
2451905,55597,1441,775,962709,43,624,775,962709,43,624,2,1,41,56,4452.00,311.64,4763.64,63.92,3368.96,1958.88,797.79,1695.33,3744.52
2451845,42388,104,546,1391011,5229,847,546,1391011,5229,847,1,1,41,29,1387.36,69.36,1456.72,14.34,818.67,194.23,608.49,584.64,902.37
2451261,73439,1195,,,,964,,,,964,1,,42,,,,,58.60,192.76,80.02,54.48,39.46,
2452078,22372,643,386,435559,2685,258,386,435559,2685,258,2,1,43,58,4257.20,85.14,4342.34,99.74,1530.04,2469.17,1609.22,178.81,1714.92
2451335,79473,1706,442,1432457,2425,840,442,1432457,2425,840,1,1,44,13,45.63,3.65,49.28,49.66,0.00,39.24,1.53,4.86,53.31
2451441,11487,1021,405,1361990,4975,407,405,1361990,4975,407,1,1,45,43,4438.89,133.16,4572.05,83.51,466.98,532.66,2187.48,1718.75,683.65
2452105,59457,979,913,1423984,4102,373,913,1423984,4102,373,2,1,46,61,704.55,49.31,753.86,33.45,3012.79,295.91,302.39,106.25,3095.55
2451677,33194,1975,918,1366834,2750,819,918,1366834,2750,819,2,1,48,9,216.81,17.34,234.15,19.81,45.63,21.68,35.12,160.01,82.78
2452561,35610,918,81,788648,5815,582,81,788648,5815,582,2,1,49,79,10628.66,744.00,11372.66,88.50,2361.31,8502.92,1658.07,467.67,3193.81
2452060,60418,1241,908,793212,2516,620,908,793212,2516,620,1,1,51,9,355.32,10.65,365.97,99.51,193.77,309.12,6.00,40.20,303.93
2452077,13035,923,668,1078154,4240,373,668,1078154,4240,373,1,1,51,58,6574.88,460.24,7035.12,57.17,3221.32,1380.72,4051.44,1142.72,3738.73
,71745,1470,,,2111,323,,,2111,,1,1,52,,765.16,,834.02,32.04,229.40,,215.16,351.06,330.30
2451900,32899,1283,971,1300813,208,250,971,1300813,208,250,1,1,53,2,97.88,1.95,99.83,22.48,13.64,80.26,5.46,12.16,38.07
2451958,26993,782,631,1375925,1419,466,631,1375925,1419,466,1,1,53,13,1368.77,82.12,1450.89,88.01,727.09,191.62,235.43,941.72,897.22
,,79,,,6738,460,,1500216,,,1,1,55,7,70.70,4.94,,38.47,,42.42,4.24,,71.20
,,874,,,,,199,,,7,1,1,56,,1717.20,154.54,1871.74,3.62,356.40,,,,
2451384,77186,50,380,1708805,5983,608,380,1708805,5983,608,2,1,57,19,2002.03,120.12,2122.15,71.12,302.10,1301.31,119.12,581.60,493.34
2451443,45709,1165,800,1777124,1248,619,800,1777124,1248,619,1,1,58,9,740.34,22.21,762.55,37.92,174.78,222.10,67.37,450.87,234.91
2451759,67735,1687,138,821188,5885,135,138,821188,5885,135,2,1,59,26,789.36,71.04,860.40,6.20,134.94,149.97,421.99,217.40,212.18
2451560,59013,1712,883,539803,6923,843,883,539803,6923,843,1,1,63,31,191.58,3.83,195.41,1.63,739.35,42.14,127.02,22.42,744.81
,,158,670,103015,,,,103015,2160,705,,,64,36,1086.12,32.58,1118.70,4.75,,,,543.61,
2451547,32382,1507,101,99551,3001,251,101,99551,3001,251,2,1,66,7,368.97,0.00,368.97,48.34,12.81,99.62,37.70,231.65,61.15
2452027,26463,85,973,277684,1748,259,973,277684,1748,259,1,1,69,57,5985.57,359.13,6344.70,89.65,1056.21,2394.22,2944.90,646.45,1504.99
2452341,68091,1985,911,1511560,5409,658,911,1511560,5409,658,2,1,72,20,3750.00,187.50,3937.50,62.87,742.20,187.50,1959.37,1603.13,992.57
2452196,78918,1673,224,1559926,6228,130,224,1559926,6228,130,1,1,72,2,72.30,4.33,76.63,96.96,24.44,65.79,5.46,1.05,125.73
2452538,5244,821,195,94659,276,493,195,94659,276,493,1,1,73,4,208.84,0.00,208.84,90.81,202.68,154.54,19.00,35.30,293.49
2452648,69373,91,326,571505,5084,663,326,571505,5084,663,1,1,75,35,2668.05,80.04,2748.09,62.33,361.20,1414.06,463.97,790.02,503.57
2452670,41829,1035,961,4573,4185,397,961,4573,4185,397,2,1,75,23,1807.80,0.00,1807.80,14.00,766.36,379.63,1142.53,285.64,780.36
2451916,34658,1189,828,990174,2720,666,828,990174,2720,666,2,1,76,72,2581.92,77.45,2659.37,20.09,5286.96,568.02,2013.90,0.00,5384.50
2451616,51966,328,626,1703073,4720,567,626,1703073,4720,567,2,1,77,8,25.28,0.75,26.03,61.93,0.00,11.12,12.17,1.99,62.68
,,895,99,,6659,,99,1634079,,,,,77,,1934.50,,,45.51,,,,,838.39
2451617,28361,244,939,1603349,4959,369,939,1603349,4959,369,2,1,79,21,919.59,18.39,937.98,21.38,509.04,478.18,8.82,432.59,548.81
2451871,54886,1723,537,1097050,610,523,537,1097050,610,523,1,1,79,33,606.87,36.41,643.28,32.97,290.73,54.61,276.13,276.13,360.11
2451726,26757,524,212,1794817,4822,674,212,1794817,4822,674,2,1,81,17,371.28,29.70,400.98,28.14,85.68,226.48,50.68,94.12,143.52
2452486,46513,573,862,897323,1384,245,862,897323,1384,245,1,1,83,20,104.00,0.00,104.00,21.18,333.00,86.32,9.19,8.49,354.18
2452557,65926,681,87,1208787,7087,34,87,1208787,7087,34,2,1,83,29,300.15,0.00,300.15,44.01,2552.00,168.08,109.61,22.46,2596.01
2451280,25318,1318,396,1857247,3251,702,396,1857247,3251,702,2,1,84,2,96.36,3.85,100.21,85.73,33.88,30.83,43.90,21.63,123.46
2451393,62509,1954,660,1078409,3158,707,660,1078409,3158,707,2,1,84,18,265.50,2.65,268.15,49.10,165.24,45.13,103.57,116.80,216.99
2452735,,1633,6,533478,2797,,6,533478,,469,,,85,,20.20,,,,15.50,19.59,,,102.28
2452663,51913,276,493,1729053,5813,973,493,1729053,5813,973,2,1,85,34,567.80,5.67,573.47,72.34,1817.30,22.71,196.23,348.86,1895.31
2451723,72393,448,324,159786,601,216,324,159786,601,216,1,1,86,16,56.48,0.00,56.48,78.57,53.60,46.31,2.64,7.53,132.17
2451599,60380,926,909,361910,864,65,909,361910,864,65,2,1,86,22,3938.88,157.55,4096.43,78.70,1140.04,590.83,1941.86,1406.19,1376.29
2452181,69772,1235,789,1625335,281,27,789,1625335,281,27,1,1,87,11,1976.59,39.53,2016.12,74.21,951.61,316.25,1278.46,381.88,1065.35
,67250,187,,254698,,424,,254698,,,,1,91,,,89.14,1079.59,,,,,2.98,
2452382,45230,1065,884,1353432,7180,328,884,1353432,7180,328,2,1,92,15,54.30,1.62,55.92,48.55,37.95,53.21,1.07,0.02,88.12
2452555,53480,1305,174,1417259,6897,535,174,1417259,6897,535,1,1,92,18,1303.56,117.32,1420.88,71.91,477.90,404.10,638.61,260.85,667.13
2452790,34442,1896,372,463802,4985,815,372,463802,4985,815,2,1,93,21,1923.81,115.42,2039.23,57.75,72.03,1365.90,530.01,27.90,245.20
2452775,70628,661,176,1018443,4910,377,176,1018443,4910,377,2,1,93,88,11567.60,115.67,11683.27,84.79,5192.88,4280.01,1967.64,5319.95,5393.34
2452056,77444,569,134,701863,3839,768,134,701863,3839,768,2,1,95,11,1553.64,124.29,1677.93,50.63,493.46,450.55,573.60,529.49,668.38
,,715,,253586,7137,935,788,253586,,935,,1,96,,,,,,,175.30,10.67,,
2452085,44364,791,385,1635385,3585,385,385,1635385,3585,385,2,1,98,44,96.80,6.77,103.57,87.44,549.56,90.02,2.23,4.55,643.77
