input_model,input_column,tags,output_model,output_columns
model.pinterest_source.stg_pinterest_ads__ad_group_history,ad_group_id,"{""Integration"":""used as the key to join with the report table"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""ad_group_id"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,ad_group_name,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""ad_group_name"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,ad_group_status,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""ad_group_status"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,is_most_recent_record,"{""Filtering"":""This column is used to filter for the most recent records in the ad_groups CTE""}",model.pinterest.pinterest_ads__pin_promotion_report,
model.pinterest_source.stg_pinterest_ads__advertiser_history,source_relation,"{""Integration"":""used to join with other tables"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""source_relation"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__advertiser_history,advertiser_id,"{""Integration"":""used to join with the campaigns table"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""advertiser_id"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__advertiser_history,advertiser_name,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""advertiser_name"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__advertiser_history,is_most_recent_record,"{""Filtering"":""This column is used to filter the advertiser history table to include only the most recent records for each advertiser.""}",model.pinterest.pinterest_ads__pin_promotion_report,
model.pinterest_source.stg_pinterest_ads__campaign_history,source_relation,"{""Integration"":""used as a key to join with other tables"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""source_relation"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,campaign_id,"{""Integration"":""used as a key to join with other tables"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""campaign_id"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,advertiser_id,"{""Integration"":""used as a key to join with the advertisers table"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""advertiser_id"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,campaign_name,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""campaign_name"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,campaign_status,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""campaign_status"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,is_most_recent_record,"{""Filtering"":""This column is used to filter for the most recent records in the campaign history table""}",model.pinterest.pinterest_ads__pin_promotion_report,
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""source_relation"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,pin_promotion_id,"{""Integration"":""used as the key to join with the report table"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""pin_promotion_id"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,destination_url,"{""Direct"":""directly copied to the output"",""Featurization"":""used to extract base_url""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""destination_url"":""directly copied"",""base_url"":""extracted from this column""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,pin_name,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""pin_name"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,pin_status,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""pin_status"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,creative_type,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""creative_type"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,is_most_recent_record,"{""Filtering"":""This column is used to filter for the most recent records in the pins CTE""}",model.pinterest.pinterest_ads__pin_promotion_report,
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,base_url,"{""Direct"":""This column is directly selected in the final output without transformation""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""base_url"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as part of the join condition with other tables"",""Aggregation"":""Included in the GROUP BY clause""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""source_relation"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,date_day,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""Included in the GROUP BY clause""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""date_day"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,pin_promotion_id,"{""Integration"":""Used as the key to join with the pins table"",""Aggregation"":""Included in the GROUP BY clause""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""pin_promotion_id"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,ad_group_id,"{""Integration"":""Used as the key to join with the ad_groups table"",""Aggregation"":""Included in the GROUP BY clause""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""ad_group_id"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,campaign_id,"{""Integration"":""Used as the key to join with the campaigns table"",""Aggregation"":""Included in the GROUP BY clause""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""campaign_id"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,impressions,"{""Aggregation"":""The column is summed up in the SELECT statement""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""impressions"":""Aggregated sum in the output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,clicks,"{""Aggregation"":""The column is summed up in the SELECT statement""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""clicks"":""Aggregated sum in the output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,spend,"{""Aggregation"":""The column is summed up in the SELECT statement""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""spend"":""Aggregated sum in the output""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,source_relation,"{""Integration"":""used as part of the join condition with the report table"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__url_report,"{""source_relation"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,ad_group_id,"{""Integration"":""used as the key to join with the report table"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__url_report,"{""ad_group_id"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,ad_group_name,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__url_report,"{""ad_group_name"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,ad_group_status,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__url_report,"{""ad_group_status"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,is_most_recent_record,"{""Filtering"":""This column is used to filter for the most recent records in the ad_groups CTE""}",model.pinterest.pinterest_ads__url_report,
model.pinterest_source.stg_pinterest_ads__advertiser_history,source_relation,"{""Integration"":""used as part of the join condition with campaigns table"",""Direct"":""copied directly to the output""}",model.pinterest.pinterest_ads__url_report,"{""source_relation"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__advertiser_history,advertiser_id,"{""Integration"":""used as the key to join with campaigns table"",""Direct"":""copied directly to the output""}",model.pinterest.pinterest_ads__url_report,"{""advertiser_id"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__advertiser_history,advertiser_name,"{""Direct"":""copied directly to the output""}",model.pinterest.pinterest_ads__url_report,"{""advertiser_name"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__advertiser_history,is_most_recent_record,"{""Filtering"":""This column is used to filter for the most recent records in the advertiser_history table""}",model.pinterest.pinterest_ads__url_report,
model.pinterest_source.stg_pinterest_ads__campaign_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__url_report,"{""source_relation"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,campaign_id,"{""Integration"":""used as the key to join with the report table"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__url_report,"{""campaign_id"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,advertiser_id,"{""Direct"":""directly copied to the output"",""Integration"":""used to join with the advertisers table""}",model.pinterest.pinterest_ads__url_report,"{""advertiser_id"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,campaign_name,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__url_report,"{""campaign_name"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,campaign_status,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__url_report,"{""campaign_status"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,is_most_recent_record,"{""Filtering"":""This column is used to filter for the most recent records in the campaign history table""}",model.pinterest.pinterest_ads__url_report,
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__url_report,"{""source_relation"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,pin_promotion_id,"{""Integration"":""used as the key to join with the report table"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__url_report,"{""pin_promotion_id"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,destination_url,"{""Direct"":""directly copied to the output"",""Filtering"":""used in the WHERE clause to filter out null values"",""Featurization"":""base for extracting URL components and UTM parameters""}",model.pinterest.pinterest_ads__url_report,"{""destination_url"":""directly copied"",""base_url"":""extracted from this column"",""url_host"":""extracted from this column"",""url_path"":""extracted from this column"",""utm_source"":""extracted from this column"",""utm_medium"":""extracted from this column"",""utm_campaign"":""extracted from this column"",""utm_content"":""extracted from this column"",""utm_term"":""extracted from this column""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,pin_name,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__url_report,"{""pin_name"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,pin_status,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__url_report,"{""pin_status"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,creative_type,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__url_report,"{""creative_type"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,is_most_recent_record,"{""Filtering"":""This column is used to filter for the most recent records in the pins CTE""}",model.pinterest.pinterest_ads__url_report,
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,base_url,"{""Direct"":""This column is directly selected in the final output without transformation""}",model.pinterest.pinterest_ads__url_report,"{""base_url"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,url_host,"{""Direct"":""This column is directly selected in the final output without transformation""}",model.pinterest.pinterest_ads__url_report,"{""url_host"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,url_path,"{""Direct"":""This column is directly selected in the final output without transformation""}",model.pinterest.pinterest_ads__url_report,"{""url_path"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,utm_source,"{""Direct"":""This column is directly selected in the final output without transformation""}",model.pinterest.pinterest_ads__url_report,"{""utm_source"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,utm_medium,"{""Direct"":""This column is directly selected in the final output without transformation""}",model.pinterest.pinterest_ads__url_report,"{""utm_medium"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,utm_campaign,"{""Direct"":""This column is directly selected in the final output without transformation""}",model.pinterest.pinterest_ads__url_report,"{""utm_campaign"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,utm_content,"{""Direct"":""This column is directly selected in the final output without transformation""}",model.pinterest.pinterest_ads__url_report,"{""utm_content"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,utm_term,"{""Direct"":""This column is directly selected in the final output without transformation""}",model.pinterest.pinterest_ads__url_report,"{""utm_term"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,source_relation,"{""Direct"":""The column is directly selected in the output"",""Integration"":""Used to join with other tables""}",model.pinterest.pinterest_ads__url_report,"{""source_relation"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,date_day,"{""Direct"":""The column is directly selected in the output"",""Aggregation"":""Used in the GROUP BY clause""}",model.pinterest.pinterest_ads__url_report,"{""date_day"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,pin_promotion_id,"{""Integration"":""Used to join with the pins table"",""Aggregation"":""Used in the GROUP BY clause""}",model.pinterest.pinterest_ads__url_report,"{""pin_promotion_id"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,ad_group_id,"{""Integration"":""Used to join with the ad_groups table"",""Aggregation"":""Used in the GROUP BY clause""}",model.pinterest.pinterest_ads__url_report,"{""ad_group_id"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,campaign_id,"{""Integration"":""Used to join with the campaigns table"",""Aggregation"":""Used in the GROUP BY clause""}",model.pinterest.pinterest_ads__url_report,"{""campaign_id"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,impressions,"{""Aggregation"":""Summed up in the SELECT clause""}",model.pinterest.pinterest_ads__url_report,"{""impressions"":""Aggregated sum of impressions""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,clicks,"{""Aggregation"":""Summed up in the SELECT clause""}",model.pinterest.pinterest_ads__url_report,"{""clicks"":""Aggregated sum of clicks""}"
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,spend,"{""Aggregation"":""Summed up in the SELECT clause""}",model.pinterest.pinterest_ads__url_report,"{""spend"":""Aggregated sum of spend""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,source_relation,"{""Integration"":""used as a key to join with other tables"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__keyword_report,"{""source_relation"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,ad_group_id,"{""Integration"":""used as a key to join with other tables"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__keyword_report,"{""ad_group_id"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,campaign_id,"{""Integration"":""used as a key to join with the campaigns table""}",model.pinterest.pinterest_ads__keyword_report,
model.pinterest_source.stg_pinterest_ads__ad_group_history,ad_group_name,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__keyword_report,"{""ad_group_name"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,is_most_recent_record,"{""Filtering"":""This column is used to filter for the most recent records in the ad_groups CTE""}",model.pinterest.pinterest_ads__keyword_report,
model.pinterest_source.stg_pinterest_ads__advertiser_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__keyword_report,"{""source_relation"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__advertiser_history,advertiser_id,"{""Integration"":""used as the key to join with the campaigns table"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__keyword_report,"{""advertiser_id"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__advertiser_history,advertiser_name,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__keyword_report,"{""advertiser_name"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__advertiser_history,is_most_recent_record,"{""Filtering"":""This column is used to filter the records in the advertisers CTE to only include the most recent version of each advertiser record.""}",model.pinterest.pinterest_ads__keyword_report,
model.pinterest_source.stg_pinterest_ads__campaign_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__keyword_report,"{""source_relation"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,campaign_id,"{""Integration"":""used as the key to join with ad_groups table"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__keyword_report,"{""campaign_id"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,advertiser_id,"{""Integration"":""used as the key to join with advertisers table""}",model.pinterest.pinterest_ads__keyword_report,
model.pinterest_source.stg_pinterest_ads__campaign_history,campaign_name,"{""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__keyword_report,"{""campaign_name"":""directly copied""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,is_most_recent_record,"{""Filtering"":""This column is used to filter for the most recent records in the campaign history table""}",model.pinterest.pinterest_ads__keyword_report,
model.pinterest_source.stg_pinterest_ads__keyword_history,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as part of the join condition with other tables""}",model.pinterest.pinterest_ads__keyword_report,"{""source_relation"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__keyword_history,keyword_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as the key to join with the report table""}",model.pinterest.pinterest_ads__keyword_report,"{""keyword_id"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__keyword_history,keyword_value,"{""Direct"":""The column is directly copied without any transformation""}",model.pinterest.pinterest_ads__keyword_report,"{""keyword_value"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__keyword_history,ad_group_id,"{""Integration"":""Used as the key to join with the ad_groups table""}",model.pinterest.pinterest_ads__keyword_report,
model.pinterest_source.stg_pinterest_ads__keyword_history,match_type,"{""Direct"":""The column is directly copied without any transformation""}",model.pinterest.pinterest_ads__keyword_report,"{""match_type"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__keyword_history,parent_type,"{""Direct"":""The column is directly copied without any transformation""}",model.pinterest.pinterest_ads__keyword_report,"{""parent_type"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__keyword_history,is_most_recent_record,"{""Filtering"":""The column is used to filter for the most recent records (WHERE is_most_recent_record = TRUE)""}",model.pinterest.pinterest_ads__keyword_report,
model.pinterest_source.stg_pinterest_ads__keyword_report,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as part of the join conditions with other tables"",""Aggregation"":""Used in the GROUP BY clause""}",model.pinterest.pinterest_ads__keyword_report,"{""source_relation"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__keyword_report,date_day,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""Used in the GROUP BY clause""}",model.pinterest.pinterest_ads__keyword_report,"{""date_day"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__keyword_report,keyword_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used to join with the keywords table"",""Aggregation"":""Used in the GROUP BY clause""}",model.pinterest.pinterest_ads__keyword_report,"{""keyword_id"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__keyword_report,impressions,"{""Aggregation"":""The column is summed up in the SELECT statement""}",model.pinterest.pinterest_ads__keyword_report,"{""impressions"":""Aggregated sum of impressions""}"
model.pinterest_source.stg_pinterest_ads__keyword_report,clicks,"{""Aggregation"":""The clicks are summed up in the GROUP BY clause""}",model.pinterest.pinterest_ads__keyword_report,"{""clicks"":""The sum of clicks is directly mapped to the output 'clicks' column""}"
model.pinterest_source.stg_pinterest_ads__keyword_report,spend,"{""Aggregation"":""The spend is summed up in the GROUP BY clause""}",model.pinterest.pinterest_ads__keyword_report,"{""spend"":""The sum of spend is directly mapped to the output 'spend' column""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,source_relation,"{""Direct"":""The column is directly copied without transformation"",""Integration"":""Used as part of the join condition with other tables""}",model.pinterest.pinterest_ads__ad_group_report,"{""source_relation"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,ad_group_id,"{""Direct"":""The column is directly copied without transformation"",""Integration"":""Used as the key to join with the report table""}",model.pinterest.pinterest_ads__ad_group_report,"{""ad_group_id"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,campaign_id,"{""Integration"":""Used as the key to join with the campaigns table""}",model.pinterest.pinterest_ads__ad_group_report,
model.pinterest_source.stg_pinterest_ads__ad_group_history,created_at,"{""Direct"":""The column is directly copied without transformation""}",model.pinterest.pinterest_ads__ad_group_report,"{""created_at"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,ad_group_name,"{""Direct"":""The column is directly copied without transformation""}",model.pinterest.pinterest_ads__ad_group_report,"{""ad_group_name"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,ad_group_status,"{""Direct"":""The column is directly copied without transformation""}",model.pinterest.pinterest_ads__ad_group_report,"{""ad_group_status"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,start_time,"{""Direct"":""The column is directly copied without transformation""}",model.pinterest.pinterest_ads__ad_group_report,"{""start_time"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,end_time,"{""Direct"":""The column is directly copied without transformation""}",model.pinterest.pinterest_ads__ad_group_report,"{""end_time"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,is_most_recent_record,"{""Filtering"":""This column is used to filter for the most recent records in the ad_groups CTE""}",model.pinterest.pinterest_ads__ad_group_report,
model.pinterest_source.stg_pinterest_ads__ad_group_report,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as part of the join condition with other tables"",""Aggregation"":""Used in the GROUP BY clause""}",model.pinterest.pinterest_ads__ad_group_report,"{""source_relation"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__ad_group_report,date_day,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""Used in the GROUP BY clause""}",model.pinterest.pinterest_ads__ad_group_report,"{""date_day"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__ad_group_report,ad_group_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as the key to join with the ad_groups table"",""Aggregation"":""Used in the GROUP BY clause""}",model.pinterest.pinterest_ads__ad_group_report,"{""ad_group_id"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__ad_group_report,impressions,"{""Aggregation"":""Summed up in the SELECT statement""}",model.pinterest.pinterest_ads__ad_group_report,"{""impressions"":""Aggregated sum of impressions""}"
model.pinterest_source.stg_pinterest_ads__ad_group_report,clicks,"{""Aggregation"":""Summed up in the SELECT statement""}",model.pinterest.pinterest_ads__ad_group_report,"{""clicks"":""Aggregated sum of clicks""}"
model.pinterest_source.stg_pinterest_ads__ad_group_report,spend,"{""Aggregation"":""Summed up in the SELECT statement""}",model.pinterest.pinterest_ads__ad_group_report,"{""spend"":""Aggregated sum of spend""}"
model.pinterest_source.stg_pinterest_ads__advertiser_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__ad_group_report,"{""source_relation"":""directly copied""}"
